dataset,n_rows,n_folds,n_perturbation_clusters,rho_rank_stack_lodo,rho_magnitude,rho_safeconf,rho_disagreement,delta_stack_minus_magnitude,delta_vs_magnitude_ci95_low,delta_vs_magnitude_ci95_high,delta_stack_minus_safeconf,delta_vs_safeconf_ci95_low,delta_vs_safeconf_ci95_high,delta_stack_minus_disagreement,delta_vs_disagreement_ci95_low,delta_vs_disagreement_ci95_high
Frangieh,837,3,189,0.23515786449181672,0.14814820954296473,0.25300639357974863,0.13729477247694932,0.087009654948851989,0.053145691872379754,0.1216018060714721,-0.017848529087931914,-0.065643430291173741,0.028974239011371656,0.097863092014867398,0.061688865210479053,0.13614608850191817
Lara_exvivo,345,5,31,0.27781512605042019,0.147504567044209,0.38712458896602125,0.17609791742784073,0.13031055900621119,0.050771759190660133,0.20303909664542033,-0.10930946291560106,-0.17874535957157264,-0.031713183015286542,0.10171720862257946,0.019786672921663258,0.16288971111682224
Liang,612,9,18,0.16253769515593383,0.074198487528258097,0.21240226395970885,0.074550521052028834,0.088339207627675734,-0.00060652940467779493,0.18357201675822277,-0.049864568803775017,-0.12765576781821289,0.019677522390840113,0.087987174103904997,-0.01025196489115511,0.16440361653173485
Nadig_two_cellline,256,2,96,0.32143265885368977,0.4025790835011902,0.23096595136423118,0.23024629188793261,-0.081146424647500437,-0.17906980329495872,0.02011486577452877,0.090466707489458592,0.042846885373287562,0.13957453029844855,0.09118636696575716,0.013710026706616384,0.16974406229133995
Replogle_two_cellline,256,2,128,0.15555472898736492,0.21431670617821097,0.1726050128805805,-0.036423045229811393,-0.058761977190846054,-0.17085191948754785,0.050182563955229319,-0.017050283893215584,-0.12615566849111379,0.077368524974646039,0.19197777421717632,0.053882645899980881,0.31981873792440563
Santinha,255,5,23,-0.068000000000000005,-0.089303167420814483,0.06459306321087302,-0.12680542986425339,0.021303167420814478,-0.10482417638509769,0.11667387162574686,-0.13259306321087302,-0.23378669892385953,0.003643935238210683,0.058805429864253383,-0.081094891988515841,0.20768064220885382
Shifrut,172,4,20,0.20730141951072181,0.20869827846572031,0.17268196919359713,0.05134400483237693,-0.0013968589549984978,-0.11677669528110193,0.14640345498318991,0.034619450317124684,-0.028821971326417613,0.10010212605671745,0.1559574146783449,0.03269773062281852,0.31724059909651237
Tian_CRISPRi,732,4,99,0.14011331683284642,0.066738366765095217,0.13421641615690086,-0.017868402089713565,0.073374950067751202,0.019579403154866778,0.13085786879073172,0.00589690067594556,-0.035003619149015584,0.046536628123662362,0.15798171892255999,0.070768656607786889,0.24556844953588131
