heldout_dataset,n_train_datasets,n_train_rows,n_test_rows,weight_magnitude,weight_disagreement,weight_safeconf,objective,iterations,optimizer_message
Frangieh,7,2628,837,0.37180872658231656,0.1489746308191518,0.47921664259853158,0.10639229822949045,7,Optimization terminated successfully
Lara_exvivo,7,3120,345,0.38045889265828037,0.1498449184550808,0.46969618888663883,0.10583744467196449,7,Optimization terminated successfully
Liang,7,2853,612,0.37560765829160947,0.14494589998564425,0.47944644172274636,0.10428196304934097,7,Optimization terminated successfully
Nadig_two_cellline,7,3209,256,0.32841309710650879,0.14222007124934871,0.52936683164414244,0.10845497148792797,8,Optimization terminated successfully
Replogle_two_cellline,7,3209,256,0.33040377507635282,0.16585813914990619,0.50373808577374102,0.10899405608621834,8,Optimization terminated successfully
Santinha,7,3210,255,0.3776584114649133,0.14367074617246434,0.47867084236262242,0.10379515933668979,7,Optimization terminated successfully
Shifrut,7,3293,172,0.36559770797474711,0.10128075950429999,0.53312153252095285,0.10592255067041452,9,Optimization terminated successfully
Tian_CRISPRi,7,2733,732,0.37542771105532041,0.10214590141080253,0.52242638753387705,0.10555819424584778,8,Optimization terminated successfully
