dataset,fold_id,score,top20_error_enrichment
Frangieh,frangieh_context_holdout_1_Co-culture,rank_stack_lodo,1.6014030612244898
Frangieh,frangieh_context_holdout_1_Co-culture,magnitude,1.4234693877551019
Frangieh,frangieh_context_holdout_1_Co-culture,disagreement,1.4234693877551019
Frangieh,frangieh_context_holdout_1_Co-culture,safeconf,1.7793367346938775
Frangieh,frangieh_context_holdout_2_Control,rank_stack_lodo,1.7793367346938775
Frangieh,frangieh_context_holdout_2_Control,magnitude,1.8683035714285714
Frangieh,frangieh_context_holdout_2_Control,disagreement,1.6903698979591837
Frangieh,frangieh_context_holdout_2_Control,safeconf,1.4234693877551019
Frangieh,frangieh_context_holdout_3_IFNγ,rank_stack_lodo,1.5124362244897958
Frangieh,frangieh_context_holdout_3_IFNγ,magnitude,1.334502551020408
Frangieh,frangieh_context_holdout_3_IFNγ,disagreement,1.5124362244897958
Frangieh,frangieh_context_holdout_3_IFNγ,safeconf,0.97863520408163263
Lara_exvivo,Lara_exvivo_context_holdout_1_EBMP,rank_stack_lodo,1.4081632653061222
Lara_exvivo,Lara_exvivo_context_holdout_1_EBMP,magnitude,1.4081632653061222
Lara_exvivo,Lara_exvivo_context_holdout_1_EBMP,disagreement,1.4081632653061222
Lara_exvivo,Lara_exvivo_context_holdout_1_EBMP,safeconf,1.760204081632653
Lara_exvivo,Lara_exvivo_context_holdout_2_GMP,rank_stack_lodo,0.70408163265306112
Lara_exvivo,Lara_exvivo_context_holdout_2_GMP,magnitude,0.70408163265306112
Lara_exvivo,Lara_exvivo_context_holdout_2_GMP,disagreement,0.70408163265306112
Lara_exvivo,Lara_exvivo_context_holdout_2_GMP,safeconf,0.70408163265306112
Lara_exvivo,Lara_exvivo_context_holdout_3_GMP_(late),rank_stack_lodo,2.8163265306122445
Lara_exvivo,Lara_exvivo_context_holdout_3_GMP_(late),magnitude,2.8163265306122445
Lara_exvivo,Lara_exvivo_context_holdout_3_GMP_(late),disagreement,2.8163265306122445
Lara_exvivo,Lara_exvivo_context_holdout_3_GMP_(late),safeconf,2.8163265306122445
Lara_exvivo,Lara_exvivo_context_holdout_4_HSC,rank_stack_lodo,1.4081632653061222
