dataset,fold_id,score,n_tasks,spearman
Frangieh,frangieh_context_holdout_1_Co-culture,rank_stack_lodo,279,0.084652278177458032
Frangieh,frangieh_context_holdout_1_Co-culture,magnitude,279,0.11016863928212271
Frangieh,frangieh_context_holdout_1_Co-culture,disagreement,279,0.089316380996585232
Frangieh,frangieh_context_holdout_1_Co-culture,safeconf,279,0.072181701643293669
Frangieh,frangieh_context_holdout_2_Control,rank_stack_lodo,279,0.36304965244394349
Frangieh,frangieh_context_holdout_2_Control,magnitude,279,0.21103835825348938
Frangieh,frangieh_context_holdout_2_Control,disagreement,279,0.16859618296146495
Frangieh,frangieh_context_holdout_2_Control,safeconf,279,0.44200897346638818
Frangieh,frangieh_context_holdout_3_IFNγ,rank_stack_lodo,279,0.25777166285404857
Frangieh,frangieh_context_holdout_3_IFNγ,magnitude,279,0.12323763109328206
Frangieh,frangieh_context_holdout_3_IFNγ,disagreement,279,0.15397175347279782
Frangieh,frangieh_context_holdout_3_IFNγ,safeconf,279,0.24482850562956407
Lara_exvivo,Lara_exvivo_context_holdout_1_EBMP,rank_stack_lodo,69,0.32276214833759592
Lara_exvivo,Lara_exvivo_context_holdout_1_EBMP,magnitude,69,0.24965290464011697
Lara_exvivo,Lara_exvivo_context_holdout_1_EBMP,disagreement,69,0.24899525027402269
Lara_exvivo,Lara_exvivo_context_holdout_1_EBMP,safeconf,69,0.44241870661308008
Lara_exvivo,Lara_exvivo_context_holdout_2_GMP,rank_stack_lodo,69,0.031896236755571801
Lara_exvivo,Lara_exvivo_context_holdout_2_GMP,magnitude,69,-0.0046401169163317506
Lara_exvivo,Lara_exvivo_context_holdout_2_GMP,disagreement,69,-0.013920350748995253
Lara_exvivo,Lara_exvivo_context_holdout_2_GMP,safeconf,69,0.052831567409572538
Lara_exvivo,Lara_exvivo_context_holdout_3_GMP_(late),rank_stack_lodo,69,0.36550968213372315
Lara_exvivo,Lara_exvivo_context_holdout_3_GMP_(late),magnitude,69,0.2491779320423822
Lara_exvivo,Lara_exvivo_context_holdout_3_GMP_(late),disagreement,69,0.24833759590792842
Lara_exvivo,Lara_exvivo_context_holdout_3_GMP_(late),safeconf,69,0.47025940811107053
Lara_exvivo,Lara_exvivo_context_holdout_4_HSC,rank_stack_lodo,69,0.28951406649616374
Lara_exvivo,Lara_exvivo_context_holdout_4_HSC,magnitude,69,0.0082206795761782976
Lara_exvivo,Lara_exvivo_context_holdout_4_HSC,disagreement,69,0.07745706978443552
Lara_exvivo,Lara_exvivo_context_holdout_4_HSC,safeconf,69,0.5102667153818049
Lara_exvivo,Lara_exvivo_context_holdout_5_MkP,rank_stack_lodo,69,0.37939349652904647
Lara_exvivo,Lara_exvivo_context_holdout_5_MkP,magnitude,69,0.23511143587869934
Lara_exvivo,Lara_exvivo_context_holdout_5_MkP,disagreement,69,0.31962002192181227
Lara_exvivo,Lara_exvivo_context_holdout_5_MkP,safeconf,69,0.45984654731457808
Liang,Liang_context_holdout_1_DM2_1,rank_stack_lodo,68,0.24525709050654654
Liang,Liang_context_holdout_1_DM2_1,magnitude,68,-0.0873382448371951
Liang,Liang_context_holdout_1_DM2_1,disagreement,68,-0.082184983013322124
Liang,Liang_context_holdout_1_DM2_1,safeconf,68,0.45837309615604838
Liang,Liang_context_holdout_2_DM2_2,rank_stack_lodo,68,0.1349009428560522
Liang,Liang_context_holdout_2_DM2_2,magnitude,68,0.15036072832767108
Liang,Liang_context_holdout_2_DM2_2,disagreement,68,0.20445089132343397
Liang,Liang_context_holdout_2_DM2_2,safeconf,68,0.17440928350574492
Liang,Liang_context_holdout_3_DM2_3,rank_stack_lodo,68,0.27186319044165358
Liang,Liang_context_holdout_3_DM2_3,magnitude,68,0.14688704813528267
Liang,Liang_context_holdout_3_DM2_3,disagreement,68,0.17769210214910103
Liang,Liang_context_holdout_3_DM2_3,safeconf,68,0.28564339428178792
Liang,Liang_context_holdout_4_DM2_4,rank_stack_lodo,68,0.35484979196091149
Liang,Liang_context_holdout_4_DM2_4,magnitude,68,0.48158186051837992
Liang,Liang_context_holdout_4_DM2_4,disagreement,68,0.47138985380005333
Liang,Liang_context_holdout_4_DM2_4,safeconf,68,0.044994426101173442
Liang,Liang_context_holdout_5_DM2_5,rank_stack_lodo,68,0.15627743634767338
Liang,Liang_context_holdout_5_DM2_5,magnitude,68,0.048058938046341183
Liang,Liang_context_holdout_5_DM2_5,disagreement,68,-0.042142230026338892
Liang,Liang_context_holdout_5_DM2_5,safeconf,68,0.22727793258770082
Liang,Liang_context_holdout_6_DM2_6,rank_stack_lodo,68,-0.18177653929839294
Liang,Liang_context_holdout_6_DM2_6,magnitude,68,-0.28705576974462726
Liang,Liang_context_holdout_6_DM2_6,disagreement,68,-0.20181700194678781
Liang,Liang_context_holdout_6_DM2_6,safeconf,68,-0.062106348055120802
Liang,Liang_context_holdout_7_EM2_1,rank_stack_lodo,68,0.099515211665457862
Liang,Liang_context_holdout_7_EM2_1,magnitude,68,0.038897583692789249
Liang,Liang_context_holdout_7_EM2_1,disagreement,68,-0.081765087605450995
Liang,Liang_context_holdout_7_EM2_1,safeconf,68,0.2782379661793335
Liang,Liang_context_holdout_8_EM2_2,rank_stack_lodo,68,0.24758560140474095
Liang,Liang_context_holdout_8_EM2_2,magnitude,68,0.057754704737183644
Liang,Liang_context_holdout_8_EM2_2,disagreement,68,0.091575371225712868
Liang,Liang_context_holdout_8_EM2_2,safeconf,68,0.31473069435431539
Liang,Liang_context_holdout_9_EM2_3,rank_stack_lodo,68,0.13436653051876168
Liang,Liang_context_holdout_9_EM2_3,magnitude,68,0.11863953887849753
Liang,Liang_context_holdout_9_EM2_3,disagreement,68,0.13375577356185822
Liang,Liang_context_holdout_9_EM2_3,safeconf,68,0.19005993052639611
Nadig_two_cellline,Nadig_cellline_holdout_1_HepG2,rank_stack_lodo,128,0.2202549899285845
Nadig_two_cellline,Nadig_cellline_holdout_1_HepG2,magnitude,128,0.40204403955319534
Nadig_two_cellline,Nadig_cellline_holdout_1_HepG2,disagreement,128,0.11029916681926386
Nadig_two_cellline,Nadig_cellline_holdout_1_HepG2,safeconf,128,0.088655108124256143
Nadig_two_cellline,Nadig_cellline_holdout_2_Jurkat,rank_stack_lodo,128,0.42261032777879509
Nadig_two_cellline,Nadig_cellline_holdout_2_Jurkat,magnitude,128,0.40311412744918512
Nadig_two_cellline,Nadig_cellline_holdout_2_Jurkat,disagreement,128,0.35019341695660133
Nadig_two_cellline,Nadig_cellline_holdout_2_Jurkat,safeconf,128,0.37327679460420621
Replogle_two_cellline,Replogle_cellline_holdout_1_K562,rank_stack_lodo,128,0.075558505768174314
Replogle_two_cellline,Replogle_cellline_holdout_1_K562,magnitude,128,0.18430430596565103
Replogle_two_cellline,Replogle_cellline_holdout_1_K562,disagreement,128,-0.26024308734663981
Replogle_two_cellline,Replogle_cellline_holdout_1_K562,safeconf,128,0.15825584232738402
Replogle_two_cellline,Replogle_cellline_holdout_2_RPE1,rank_stack_lodo,128,0.23555095220655553
Replogle_two_cellline,Replogle_cellline_holdout_2_RPE1,magnitude,128,0.24432910639077093
Replogle_two_cellline,Replogle_cellline_holdout_2_RPE1,disagreement,128,0.18739699688701703
Replogle_two_cellline,Replogle_cellline_holdout_2_RPE1,safeconf,128,0.18695418343377695
Santinha,Santinha_context_holdout_1_Interneurons_Sst_Pvalb,rank_stack_lodo,51,-0.17710407239819004
Santinha,Santinha_context_holdout_1_Interneurons_Sst_Pvalb,magnitude,51,-0.24832579185520362
Santinha,Santinha_context_holdout_1_Interneurons_Sst_Pvalb,disagreement,51,-0.20488687782805429
Santinha,Santinha_context_holdout_1_Interneurons_Sst_Pvalb,safeconf,51,0.15499025858045429
Santinha,Santinha_context_holdout_2_Interneurons_Vip_Adarb2,rank_stack_lodo,51,-0.18723981900452488
Santinha,Santinha_context_holdout_2_Interneurons_Vip_Adarb2,magnitude,51,-0.19719457013574657
Santinha,Santinha_context_holdout_2_Interneurons_Vip_Adarb2,disagreement,51,-0.031040723981900453
Santinha,Santinha_context_holdout_2_Interneurons_Vip_Adarb2,safeconf,51,-0.057803099747133588
Santinha,Santinha_context_holdout_3_Neurons_L_2_3,rank_stack_lodo,51,0.21122171945701354
Santinha,Santinha_context_holdout_3_Neurons_L_2_3,magnitude,51,0.12199095022624433
