dataset,fold_id,score,n_tasks,spearman
Santinha,Santinha_context_holdout_3_Neurons_L_2_3,disagreement,51,0.15665158371040722
Santinha,Santinha_context_holdout_3_Neurons_L_2_3,safeconf,51,0.24208144796380088
Santinha,Santinha_context_holdout_4_Neurons_L_5,rank_stack_lodo,51,0.010497737556561085
Santinha,Santinha_context_holdout_4_Neurons_L_5,magnitude,51,0.12660633484162895
Santinha,Santinha_context_holdout_4_Neurons_L_5,disagreement,51,-0.061538461538461535
Santinha,Santinha_context_holdout_4_Neurons_L_5,safeconf,51,-0.090206220618929051
Santinha,Santinha_context_holdout_5_Neurons_L_6,rank_stack_lodo,51,-0.1973755656108597
Santinha,Santinha_context_holdout_5_Neurons_L_6,magnitude,51,-0.24959276018099549
Santinha,Santinha_context_holdout_5_Neurons_L_6,disagreement,51,-0.49321266968325789
Santinha,Santinha_context_holdout_5_Neurons_L_6,safeconf,51,0.073902929876172613
Shifrut,Shifrut_context_holdout_1_D1_nostim,rank_stack_lodo,43,0.19042585321655089
Shifrut,Shifrut_context_holdout_1_D1_nostim,magnitude,43,0.0095137420718816069
Shifrut,Shifrut_context_holdout_1_D1_nostim,disagreement,43,0.15508909694956208
Shifrut,Shifrut_context_holdout_1_D1_nostim,safeconf,43,0.14512231954092419
Shifrut,Shifrut_context_holdout_2_D1_stim,rank_stack_lodo,43,0.4743279975838115
Shifrut,Shifrut_context_holdout_2_D1_stim,magnitude,43,0.573542736333434
Shifrut,Shifrut_context_holdout_2_D1_stim,disagreement,43,0.25732407127755963
Shifrut,Shifrut_context_holdout_2_D1_stim,safeconf,43,0.4125641800060405
Shifrut,Shifrut_context_holdout_3_D2_nostim,rank_stack_lodo,43,0.15101177891875564
Shifrut,Shifrut_context_holdout_3_D2_nostim,magnitude,43,0.15448504983388703
Shifrut,Shifrut_context_holdout_3_D2_nostim,disagreement,43,-0.15901540320144972
Shifrut,Shifrut_context_holdout_3_D2_nostim,safeconf,43,0.17834491090305044
Shifrut,Shifrut_context_holdout_4_D2_stim,rank_stack_lodo,43,0.013440048323769256
Shifrut,Shifrut_context_holdout_4_D2_stim,magnitude,43,0.097251585623678652
Shifrut,Shifrut_context_holdout_4_D2_stim,disagreement,43,-0.048021745696164297
Shifrut,Shifrut_context_holdout_4_D2_stim,safeconf,43,-0.0453035336756267
Tian_CRISPRi,Tian_CRISPRi_batch_holdout_1_B1,rank_stack_lodo,183,0.12798124897198312
Tian_CRISPRi,Tian_CRISPRi_batch_holdout_1_B1,magnitude,183,0.11335403726708078
Tian_CRISPRi,Tian_CRISPRi_batch_holdout_1_B1,disagreement,183,-0.15539307449499895
Tian_CRISPRi,Tian_CRISPRi_batch_holdout_1_B1,safeconf,183,0.1276542416955817
Tian_CRISPRi,Tian_CRISPRi_batch_holdout_2_B2,rank_stack_lodo,183,0.091401470945305596
Tian_CRISPRi,Tian_CRISPRi_batch_holdout_2_B2,magnitude,183,0.064124756213138262
Tian_CRISPRi,Tian_CRISPRi_batch_holdout_2_B2,disagreement,183,0.065779373869181437
Tian_CRISPRi,Tian_CRISPRi_batch_holdout_2_B2,safeconf,183,0.074379469425798733
Tian_CRISPRi,Tian_CRISPRi_batch_holdout_3_B3,rank_stack_lodo,183,0.48285463645406623
Tian_CRISPRi,Tian_CRISPRi_batch_holdout_3_B3,magnitude,183,0.1335756189640723
Tian_CRISPRi,Tian_CRISPRi_batch_holdout_3_B3,disagreement,183,0.00046995057686433322
Tian_CRISPRi,Tian_CRISPRi_batch_holdout_3_B3,safeconf,183,0.49439388124348932
Tian_CRISPRi,Tian_CRISPRi_batch_holdout_4_B4,rank_stack_lodo,183,-0.14178408903996931
Tian_CRISPRi,Tian_CRISPRi_batch_holdout_4_B4,magnitude,183,-0.044100945383910468
Tian_CRISPRi,Tian_CRISPRi_batch_holdout_4_B4,disagreement,183,0.017670141690098926
Tian_CRISPRi,Tian_CRISPRi_batch_holdout_4_B4,safeconf,183,-0.15956192773726632
