metric,equal_study_mean,two_level_ci95_low,two_level_ci95_high,positive_studies,total_studies,p_gt_zero
delta_stack_minus_magnitude,0.032379034784744951,-0.028279988637739263,0.087714852012629282,5,8,0.85750000000000004
delta_stack_minus_safeconf,-0.024460356178608471,-0.076435218015140582,0.027575028951845215,3,8,0.19689999999999999
delta_stack_minus_disagreement,0.11793452242368045,0.072661339820397991,0.16651960152378076,8,8,1
