panel_id,culture_condition,objective,score_name,n_tasks,spearman,magnitude_spearman,delta_vs_magnitude
E168,Rest,ensemble_rmse,SafeConf,200,0.090678766969174235,0.068689717242931075,0.021989049726243159
E168,Rest,ensemble_rmse,disagreement,200,0.068394209855246385,0.068689717242931075,-0.00029550738768469031
E168,Rest,ensemble_rmse,magnitude,200,0.068689717242931075,0.068689717242931075,0
E168,Rest,pair_mean_rmse,SafeConf,200,0.11244431110777771,0.10103052576314409,0.011413785344633623
E168,Rest,pair_mean_rmse,disagreement,200,0.10296407410185257,0.10103052576314409,0.0019335483387084851
E168,Rest,pair_mean_rmse,magnitude,200,0.10103052576314409,0.10103052576314409,0
E168,Rest,pair_max_rmse,SafeConf,200,0.13870546763669092,0.13101777544438611,0.0076876921923048069
E168,Rest,pair_max_rmse,disagreement,200,0.13396684917122931,0.13101777544438611,0.0029490737268431932
E168,Rest,pair_max_rmse,magnitude,200,0.13101777544438611,0.13101777544438611,0
E168,Stim8hr,ensemble_rmse,SafeConf,200,0.072675316882922086,0.10030900772519315,-0.027633690842271061
E168,Stim8hr,ensemble_rmse,disagreement,200,0.10285457136428412,0.10030900772519315,0.0025455636390909753
E168,Stim8hr,ensemble_rmse,magnitude,200,0.10030900772519315,0.10030900772519315,0
E168,Stim8hr,pair_mean_rmse,SafeConf,200,0.096918922973074348,0.12984624615615392,-0.032927323183079574
E168,Stim8hr,pair_mean_rmse,disagreement,200,0.13505587639690994,0.12984624615615392,0.0052096302407560191
E168,Stim8hr,pair_mean_rmse,magnitude,200,0.12984624615615392,0.12984624615615392,0
E168,Stim8hr,pair_max_rmse,SafeConf,200,0.13161479036975926,0.17153678841971054,-0.039921998049951279
E168,Stim8hr,pair_max_rmse,disagreement,200,0.17342383559588992,0.17153678841971054,0.0018870471761793794
E168,Stim8hr,pair_max_rmse,magnitude,200,0.17153678841971054,0.17153678841971054,0
E168,Stim48hr,ensemble_rmse,SafeConf,200,0.15369084227105681,0.14229505737643441,0.011395784894622396
E168,Stim48hr,ensemble_rmse,disagreement,200,0.16260706517662943,0.14229505737643441,0.020312007800195014
E168,Stim48hr,ensemble_rmse,magnitude,200,0.14229505737643441,0.14229505737643441,0
E168,Stim48hr,pair_mean_rmse,SafeConf,200,0.17866646666166658,0.17458036450911274,0.0040861021525538388
E168,Stim48hr,pair_mean_rmse,disagreement,200,0.19605790144753621,0.17458036450911274,0.021477536938423469
E168,Stim48hr,pair_mean_rmse,magnitude,200,0.17458036450911274,0.17458036450911274,0
E168,Stim48hr,pair_max_rmse,SafeConf,200,0.1989799744993625,0.19599789994749869,0.0029820745518638059
E168,Stim48hr,pair_max_rmse,disagreement,200,0.22061201530038252,0.19599789994749869,0.024614115352883825
E168,Stim48hr,pair_max_rmse,magnitude,200,0.19599789994749869,0.19599789994749869,0
Q01,Rest,ensemble_rmse,SafeConf,200,-0.013327833195829896,0.013462836570914273,-0.026790669766744171
Q01,Rest,ensemble_rmse,disagreement,200,0.11600240006000154,0.013462836570914273,0.10253956348908727
Q01,Rest,ensemble_rmse,magnitude,200,0.013462836570914273,0.013462836570914273,0
Q01,Rest,pair_mean_rmse,SafeConf,200,-0.0059131478286957185,0.022340058501462541,-0.028253206330158258
Q01,Rest,pair_mean_rmse,disagreement,200,0.12525613140328512,0.022340058501462541,0.10291607290182259
Q01,Rest,pair_mean_rmse,magnitude,200,0.022340058501462541,0.022340058501462541,0
Q01,Rest,pair_max_rmse,SafeConf,200,0.0020340508512712821,0.034382359558988981,-0.032348308707717696
Q01,Rest,pair_max_rmse,disagreement,200,0.13753393834845873,0.034382359558988981,0.10315157878946975
Q01,Rest,pair_max_rmse,magnitude,200,0.034382359558988981,0.034382359558988981,0
Q01,Stim8hr,ensemble_rmse,SafeConf,200,0.022899572489312233,0.05959048976224407,-0.036690917272931833
Q01,Stim8hr,ensemble_rmse,disagreement,200,0.12599264981624542,0.05959048976224407,0.066402160054001347
Q01,Stim8hr,ensemble_rmse,magnitude,200,0.05959048976224407,0.05959048976224407,0
Q01,Stim8hr,pair_mean_rmse,SafeConf,200,0.029019725493137329,0.067912697817445453,-0.03889297232430812
Q01,Stim8hr,pair_mean_rmse,disagreement,200,0.13539488487212181,0.067912697817445453,0.06748218705467636
Q01,Stim8hr,pair_mean_rmse,magnitude,200,0.067912697817445453,0.067912697817445453,0
Q01,Stim8hr,pair_max_rmse,SafeConf,200,0.051107777694442365,0.094485862146553676,-0.043378084452111311
Q01,Stim8hr,pair_max_rmse,disagreement,200,0.16018750468761722,0.094485862146553676,0.065701642541063546
Q01,Stim8hr,pair_max_rmse,magnitude,200,0.094485862146553676,0.094485862146553676,0
Q01,Stim48hr,ensemble_rmse,SafeConf,200,0.076662416560414018,0.095487887197179933,-0.018825470636765915
Q01,Stim48hr,ensemble_rmse,disagreement,200,0.14881122028050706,0.095487887197179933,0.053323333083327124
Q01,Stim48hr,ensemble_rmse,magnitude,200,0.095487887197179933,0.095487887197179933,0
Q01,Stim48hr,pair_mean_rmse,SafeConf,200,0.084383109577739451,0.10636765919147981,-0.021984549613740356
Q01,Stim48hr,pair_mean_rmse,disagreement,200,0.16120753018825473,0.10636765919147981,0.054839870996774925
Q01,Stim48hr,pair_mean_rmse,magnitude,200,0.10636765919147981,0.10636765919147981,0
Q01,Stim48hr,pair_max_rmse,SafeConf,200,0.10204755118877973,0.13034275856896424,-0.028295207380184512
Q01,Stim48hr,pair_max_rmse,disagreement,200,0.18732618315457891,0.13034275856896424,0.056983424585614673
Q01,Stim48hr,pair_max_rmse,magnitude,200,0.13034275856896424,0.13034275856896424,0
Q02,Rest,ensemble_rmse,SafeConf,200,0.16573164329108231,0.1594404860121503,0.006291157278932008
Q02,Rest,ensemble_rmse,disagreement,200,0.12473561839045977,0.1594404860121503,-0.034704867621690533
Q02,Rest,ensemble_rmse,magnitude,200,0.1594404860121503,0.1594404860121503,0
Q02,Rest,pair_mean_rmse,SafeConf,200,0.17264981624540615,0.16688967224180609,0.0057601440036000595
Q02,Rest,pair_mean_rmse,disagreement,200,0.13370584264606616,0.16688967224180609,-0.033183829595739928
Q02,Rest,pair_mean_rmse,magnitude,200,0.16688967224180609,0.16688967224180609,0
Q02,Rest,pair_max_rmse,SafeConf,200,0.17727293182329559,0.17293182329558243,0.0043411085277131611
Q02,Rest,pair_max_rmse,disagreement,200,0.14048301207530189,0.17293182329558243,-0.032448811220280538
Q02,Rest,pair_max_rmse,magnitude,200,0.17293182329558243,0.17293182329558243,0
Q02,Stim8hr,ensemble_rmse,SafeConf,200,0.13384534613365337,0.16846021150528764,-0.034614865371634274
Q02,Stim8hr,ensemble_rmse,disagreement,200,0.12635115877896949,0.16846021150528764,-0.042109052726318152
Q02,Stim8hr,ensemble_rmse,magnitude,200,0.16846021150528764,0.16846021150528764,0
Q02,Stim8hr,pair_mean_rmse,SafeConf,200,0.13994449861246533,0.17644491112277808,-0.036500412510312746
Q02,Stim8hr,pair_mean_rmse,disagreement,200,0.13494637365934151,0.17644491112277808,-0.041498537463436569
Q02,Stim8hr,pair_mean_rmse,magnitude,200,0.17644491112277808,0.17644491112277808,0
Q02,Stim8hr,pair_max_rmse,SafeConf,200,0.15213680342008554,0.19285832145803647,-0.040721518037950932
Q02,Stim8hr,pair_max_rmse,disagreement,200,0.15288382209555243,0.19285832145803647,-0.039974499362484039
Q02,Stim8hr,pair_max_rmse,magnitude,200,0.19285832145803647,0.19285832145803647,0
Q02,Stim48hr,ensemble_rmse,SafeConf,200,0.18658066451661295,0.24083402085052127,-0.05425335633390832
Q02,Stim48hr,ensemble_rmse,disagreement,200,0.1901012525313133,0.24083402085052127,-0.050732768319207977
Q02,Stim48hr,ensemble_rmse,magnitude,200,0.24083402085052127,0.24083402085052127,0
Q02,Stim48hr,pair_mean_rmse,SafeConf,200,0.1924263106577665,0.24687617190429764,-0.054449861246531145
Q02,Stim48hr,pair_mean_rmse,disagreement,200,0.19654841371034276,0.24687617190429764,-0.05032775819395488
Q02,Stim48hr,pair_mean_rmse,magnitude,200,0.24687617190429764,0.24687617190429764,0
Q02,Stim48hr,pair_max_rmse,SafeConf,200,0.20102302557563942,0.25908347708692719,-0.058060451511287775
Q02,Stim48hr,pair_max_rmse,disagreement,200,0.20857721443036081,0.25908347708692719,-0.050506262656566381
Q02,Stim48hr,pair_max_rmse,magnitude,200,0.25908347708692719,0.25908347708692719,0
Q03,Rest,ensemble_rmse,SafeConf,200,0.001518037950948774,0.051169279231980808,-0.049651241281032037
Q03,Rest,ensemble_rmse,disagreement,200,0.06342608565214132,0.051169279231980808,0.012256806420160513
Q03,Rest,ensemble_rmse,magnitude,200,0.051169279231980808,0.051169279231980808,0
Q03,Rest,pair_mean_rmse,SafeConf,200,0.0093707342683567105,0.062155553888847234,-0.052784819620490524
Q03,Rest,pair_mean_rmse,disagreement,200,0.075504387609690249,0.062155553888847234,0.013348833720843015
Q03,Rest,pair_mean_rmse,magnitude,200,0.062155553888847234,0.062155553888847234,0
Q03,Rest,pair_max_rmse,SafeConf,200,0.017755943898597467,0.083300082502062556,-0.065544138603465085
Q03,Rest,pair_max_rmse,disagreement,200,0.096921923048076217,0.083300082502062556,0.013621840546013661
Q03,Rest,pair_max_rmse,magnitude,200,0.083300082502062556,0.083300082502062556,0
Q03,Stim8hr,ensemble_rmse,SafeConf,200,-0.019281489267791527,-0.016812420310507767,-0.0024690689572837606
Q03,Stim8hr,ensemble_rmse,disagreement,200,0.016371415424667555,-0.016812420310507767,0.033183835735175318
Q03,Stim8hr,ensemble_rmse,magnitude,200,-0.016812420310507767,-0.016812420310507767,0
Q03,Stim8hr,pair_mean_rmse,SafeConf,200,-0.012866576489379325,-0.0074146853671341788,-0.0054518911222451458
Q03,Stim8hr,pair_mean_rmse,disagreement,200,0.026515422828856151,-0.0074146853671341788,0.033930108195990329
Q03,Stim8hr,pair_mean_rmse,magnitude,200,-0.0074146853671341788,-0.0074146853671341788,0
Q03,Stim8hr,pair_max_rmse,SafeConf,200,0.0015300388247352853,0.012880822020550515,-0.011350783195815228
Q03,Stim8hr,pair_max_rmse,disagreement,200,0.048043219096687961,0.012880822020550515,0.035162397076137449
Q03,Stim8hr,pair_max_rmse,magnitude,200,0.012880822020550515,0.012880822020550515,0
Q03,Stim48hr,ensemble_rmse,SafeConf,200,0.044003600090002259,0.0090032250806270173,0.035000375009375244
Q03,Stim48hr,ensemble_rmse,disagreement,200,0.043175579389484742,0.0090032250806270173,0.034172354308857726
Q03,Stim48hr,ensemble_rmse,magnitude,200,0.0090032250806270173,0.0090032250806270173,0
Q03,Stim48hr,pair_mean_rmse,SafeConf,200,0.05097277431935799,0.018960474011850297,0.032012300307507693
Q03,Stim48hr,pair_mean_rmse,disagreement,200,0.053681842046051156,0.018960474011850297,0.03472136803420086
Q03,Stim48hr,pair_mean_rmse,magnitude,200,0.018960474011850297,0.018960474011850297,0
Q03,Stim48hr,pair_max_rmse,SafeConf,200,0.065371634290857281,0.039117977949448747,0.026253656341408534
Q03,Stim48hr,pair_max_rmse,disagreement,200,0.076386409660241517,0.039117977949448747,0.03726843171079277
Q03,Stim48hr,pair_max_rmse,magnitude,200,0.039117977949448747,0.039117977949448747,0
Q04,Rest,ensemble_rmse,SafeConf,200,0.05925898147453687,0.11325283132078302,-0.053993849846246153
