experiment,n_fresh_targets,n_panel_state_units,endpoint,estimate,ci95_lower,ci95_upper,permutation_p_one_sided,formal_decision
E168,200,3,AURC_magnitude_minus_SafeConf,0.0010605309389236,-0.0031803375705692001,0.0049744976819860003,0.4127658723412766,NO_CONFIRMATION
E172,800,12,AURC_magnitude_minus_SafeConf,-0.00028481819014790003,-0.0023939275130913,0.0018050712100971,0.55096449035509643,NO_TARGET_REPLICATION
