objective,score_name,observed_equal_panel_state_spearman,positive_panel_state_units,n_panel_state_units,bootstrap_draws,bootstrap_seed,bootstrap_ci95_lower,bootstrap_ci95_upper,bootstrap_fraction_gt_zero
ensemble_rmse,SafeConf,0.071545288150166433,12,15,3000,2026071901,0.015925197876293123,0.12649815270939246,0.9946666666666667
ensemble_rmse,disagreement,0.098021050935558879,14,15,3000,2026071901,0.041956570320769375,0.15607202515483257,1
ensemble_rmse,magnitude,0.094536163404085119,14,15,3000,2026071901,0.036751630505369975,0.15325697784753536,0.9993333333333333
pair_mean_rmse,SafeConf,0.08499977467270238,13,15,3000,2026071901,0.030149658585526935,0.13921819277701211,0.998
pair_mean_rmse,disagreement,0.11706457727731764,14,15,3000,2026071901,0.060756165766433765,0.17467836358073555,1
pair_mean_rmse,magnitude,0.11227480687017176,14,15,3000,2026071901,0.054232282017150808,0.17053131373686509,1
pair_max_rmse,SafeConf,0.10226695671216877,15,15,3000,2026071901,0.046830908147714623,0.15699254001492413,0.9996666666666667
pair_max_rmse,disagreement,0.14094752488920295,15,15,3000,2026071901,0.084673487178207607,0.19757546813924395,1
pair_max_rmse,magnitude,0.13581889547238685,15,15,3000,2026071901,0.078693665982311617,0.19349854184710324,1
ensemble_rmse,disagreement_minus_magnitude,0.0034848875314737598,8,15,3000,2026071901,-0.025983174831765234,0.033129474973643283,0.58766666666666667
pair_mean_rmse,disagreement_minus_magnitude,0.0047897704071458852,9,15,3000,2026071901,-0.024773283363687715,0.034643404652666146,0.6253333333333333
pair_max_rmse,disagreement_minus_magnitude,0.0051286294168161051,9,15,3000,2026071901,-0.02432857108384634,0.034560211981902587,0.6333333333333333
