perturbation,n_target_cells,n_guides,n_eligible_guides,min_cells_per_eligible_guide,max_cells_per_eligible_guide,is_single_gene_label,in_expression_var,in_scgpt_vocab,eligible_e180_target,selection_used_expression_matrix_or_truth_effect
ACLY,595,2,2,263,332,True,True,True,True,False
ACO2,1078,3,3,242,489,True,True,True,True,False
AGO2,409,1,1,409,409,True,True,True,False,False
ALDOA,27,1,1,27,27,True,True,True,False,False
ALYREF,153,1,1,153,153,True,True,True,False,False
ARID1A,311,1,1,311,311,True,True,True,False,False
ARID2,1309,3,3,293,519,True,True,True,True,False
ATP11A,1167,2,2,531,636,True,True,True,True,False
ATP12A,542,3,3,156,219,True,True,True,True,False
ATP6V1A,189,3,3,29,113,True,True,True,True,False
ATP6V1B2,3,1,0,0,0,True,True,True,False,False
BCS1L,631,3,3,114,274,True,True,True,True,False
BRD7,833,3,3,191,417,True,True,True,True,False
CASC3,661,3,3,158,332,True,True,True,True,False
CCNH,98,1,1,98,98,True,True,True,False,False
CCT3,231,3,3,41,135,True,True,True,True,False
CCT4,66,2,2,27,39,True,True,True,True,False
CHD1,1148,3,3,260,468,True,True,True,True,False
CMPK1,748,3,3,175,327,True,True,True,True,False
CNOT2,87,1,1,87,87,True,True,True,False,False
CNOT3,186,2,2,80,106,True,True,True,True,False
COX6B1,835,3,3,185,438,True,True,True,True,False
CPSF1,32,1,1,32,32,True,True,True,False,False
CPSF2,242,2,2,43,199,True,True,True,True,False
CPSF3,44,1,1,44,44,True,True,True,False,False
CPSF6,248,1,1,248,248,True,True,True,False,False
CREBBP,1001,3,3,198,526,True,True,True,True,False
CS,838,3,3,251,329,True,True,True,True,False
CSTF3,536,3,3,110,234,True,True,True,True,False
CTCF,296,1,1,296,296,True,True,True,False,False
CYC1,478,2,2,207,271,True,True,True,True,False
DDX19B,916,3,3,205,488,True,True,True,True,False
DDX39B,367,2,2,162,205,True,True,True,True,False
DDX56,121,3,2,51,53,True,True,True,True,False
DERL2,40,1,1,40,40,True,True,True,False,False
DHX15,376,3,3,29,259,True,True,True,True,False
DHX29,136,2,2,48,88,True,True,True,True,False
DICER1,375,3,3,91,151,True,True,True,True,False
DIS3,581,3,3,142,246,True,True,True,True,False
DLAT,1256,3,3,234,526,True,True,True,True,False
DLD,485,3,3,137,193,True,True,True,True,False
DLST,698,3,3,209,271,True,True,True,True,False
DNMT1,87,1,1,87,87,True,True,True,False,False
DNMT3A,826,3,3,242,337,True,True,True,True,False
DROSHA,574,3,3,110,284,True,True,True,True,False
EEF1D,649,2,2,289,360,True,True,True,True,False
EEF1G,453,3,3,94,231,True,True,True,True,False
EIF2B4,32,1,1,32,32,True,True,True,False,False
EIF2B5,20,1,1,20,20,True,True,True,False,False
EIF2S1,35,1,1,35,35,True,True,True,False,False
EIF2S3,318,1,1,318,318,True,True,True,False,False
ENO2,868,3,3,143,394,True,True,True,True,False
ERCC2,466,2,2,199,267,True,True,True,True,False
ERCC3,363,3,3,54,177,True,True,True,True,False
ETF1,370,2,2,158,212,True,True,True,True,False
EXOSC2,251,3,3,28,124,True,True,True,True,False
EXOSC5,165,2,2,41,124,True,True,True,True,False
EXOSC6,352,3,3,106,134,True,True,True,True,False
FBL,25,1,1,25,25,True,True,True,False,False
FH,565,3,3,123,224,True,True,True,True,False
FOS,953,3,3,301,348,True,True,True,True,False
FOXK1,978,3,3,155,567,True,True,True,True,False
GAPDH,249,3,3,59,103,True,True,True,True,False
GTF2A1,434,2,2,191,243,True,True,True,True,False
GTF2A2,450,3,3,93,243,True,True,True,True,False
GTF2E1,278,3,1,261,261,True,True,True,False,False
GTF2H1,259,2,1,248,248,True,True,True,False,False
GTF2H3,392,3,3,39,183,True,True,True,True,False
GTF2H4,312,1,1,312,312,True,True,True,False,False
HDAC1,837,3,3,132,486,True,True,True,True,False
HDAC2,878,3,3,73,526,True,True,True,True,False
HEATR1,9,1,0,0,0,True,True,True,False,False
HNRNPK,113,1,1,113,113,True,True,True,False,False
IDH3A,583,3,3,152,232,True,True,True,True,False
IGF2BP1,595,2,2,199,396,True,True,True,True,False
IGF2BP2,504,3,3,48,267,True,True,True,True,False
INO80,587,3,3,87,276,True,True,True,True,False
JUN,272,3,3,49,143,True,True,True,True,False
KDM1A,711,3,3,113,438,True,True,True,True,False
KDM4A,1130,3,3,311,468,True,True,True,True,False
KDM6A,167,1,1,167,167,True,True,True,False,False
KMT2A,1047,3,3,271,414,True,True,True,True,False
LDB1,1149,2,2,411,738,True,True,True,True,False
LDHA,1437,3,3,148,806,True,True,True,True,False
LIG1,1066,3,3,164,536,True,True,True,True,False
LRPPRC,504,3,3,92,292,True,True,True,True,False
LSM2,153,2,1,142,142,True,True,True,False,False
LSM4,191,3,2,21,160,True,True,True,True,False
LSM6,78,2,2,24,54,True,True,True,True,False
MCM2,69,2,2,30,39,True,True,True,True,False
MCM3,442,3,3,79,189,True,True,True,True,False
MCM6,127,2,2,31,96,True,True,True,True,False
MED19,43,1,1,43,43,True,True,True,False,False
MED21,131,2,2,38,93,True,True,True,True,False
METTL14,190,2,2,69,121,True,True,True,True,False
METTL16,666,3,3,153,320,True,True,True,True,False
METTL3,544,3,3,158,221,True,True,True,True,False
MNAT1,478,3,3,100,189,True,True,True,True,False
NCBP1,249,3,3,24,114,True,True,True,True,False
NDUFA12,803,3,3,201,370,True,True,True,True,False
NDUFAF1,968,3,3,288,355,True,True,True,True,False
NDUFS1,480,3,3,137,181,True,True,True,True,False
NDUFS2,768,3,3,181,328,True,True,True,True,False
NDUFV1,636,3,3,194,227,True,True,True,True,False
NME3,512,2,2,167,345,True,True,True,True,False
NOP2,208,1,1,208,208,True,True,True,False,False
NPAT,465,3,3,125,181,True,True,True,True,False
NUDT21,57,1,1,57,57,True,True,True,False,False
OGDH,1114,3,3,154,559,True,True,True,True,False
PAPOLA,558,3,3,144,216,True,True,True,True,False
PAPOLG,517,3,3,133,210,True,True,True,True,False
PBRM1,572,3,3,156,231,True,True,True,True,False
PCF11,137,1,1,137,137,True,True,True,False,False
PCNA,165,2,2,54,111,True,True,True,True,False
PDHA1,1184,3,3,314,472,True,True,True,True,False
PDIA6,769,3,3,26,469,True,True,True,True,False
PELO,368,3,3,66,172,True,True,True,True,False
PGK1,181,3,3,48,75,True,True,True,True,False
PHF10,883,3,3,59,596,True,True,True,True,False
PKM,320,3,3,64,150,True,True,True,True,False
