perturbation,Cell_cycle_phase,n_cells
PDIA6,S,268
PELO,G1,54
PELO,G2M,202
PELO,S,112
PGK1,G1,23
PGK1,G2M,98
PGK1,S,60
PHF10,G1,120
PHF10,G2M,414
PHF10,S,349
PKM,G1,42
PKM,G2M,159
PKM,S,119
POLA2,G1,17
POLA2,G2M,87
POLA2,S,38
POLD1,G1,7
POLD1,G2M,26
POLD1,S,28
POLD2,G1,28
POLD2,G2M,81
POLD2,S,72
POLD3,G1,12
POLD3,G2M,62
POLD3,S,51
POLE,G1,9
POLE,G2M,46
POLE,S,24
POLR1A,G1,20
POLR1A,G2M,66
POLR1A,S,52
POLR1B,G1,18
POLR1B,G2M,54
POLR1B,S,38
POLR2B,G1,13
POLR2B,G2M,84
POLR2B,S,51
POLR2F,G1,68
POLR2F,G2M,269
POLR2F,S,188
POLR3A,G1,93
POLR3A,G2M,325
POLR3A,S,234
PPP1CB,G1,35
PPP1CB,G2M,140
PPP1CB,S,90
PPP2CA,G1,135
PPP2CA,G2M,419
PPP2CA,S,367
PPP2R1A,G1,71
PPP2R1A,G2M,249
PPP2R1A,S,175
PRDM2,G1,98
PRDM2,G2M,393
PRDM2,S,266
PRIM1,G1,48
PRIM1,G2M,207
PRIM1,S,128
PRPF38B,G1,52
PRPF38B,G2M,202
PRPF38B,S,117
RELA,G1,125
RELA,G2M,488
RELA,S,346
REST,G1,62
REST,G2M,245
REST,S,185
RFC4,G1,17
RFC4,G2M,87
RFC4,S,72
RNMT,G1,67
RNMT,G2M,281
RNMT,S,208
RPL30,G1,15
RPL30,G2M,60
RPL30,S,41
RPS9,G1,20
RPS9,G2M,71
RPS9,S,59
SCO1,G1,83
SCO1,G2M,272
SCO1,S,241
SCO2,G1,94
SCO2,G2M,271
SCO2,S,208
SDHA,G1,139
SDHA,G2M,530
SDHA,S,397
SDHAF1,G1,147
SDHAF1,G2M,582
SDHAF1,S,419
SDHB,G1,68
SDHB,G2M,212
SDHB,S,135
SDHC,G1,104
SDHC,G2M,417
SDHC,S,286
SEC61G,G1,13
SEC61G,G2M,87
SEC61G,S,47
SEC62,G1,201
SEC62,G2M,662
SEC62,S,512
SETD2,G1,59
SETD2,G2M,198
SETD2,S,149
SLC25A1,G1,231
SLC25A1,G2M,950
SLC25A1,S,699
SLC28A1,G1,32
SLC28A1,G2M,176
SLC28A1,S,122
SLC28A3,G1,85
SLC28A3,G2M,271
SLC28A3,S,175
SLC29A1,G1,144
SLC29A1,G2M,467
SLC29A1,S,353
SLC29A2,G1,107
SLC29A2,G2M,445
SLC29A2,S,341
SLC29A3,G1,84
SLC29A3,G2M,380
SLC29A3,S,277
SLC29A4,G1,117
SLC29A4,G2M,518
SLC29A4,S,377
SLC2A1,G1,76
SLC2A1,G2M,359
SLC2A1,S,245
SMARCA4,G1,127
SMARCA4,G2M,437
SMARCA4,S,327
SMARCB1,G1,129
SMARCB1,G2M,449
SMARCB1,S,348
SMARCD1,G1,286
SMARCD1,G2M,1069
SMARCD1,S,803
SMC1A,G1,54
SMC1A,G2M,183
SMC1A,S,134
SMC3,G1,81
SMC3,G2M,272
SMC3,S,162
SMG5,G1,36
SMG5,G2M,98
