n_tasks,repeats,median_seconds,q25_seconds,q75_seconds,tasks_per_second,input_bytes,output_bytes,checksum_last
1000,5,0.00049473898252472281,0.00047340395394712687,0.00050328997895121574,2021267.850972363,40000,16000,1041.7255
10000,5,0.0014857400092296302,0.0014770380221307278,0.0016287619946524501,6730652.696890818,400000,160000,10408.98475
100000,5,0.018388182972557843,0.018383194983471185,0.018435115984175354,5438275.2308500521,4000000,1600000,104096.07434250001
1000000,5,0.32888601400190964,0.32670075795613229,0.33165204402757809,3040567.1187774912,40000000,16000000,1040846.6195932501
5000000,5,1.7175488919601776,1.6664205259876326,1.7604671120061539,2911125.2805698458,200000000,80000000,5204206.6134574506
