workers,n_batches,batch_size,total_tasks,wall_seconds,tasks_per_second,median_worker_kernel_seconds,speedup_vs_one_worker,parallel_efficiency
1,32,250000,8000000,2.6254939160426147,3047045.7200900065,0.045920986012788489,1,1
2,32,250000,8000000,1.3668322899611667,5852949.230682346,0.047428007965208963,1.9208603245078502,0.96043016225392508
4,32,250000,8000000,0.75064769096206874,10657463.010039754,0.050513386988313869,3.4976380366635733,0.87440950916589333
8,32,250000,8000000,0.52136303199222311,15344394.422118006,0.055349592992570251,5.0358267750786325,0.62947834688482907
16,32,250000,8000000,0.4681656559696421,17087968.538466979,0.088077001477358863,5.6080446794090832,0.3505027924630677
32,32,250000,8000000,0.55708635196788236,14360430.787328323,0.31560404651099816,4.7129029579851958,0.14727821743703737
