panel,task_id,raw_log_prob_float32,certainty_budget,output_dim,log_scale,pre_clamp_log_evidence_float32,lower_bound,upper_bound,clamp_active,clamped_log_evidence_float32,evidence_exp_float32,prior_proportion_float32,evidence_proportion_unstable_1_minus_prior_float32,evidence_proportion_stable_e_over_1_plus_e_float32,epistemic_reconstructed_from_unstable_float32,epistemic_locked
Norman_P3,AHR+ctrl,-44.181358337402344,exp,10,10,-34.181358337402344,-30,30,True,-30,9.3576229122198373e-14,1,0,9.3576229122198373e-14,10,10
Norman_P3,CBL+ctrl,-43.906009674072266,exp,10,10,-33.906009674072266,-30,30,True,-30,9.3576229122198373e-14,1,0,9.3576229122198373e-14,10,10
Norman_P3,CDKN1A+ctrl,-44.0128173828125,exp,10,10,-34.0128173828125,-30,30,True,-30,9.3576229122198373e-14,1,0,9.3576229122198373e-14,10,10
Norman_P3,CEBPE+ctrl,-43.835075378417969,exp,10,10,-33.835075378417969,-30,30,True,-30,9.3576229122198373e-14,1,0,9.3576229122198373e-14,10,10
Norman_P3,CITED1+ctrl,-44.573959350585938,exp,10,10,-34.573959350585938,-30,30,True,-30,9.3576229122198373e-14,1,0,9.3576229122198373e-14,10,10
Norman_P3,CNN1+ctrl,-43.79241943359375,exp,10,10,-33.79241943359375,-30,30,True,-30,9.3576229122198373e-14,1,0,9.3576229122198373e-14,10,10
Norman_P3,CNNM4+ctrl,-43.855880737304688,exp,10,10,-33.855880737304688,-30,30,True,-30,9.3576229122198373e-14,1,0,9.3576229122198373e-14,10,10
Norman_P3,DUSP9+ctrl,-44.674613952636719,exp,10,10,-34.674613952636719,-30,30,True,-30,9.3576229122198373e-14,1,0,9.3576229122198373e-14,10,10
Norman_P3,EGR1+ctrl,-43.692913055419922,exp,10,10,-33.692913055419922,-30,30,True,-30,9.3576229122198373e-14,1,0,9.3576229122198373e-14,10,10
Norman_P3,FOXF1+ctrl,-43.919803619384766,exp,10,10,-33.919803619384766,-30,30,True,-30,9.3576229122198373e-14,1,0,9.3576229122198373e-14,10,10
Norman_P3,FOXO4+ctrl,-44.2547607421875,exp,10,10,-34.2547607421875,-30,30,True,-30,9.3576229122198373e-14,1,0,9.3576229122198373e-14,10,10
Norman_P3,HOXB9+ctrl,-43.302860260009766,exp,10,10,-33.302860260009766,-30,30,True,-30,9.3576229122198373e-14,1,0,9.3576229122198373e-14,10,10
Norman_P3,HOXC13+ctrl,-44.032821655273438,exp,10,10,-34.032821655273438,-30,30,True,-30,9.3576229122198373e-14,1,0,9.3576229122198373e-14,10,10
Norman_P3,IRF1+ctrl,-43.900093078613281,exp,10,10,-33.900093078613281,-30,30,True,-30,9.3576229122198373e-14,1,0,9.3576229122198373e-14,10,10
Norman_P3,KIF2C+ctrl,-43.869514465332031,exp,10,10,-33.869514465332031,-30,30,True,-30,9.3576229122198373e-14,1,0,9.3576229122198373e-14,10,10
Norman_P3,KMT2A+ctrl,-43.843231201171875,exp,10,10,-33.843231201171875,-30,30,True,-30,9.3576229122198373e-14,1,0,9.3576229122198373e-14,10,10
Norman_P3,LHX1+ctrl,-44.353736877441406,exp,10,10,-34.353736877441406,-30,30,True,-30,9.3576229122198373e-14,1,0,9.3576229122198373e-14,10,10
Norman_P3,MAP2K3+ctrl,-43.63897705078125,exp,10,10,-33.63897705078125,-30,30,True,-30,9.3576229122198373e-14,1,0,9.3576229122198373e-14,10,10
Norman_P3,PTPN9+ctrl,-43.705322265625,exp,10,10,-33.705322265625,-30,30,True,-30,9.3576229122198373e-14,1,0,9.3576229122198373e-14,10,10
Norman_P3,RHOXF2+ctrl,-43.598976135253906,exp,10,10,-33.598976135253906,-30,30,True,-30,9.3576229122198373e-14,1,0,9.3576229122198373e-14,10,10
Norman_P3,SET+ctrl,-44.682384490966797,exp,10,10,-34.682384490966797,-30,30,True,-30,9.3576229122198373e-14,1,0,9.3576229122198373e-14,10,10
Norman_P3,TGFBR2+ctrl,-44.039115905761719,exp,10,10,-34.039115905761719,-30,30,True,-30,9.3576229122198373e-14,1,0,9.3576229122198373e-14,10,10
Norman_P3,ZBTB25+ctrl,-44.850456237792969,exp,10,10,-34.850456237792969,-30,30,True,-30,9.3576229122198373e-14,1,0,9.3576229122198373e-14,10,10
Norman_P3,ZNF318+ctrl,-43.654983520507812,exp,10,10,-33.654983520507812,-30,30,True,-30,9.3576229122198373e-14,1,0,9.3576229122198373e-14,10,10
Norman_P4,ARID1A+ctrl,-44.220867156982422,exp,10,10,-34.220867156982422,-30,30,True,-30,9.3576229122198373e-14,1,0,9.3576229122198373e-14,10,10
Norman_P4,BAK1+ctrl,-43.772865295410156,exp,10,10,-33.772865295410156,-30,30,True,-30,9.3576229122198373e-14,1,0,9.3576229122198373e-14,10,10
Norman_P4,BCORL1+ctrl,-44.432479858398438,exp,10,10,-34.432479858398438,-30,30,True,-30,9.3576229122198373e-14,1,0,9.3576229122198373e-14,10,10
Norman_P4,CDKN1B+ctrl,-44.364540100097656,exp,10,10,-34.364540100097656,-30,30,True,-30,9.3576229122198373e-14,1,0,9.3576229122198373e-14,10,10
Norman_P4,ETS2+ctrl,-44.323928833007812,exp,10,10,-34.323928833007812,-30,30,True,-30,9.3576229122198373e-14,1,0,9.3576229122198373e-14,10,10
Norman_P4,FOXL2+ctrl,-43.842277526855469,exp,10,10,-33.842277526855469,-30,30,True,-30,9.3576229122198373e-14,1,0,9.3576229122198373e-14,10,10
Norman_P4,GLB1L2+ctrl,-43.674106597900391,exp,10,10,-33.674106597900391,-30,30,True,-30,9.3576229122198373e-14,1,0,9.3576229122198373e-14,10,10
Norman_P4,HNF4A+ctrl,-43.635749816894531,exp,10,10,-33.635749816894531,-30,30,True,-30,9.3576229122198373e-14,1,0,9.3576229122198373e-14,10,10
Norman_P4,ISL2+ctrl,-43.977897644042969,exp,10,10,-33.977897644042969,-30,30,True,-30,9.3576229122198373e-14,1,0,9.3576229122198373e-14,10,10
Norman_P4,KIF18B+ctrl,-43.881927490234375,exp,10,10,-33.881927490234375,-30,30,True,-30,9.3576229122198373e-14,1,0,9.3576229122198373e-14,10,10
Norman_P4,KLF1+ctrl,-43.964618682861328,exp,10,10,-33.964618682861328,-30,30,True,-30,9.3576229122198373e-14,1,0,9.3576229122198373e-14,10,10
Norman_P4,LYL1+ctrl,-44.120372772216797,exp,10,10,-34.120372772216797,-30,30,True,-30,9.3576229122198373e-14,1,0,9.3576229122198373e-14,10,10
Norman_P4,MAML2+ctrl,-43.806121826171875,exp,10,10,-33.806121826171875,-30,30,True,-30,9.3576229122198373e-14,1,0,9.3576229122198373e-14,10,10
Norman_P4,MAP4K3+ctrl,-44.248958587646484,exp,10,10,-34.248958587646484,-30,30,True,-30,9.3576229122198373e-14,1,0,9.3576229122198373e-14,10,10
Norman_P4,MAP4K5+ctrl,-43.81610107421875,exp,10,10,-33.81610107421875,-30,30,True,-30,9.3576229122198373e-14,1,0,9.3576229122198373e-14,10,10
Norman_P4,MAP7D1+ctrl,-43.973625183105469,exp,10,10,-33.973625183105469,-30,30,True,-30,9.3576229122198373e-14,1,0,9.3576229122198373e-14,10,10
Norman_P4,PRTG+ctrl,-44.241115570068359,exp,10,10,-34.241115570068359,-30,30,True,-30,9.3576229122198373e-14,1,0,9.3576229122198373e-14,10,10
Norman_P4,PTPN1+ctrl,-44.273017883300781,exp,10,10,-34.273017883300781,-30,30,True,-30,9.3576229122198373e-14,1,0,9.3576229122198373e-14,10,10
Norman_P4,RUNX1T1+ctrl,-43.198329925537109,exp,10,10,-33.198329925537109,-30,30,True,-30,9.3576229122198373e-14,1,0,9.3576229122198373e-14,10,10
Norman_P4,TBX2+ctrl,-44.629257202148438,exp,10,10,-34.629257202148438,-30,30,True,-30,9.3576229122198373e-14,1,0,9.3576229122198373e-14,10,10
Norman_P4,TMSB4X+ctrl,-43.540866851806641,exp,10,10,-33.540866851806641,-30,30,True,-30,9.3576229122198373e-14,1,0,9.3576229122198373e-14,10,10
Norman_P4,UBASH3A+ctrl,-43.916240692138672,exp,10,10,-33.916240692138672,-30,30,True,-30,9.3576229122198373e-14,1,0,9.3576229122198373e-14,10,10
Norman_P4,UBASH3B+ctrl,-43.906570434570312,exp,10,10,-33.906570434570312,-30,30,True,-30,9.3576229122198373e-14,1,0,9.3576229122198373e-14,10,10
Norman_P4,ZBTB1+ctrl,-44.090286254882812,exp,10,10,-34.090286254882812,-30,30,True,-30,9.3576229122198373e-14,1,0,9.3576229122198373e-14,10,10
