panel,field,n_rows,max_abs_E157_vs_E158_delta,within_tolerance_1e-7
Norman_P3,epistemic_confidence,24,0,True
Norman_P3,aleatoric_confidence,24,0,True
Norman_P3,combined_confidence_official,24,0,True
Norman_P3,predicted_magnitude_rms,24,1.265631099922615e-09,True
Norman_P4,epistemic_confidence,24,0,True
Norman_P4,aleatoric_confidence,24,0,True
Norman_P4,combined_confidence_official,24,0,True
Norman_P4,predicted_magnitude_rms,24,1.265631099922615e-09,True
