panel,n_tasks,raw_log_prob_min,raw_log_prob_max,pre_clamp_min,pre_clamp_max,clamp_fraction,clamped_log_evidence_nunique,evidence_exp_float32_min,evidence_exp_float32_max,unstable_evidence_proportion_nunique,unstable_evidence_proportion_min,unstable_evidence_proportion_max,stable_evidence_proportion_min,stable_evidence_proportion_max,epistemic_reconstructed_nunique
Norman_P3,24,-44.850456237792969,-43.302860260009766,-34.850456237792969,-33.302860260009766,1,1,9.3576229122198373e-14,9.3576229122198373e-14,1,0,0,9.3576229122198373e-14,9.3576229122198373e-14,1
Norman_P4,24,-44.629257202148438,-43.198329925537109,-34.629257202148438,-33.198329925537109,1,1,9.3576229122198373e-14,9.3576229122198373e-14,1,0,0,9.3576229122198373e-14,9.3576229122198373e-14,1
