dataset,method,budget,utility,capture,spearman,remaining_relative_error
Cui_direct41,magnitude,0.1,0.3522056521616903,0.3291758350418664,0.32823829785768643,0.9830426236424354
Cui_direct41,magnitude,0.2,0.360481871498281,0.37933936247441147,0.32823829785768643,0.9774209900429395
Cui_direct41,magnitude,0.3,0.3710631906043696,0.46658601360250446,0.32823829785768643,0.9724085074756388
Cui_direct41,ridge_M,0.1,0.3522056521616903,0.3291758350418664,0.32823829785768643,0.9830426236424354
Cui_direct41,ridge_M,0.2,0.360481871498281,0.37933936247441147,0.32823829785768643,0.9774209900429395
Cui_direct41,ridge_M,0.3,0.3710631906043696,0.46658601360250446,0.32823829785768643,0.9724085074756388
Cui_direct41,ridge_MD,0.1,0.3589132460004261,0.3294605661001222,0.32886039964674507,0.982632877668635
Cui_direct41,ridge_MD,0.2,0.362464619323536,0.3793276264242248,0.32886039964674507,0.9774439795221718
Cui_direct41,ridge_MD,0.3,0.36942091974033164,0.46645193970325854,0.32886039964674507,0.9726595876530186
Cui_direct41,ridge_MDH,0.1,0.36263892883667737,0.32959469229458144,0.33149977401912384,0.982455180736822
Cui_direct41,ridge_MDH,0.2,0.3657518896972622,0.3794482962596807,0.33149977401912384,0.9772515107977744
Cui_direct41,ridge_MDH,0.3,0.37488287588232694,0.46667191363225924,0.33149977401912384,0.9722485286089213
Cui_direct41,ridge_MDH_condition,0.1,0.36861427849519046,0.3297938351189181,0.33689527405858677,0.9821492601924225
Cui_direct41,ridge_MDH_condition,0.2,0.36936801635474487,0.3794926379293206,0.33689527405858677,0.9771664095389451
Cui_direct41,ridge_MDH_condition,0.3,0.38451877452320193,0.4669930698237087,0.33689527405858677,0.97163206129753
Cui_direct41,tree_direct_M,0.1,0.3534048433479267,0.3295849435262371,0.32633554123624714,0.9822374931951319
Cui_direct41,tree_direct_M,0.2,0.3775865843968248,0.37993133929650075,0.32633554123624714,0.9765300936981581
Cui_direct41,tree_direct_M,0.3,0.38678938173622673,0.4680939868045458,0.32633554123624714,0.9699116332576309
Cui_direct41,tree_direct_MD,0.1,0.3526935395503735,0.3287051108327625,0.3273895981698454,0.9833409794824514
Cui_direct41,tree_direct_MD,0.2,0.37933579533105627,0.37917472906171074,0.3273895981698454,0.9775177588452706
Cui_direct41,tree_direct_MD,0.3,0.3876837404717453,0.46673180702656397,0.3273895981698454,0.9720434808676655
Cui_direct41,tree_direct_MDH,0.1,0.3451100555488072,0.329348876709387,0.3313689856594394,0.9825337091378453
Cui_direct41,tree_direct_MDH,0.2,0.3618082207672518,0.3794326172166924,0.3313689856594394,0.9770079370318484
Cui_direct41,tree_direct_MDH,0.3,0.39080642283138506,0.4676023756535873,0.3313689856594394,0.9702099582776271
Cui_direct41,tree_direct_MDH_condition,0.1,0.35274628530686913,0.3289114982617853,0.3264907920087016,0.9833361533324864
Cui_direct41,tree_direct_MDH_condition,0.2,0.3667369026624107,0.37907130380728377,0.3264907920087016,0.9777217849441084
Cui_direct41,tree_direct_MDH_condition,0.3,0.3701257194805923,0.4664977517352877,0.3264907920087016,0.9721083711665751
Cui_direct41,tree_residual_M,0.1,0.35770866905206433,0.32973293639851364,0.3274447405557119,0.9822878881917068
Cui_direct41,tree_residual_M,0.2,0.368609881210585,0.37963081840946805,0.3274447405557119,0.9770259524280396
Cui_direct41,tree_residual_M,0.3,0.38478233396933914,0.46733728612959713,0.3274447405557119,0.9711651934189229
Cui_direct41,tree_residual_MD,0.1,0.3606056375955324,0.329463581684161,0.3286912782147238,0.9826579968696707
Cui_direct41,tree_residual_MD,0.2,0.3730286932484884,0.37946693084893174,0.3286912782147238,0.977261241093255
Cui_direct41,tree_residual_MD,0.3,0.3820168886604647,0.46701746874853706,0.3286912782147238,0.9717389244644746
Cui_direct41,tree_residual_MDH,0.1,0.3603208472012598,0.32939475143232577,0.3315125324141707,0.9826644734613569
Cui_direct41,tree_residual_MDH,0.2,0.3766196686775623,0.3796913026225007,0.3315125324141707,0.9768626003693809
Cui_direct41,tree_residual_MDH,0.3,0.39391820307120745,0.46742168350878044,0.3315125324141707,0.9709755766183068
Cui_direct41,tree_residual_MDH_condition,0.1,0.36052743688099365,0.32931242279431827,0.3324350943615972,0.9828074190270759
Cui_direct41,tree_residual_MDH_condition,0.2,0.37609398346505774,0.37953485704965867,0.3324350943615972,0.9770900092230429
Cui_direct41,tree_residual_MDH_condition,0.3,0.3935214840289307,0.4674251446403731,0.3324350943615972,0.9709485048035366
Frangieh,magnitude,0.1,0.5340460269961582,0.18276443930317698,0.5170162842367677,0.9757778566739626
Frangieh,magnitude,0.2,0.5530099218094037,0.2676224245003971,0.5170162842367677,0.9641871208960177
