method,baseline,budget,metric,delta,ci95_lower,ci95_upper,positive_studies,n_studies
ridge_M,magnitude,0.1,utility,0.0,0.0,0.0,0,4
ridge_M,magnitude,0.1,capture,0.0,0.0,0.0,0,4
ridge_M,magnitude,0.1,spearman,0.0,0.0,0.0,0,4
ridge_M,magnitude,0.1,remaining_relative_error,0.0,0.0,0.0,0,4
ridge_MD,magnitude,0.1,utility,0.005133526538310271,-0.0016685189373941145,0.012808330243273838,2,4
ridge_MD,magnitude,0.1,capture,0.00023820616740057726,-0.0001329121352251772,0.0006908894179862082,2,4
ridge_MD,magnitude,0.1,spearman,0.001389633829435473,-0.001230421938682738,0.005124805664231062,2,4
ridge_MD,magnitude,0.1,remaining_relative_error,-0.00026351825295292675,-0.0008438058971893814,0.0002481197781556421,2,4
ridge_MDH,magnitude,0.1,utility,0.0059163206229154025,-0.002420517845082376,0.014253159090913181,2,4
ridge_MDH,magnitude,0.1,capture,0.00028459866052189114,-0.00015675988279301167,0.0007480732802670545,2,4
ridge_MDH,magnitude,0.1,spearman,0.0024617340786690853,-0.0002989141590332006,0.005407635282874128,3,4
ridge_MDH,magnitude,0.1,remaining_relative_error,-0.00031567582519478887,-0.0009218572526804025,0.0002905056022908248,2,4
ridge_MDH_condition,magnitude,0.1,utility,0.012643368185993542,0.004102156583375038,0.020639951789500066,3,4
ridge_MDH_condition,magnitude,0.1,capture,0.0006195698152113988,0.0002012185559852192,0.0009460537391527135,3,4
ridge_MDH_condition,magnitude,0.1,spearman,0.009346019956488961,0.0025488594348404836,0.01707924753736647,4,4
ridge_MDH_condition,magnitude,0.1,remaining_relative_error,-0.0009416543411992495,-0.0016543645606804103,-0.00024130557930363006,0,4
tree_direct_M,magnitude,0.1,utility,-0.042958592855636475,-0.11167664953299529,-0.0024212788928706097,1,4
tree_direct_M,magnitude,0.1,capture,-0.001298799614329424,-0.00427769953151759,0.0003555937324462022,2,4
tree_direct_M,magnitude,0.1,spearman,-0.01791191650909084,-0.05358988090081028,0.011282523425666824,1,4
