target,baseline,delta_stratified_spearman,bootstrap_ci95_low,bootstrap_ci95_high
pair_mean_RMSE,magnitude_mean_rank,0.1818906377699649,0.061726555069554066,0.3098018149161674
pair_mean_RMSE,magnitude_max_rank,0.16671739480001763,0.05008200861801376,0.29023208616206236
pair_max_RMSE,magnitude_mean_rank,0.21152181640799145,0.08716551302265028,0.3415164201079831
pair_max_RMSE,magnitude_max_rank,0.19707255032171717,0.07476116935904875,0.3199075935356214
