file,rows,row_groups,columns
train-00000-of-01026.parquet,3986181,3987,gene_name|baseMean|log2FoldChange|lfcSE|stat|pvalue|padj|plate|n_cells_trt|n_cells_ctrl|Cell_ID_Cellosaur|Cell_ID_DepMap|drug|concentration|concentration_unit|Cell_Name_Vevo
train-00001-of-01026.parquet,3986181,3987,gene_name|baseMean|log2FoldChange|lfcSE|stat|pvalue|padj|plate|n_cells_trt|n_cells_ctrl|Cell_ID_Cellosaur|Cell_ID_DepMap|drug|concentration|concentration_unit|Cell_Name_Vevo
train-00002-of-01026.parquet,3986181,3987,gene_name|baseMean|log2FoldChange|lfcSE|stat|pvalue|padj|plate|n_cells_trt|n_cells_ctrl|Cell_ID_Cellosaur|Cell_ID_DepMap|drug|concentration|concentration_unit|Cell_Name_Vevo
train-00003-of-01026.parquet,3986181,3987,gene_name|baseMean|log2FoldChange|lfcSE|stat|pvalue|padj|plate|n_cells_trt|n_cells_ctrl|Cell_ID_Cellosaur|Cell_ID_DepMap|drug|concentration|concentration_unit|Cell_Name_Vevo
train-00004-of-01026.parquet,3986181,3987,gene_name|baseMean|log2FoldChange|lfcSE|stat|pvalue|padj|plate|n_cells_trt|n_cells_ctrl|Cell_ID_Cellosaur|Cell_ID_DepMap|drug|concentration|concentration_unit|Cell_Name_Vevo
train-00005-of-01026.parquet,3986181,3987,gene_name|baseMean|log2FoldChange|lfcSE|stat|pvalue|padj|plate|n_cells_trt|n_cells_ctrl|Cell_ID_Cellosaur|Cell_ID_DepMap|drug|concentration|concentration_unit|Cell_Name_Vevo
train-00006-of-01026.parquet,3986181,3987,gene_name|baseMean|log2FoldChange|lfcSE|stat|pvalue|padj|plate|n_cells_trt|n_cells_ctrl|Cell_ID_Cellosaur|Cell_ID_DepMap|drug|concentration|concentration_unit|Cell_Name_Vevo
train-00007-of-01026.parquet,3986181,3987,gene_name|baseMean|log2FoldChange|lfcSE|stat|pvalue|padj|plate|n_cells_trt|n_cells_ctrl|Cell_ID_Cellosaur|Cell_ID_DepMap|drug|concentration|concentration_unit|Cell_Name_Vevo
train-00008-of-01026.parquet,3986181,3987,gene_name|baseMean|log2FoldChange|lfcSE|stat|pvalue|padj|plate|n_cells_trt|n_cells_ctrl|Cell_ID_Cellosaur|Cell_ID_DepMap|drug|concentration|concentration_unit|Cell_Name_Vevo
train-00009-of-01026.parquet,3986181,3987,gene_name|baseMean|log2FoldChange|lfcSE|stat|pvalue|padj|plate|n_cells_trt|n_cells_ctrl|Cell_ID_Cellosaur|Cell_ID_DepMap|drug|concentration|concentration_unit|Cell_Name_Vevo
train-00010-of-01026.parquet,3986181,3987,gene_name|baseMean|log2FoldChange|lfcSE|stat|pvalue|padj|plate|n_cells_trt|n_cells_ctrl|Cell_ID_Cellosaur|Cell_ID_DepMap|drug|concentration|concentration_unit|Cell_Name_Vevo
train-00011-of-01026.parquet,3986181,3987,gene_name|baseMean|log2FoldChange|lfcSE|stat|pvalue|padj|plate|n_cells_trt|n_cells_ctrl|Cell_ID_Cellosaur|Cell_ID_DepMap|drug|concentration|concentration_unit|Cell_Name_Vevo
