feature_a,feature_b,spearman_rho,abs_rho
context_similarity_max,perturbation_effect_variance,0.1537154712231381,0.1537154712231381
prediction_magnitude_deviation,ood_nearest_distance,0.1537100079449107,0.1537100079449107
context_similarity_mean,prediction_magnitude_deviation,-0.13893743560904817,0.13893743560904817
perturbation_effect_variance,prediction_magnitude_deviation,0.12604528063580978,0.12604528063580978
prediction_magnitude_deviation,model_disagreement_rmse,0.12421013841176032,0.12421013841176032
context_similarity_max,perturbation_support_count,0.11765943988522233,0.11765943988522233
context_similarity_mean,prediction_abs_mean,-0.099373433927668,0.099373433927668
prediction_norm_ratio,historical_residual_risk,0.09147935539854304,0.09147935539854304
prediction_magnitude_deviation,ood_mean_k_distance,-0.07673949909636878,0.07673949909636878
context_similarity_mean,model_disagreement_cosine,-0.06996147915984567,0.06996147915984567
context_similarity_max,prediction_norm_ratio,0.060328397004030976,0.060328397004030976
fold_train_median_effect_norm,prediction_norm_ratio,-0.055978458244948626,0.055978458244948626
context_similarity_mean,perturbation_support_count,-0.05534951274401589,0.05534951274401589
perturbation_effect_variance,model_disagreement_cosine,-0.05127985961363646,0.05127985961363646
fold_train_median_effect_norm,model_disagreement_cosine,-0.04111511411596461,0.04111511411596461
context_similarity_max,prediction_magnitude_deviation,-0.04096377901091175,0.04096377901091175
context_similarity_mean,perturbation_effect_stability,0.03923634305966146,0.03923634305966146
prediction_abs_mean,prediction_magnitude_deviation,-0.03578775153681906,0.03578775153681906
context_similarity_max,model_disagreement_cosine,0.032152361365970605,0.032152361365970605
context_similarity_mean,ood_mean_k_distance,-0.031139970383066564,0.031139970383066564
prediction_l2_norm,prediction_magnitude_deviation,0.024759978670939244,0.024759978670939244
context_similarity_mean,prediction_norm_ratio,-0.024414173519408285,0.024414173519408285
model_disagreement_cosine,historical_residual_risk,-0.02310627215528074,0.02310627215528074
prediction_norm_ratio,ood_mean_k_distance,-0.02003796407856181,0.02003796407856181
