n,aligned_rho,partial_rho_control_magnitude,normalized_rmse_rho,mean_rmse,median_rmse,score_name,fold_id
466,-0.1405251869444789,0.12293638126826315,0.20733693437806977,1.526687610557164,1.2033535815440692,context_similarity_score,0
466,-0.07060392849595204,0.18960830439776455,0.2510642049572688,1.6383967336722374,1.1533666651970234,context_similarity_score,1
464,-0.08499860921795775,0.10033308353660494,0.2024989833706088,1.471642716953945,1.0791309698006817,context_similarity_score,2
464,-0.055467122079958055,0.12541878493002442,0.21809416126750605,1.514063772741186,1.205384477228845,context_similarity_score,3
466,-0.03955686794075267,0.06622582355613331,0.12634225031690918,1.5536739977663352,1.2381380281649124,context_similarity_score,4
932,0.4113384236923382,0.2712448658209084,0.06824560610526115,1.5266876105571638,1.2033535815440692,historical_residual_risk,0
932,0.404084244449842,0.2950681912944251,0.15260488191127977,1.6383967336722374,1.1533666651970234,historical_residual_risk,1
928,0.47061486464552843,0.2769618638236495,0.047803644886368686,1.471642716953945,1.0791309698006817,historical_residual_risk,2
928,0.4179987361514365,0.24954677438097306,0.05722807810621158,1.514063772741186,1.205384477228845,historical_residual_risk,3
932,0.4606687012143439,0.3175458291492184,0.09400044394135973,1.5536739977663352,1.2381380281649124,historical_residual_risk,4
466,0.6028544315224296,0.2658934369457439,-0.08490549312940075,1.526687610557164,1.2033535815440692,learned_risk_score,0
466,0.606965377373789,0.17585402399376066,-0.10489991375990508,1.6383967336722374,1.1533666651970234,learned_risk_score,1
464,0.5402264815477721,0.2919413667685983,0.018908938897791397,1.471642716953945,1.0791309698006817,learned_risk_score,2
464,0.5529736664448379,0.24487570294911357,-0.07561257168392047,1.514063772741186,1.205384477228845,learned_risk_score,3
466,0.6317293584821979,0.41877338373733797,0.07421183994383869,1.5536739977663352,1.2381380281649124,learned_risk_score,4
932,0.11004727170025994,0.0791473789017782,-0.042102058876684945,1.5266876105571638,1.2033535815440692,model_disagreement_risk,0
932,0.22766854533961897,-0.003599743943097377,-0.1523860255490827,1.6383967336722374,1.1533666651970234,model_disagreement_risk,1
928,0.10692828867476314,0.12167245374353801,0.053915332743147845,1.471642716953945,1.0791309698006817,model_disagreement_risk,2
928,0.2275983635225929,0.10961496377153583,-0.04985800058309419,1.514063772741186,1.205384477228845,model_disagreement_risk,3
932,0.08981744100042163,0.0793273352599554,-0.030329922967835,1.5536739977663352,1.2381380281649124,model_disagreement_risk,4
466,0.10501667344974384,0.2847278378532574,0.3676793134225907,1.526687610557164,1.2033535815440692,ood_distance_risk,0
466,0.05224009823440312,0.3842568566161189,0.5371014477328265,1.6383967336722374,1.1533666651970234,ood_distance_risk,1
464,0.06211384410990715,0.21127227252096437,0.3655438129737398,1.471642716953945,1.0791309698006817,ood_distance_risk,2
464,0.026139136606693373,0.2524433500578233,0.39175742689980886,1.514063772741186,1.205384477228845,ood_distance_risk,3
466,0.02768169044389635,0.09277627119468121,0.2311886122499089,1.5536739977663352,1.2381380281649124,ood_distance_risk,4
466,0.12591972882248326,0.2359175391716754,0.29910134204292077,1.526687610557164,1.2033535815440692,prediction_magnitude_risk,0
466,-0.04824945058626366,0.3437733013273022,0.4869456094482857,1.6383967336722374,1.1533666651970234,prediction_magnitude_risk,1
464,0.055479930904748974,0.1813628279809589,0.29646499470253723,1.471642716953945,1.0791309698006817,prediction_magnitude_risk,2
464,-0.017541328618070954,0.1546114695082483,0.27771558030641197,1.514063772741186,1.205384477228845,prediction_magnitude_risk,3
466,-0.025832717932633115,0.12719846188189096,0.2721839970520058,1.5536739977663352,1.2381380281649124,prediction_magnitude_risk,4
466,-0.10281526790727577,-0.06275662917353833,-0.11028183214860089,1.526687610557164,1.2033535815440692,protocol_v0_2_family_confidence,0
466,-0.0699149039494312,-0.12438164732892083,-0.18483766517097058,1.6383967336722374,1.1533666651970234,protocol_v0_2_family_confidence,1
464,-0.14612233837034544,-0.043663732971411746,-0.054167834880773175,1.471642716953945,1.0791309698006817,protocol_v0_2_family_confidence,2
464,0.014846212744582876,-0.030267870131824866,-0.14229324315676567,1.514063772741186,1.205384477228845,protocol_v0_2_family_confidence,3
466,-0.10360124700313217,-0.04563710838205509,-0.05351108857076235,1.5536739977663352,1.2381380281649124,protocol_v0_2_family_confidence,4
466,-0.10281526790727577,-0.06275662917353833,-0.11028183214860089,1.526687610557164,1.2033535815440692,protocol_v0_2_with_stability_confidence,0
466,-0.0699149039494312,-0.12438164732892083,-0.18483766517097058,1.6383967336722374,1.1533666651970234,protocol_v0_2_with_stability_confidence,1
464,-0.14612233837034544,-0.043663732971411746,-0.054167834880773175,1.471642716953945,1.0791309698006817,protocol_v0_2_with_stability_confidence,2
464,0.014846212744582876,-0.030267870131824866,-0.14229324315676567,1.514063772741186,1.205384477228845,protocol_v0_2_with_stability_confidence,3
466,-0.10360124700313217,-0.04563710838205509,-0.05351108857076235,1.5536739977663352,1.2381380281649124,protocol_v0_2_with_stability_confidence,4
932,0.030922691936091616,-0.009653772247920014,-0.02447730468426906,1.5266876105571638,1.2033535815440692,random_score,0
932,0.012493340776445459,0.04109288853240209,0.024815031449915675,1.6383967336722374,1.1533666651970234,random_score,1
928,-0.08191174739391259,-0.01504137740777112,0.02209654595819208,1.471642716953945,1.0791309698006817,random_score,2
928,-0.02498804767476221,-0.052422226675451385,-0.03664042360482128,1.514063772741186,1.205384477228845,random_score,3
932,0.07281634535882135,0.057843657456982486,0.017115501545888537,1.5536739977663352,1.2381380281649124,random_score,4
466,0.11004727170025994,0.07914737890177817,-0.04210205887668494,1.526687610557164,1.2033535815440692,simple_combined_confidence,0
466,0.2762045332785829,0.24743123301260467,0.19405145572465968,1.6383967336722374,1.1533666651970234,simple_combined_confidence,1
464,0.10692828867476317,0.12167245374353805,0.05391533274314786,1.471642716953945,1.0791309698006817,simple_combined_confidence,2
464,0.2386442099092584,0.18369818457229173,0.08134956767418561,1.514063772741186,1.205384477228845,simple_combined_confidence,3
466,0.1872382929344765,0.23052103237800242,0.18297493740426685,1.5536739977663352,1.2381380281649124,simple_combined_confidence,4
466,-0.13047612131713196,-0.14704828497970351,-0.16478905443681532,1.526687610557164,1.2033535815440692,support_count_score,0
466,-0.162167170781158,-0.06806430753437394,-0.04366298131421002,1.6383967336722374,1.1533666651970234,support_count_score,1
464,-0.22103850145197423,-0.10418926596800424,-0.0778276578152176,1.471642716953945,1.0791309698006817,support_count_score,2
