n,aligned_rho,partial_rho_control_magnitude,normalized_rmse_rho,mean_rmse,median_rmse,score_name,score_type
2326,0.5872170678961859,0.28526326972900856,-0.03504501245724866,1.5409755797887161,1.1746540979433044,learned_risk_score,risk
4652,0.4258179662994646,0.26355627936067133,0.07153097543646456,1.5409755797887161,1.1746540979433044,historical_residual_risk,risk
2326,0.18621953333026475,0.18123310172446006,0.10841254298933244,1.5409755797887161,1.1746540979433044,simple_combined_confidence,confidence
4652,0.15177943109122552,0.08541110229715608,-0.0432513914990991,1.5409755797887161,1.1746540979433044,model_disagreement_risk,risk
2326,0.05395855718211796,0.23983455970761935,0.37672304937421774,1.5409755797887161,1.1746540979433044,ood_distance_risk,risk
2326,0.019286123562704576,0.19685612060072255,0.32303098678995606,1.5409755797887161,1.1746540979433044,prediction_magnitude_risk,risk
4652,0.002675592518968666,0.00851881703256655,0.0016583821571667674,1.5409755797887161,1.1746540979433044,random_score,confidence
2326,-0.0779601289189972,0.12078249431579827,0.20369511673923107,1.5409755797887161,1.1746540979433044,context_similarity_score,confidence
2326,-0.08593379956770722,-0.06092390770910372,-0.11575848926018104,1.5409755797887161,1.1746540979433044,protocol_v0_2_family_confidence,confidence
2326,-0.08593379956770722,-0.06092390770910372,-0.11575848926018104,1.5409755797887161,1.1746540979433044,protocol_v0_2_with_stability_confidence,confidence
2326,-0.14820754895119775,-0.0845456127270112,-0.07529687629406749,1.5409755797887161,1.1746540979433044,support_count_score,confidence
