drug,n_cells
DMSO_TF,2330156
Adagrasib,1504078
Afatinib,734761
Almonertinib (mesylate),622410
Binimetinib,574740
Fumaric acid,574017
Cytarabine,569615
Pravastatin (sodium),569466
Belumosudil,553774
Berbamine (dihydrochloride),540485
Flumatinib (mesylate),539573
Daidzin,517602
Naproxen,513036
Trametinib,512613
Irinotecan (hydrochloride),502578
Regorafenib,500641
Topotecan (hydrochloride),476972
Methylthiouracil,454853
Berbamine,449664
Clonidine (hydrochloride),430927
Chlorhexidine (diacetate),428705
Uridine,421969
Gemcitabine,397331
Perindopril (erbumine),396641
Quinestrol,388456
Gefitinib,384986
Artesunate,381197
Dapagliflozin,379160
Everolimus,378851
Goserelin (acetate),364591
Tolcapone,361297
Ataluren,356079
Hexylresorcinol,354811
Allopurinol,354302
Berberine (chloride hydrate),353335
Esmolol (hydrochloride),351331
Entecavir (monohydrate),348312
Cloxacillin (sodium),347965
Relugolix,346999
Omeprazole,344085
Gallic acid,343625
Malotilate,343618
Gemfibrozil,342591
Lipoic acid,340668
Baicalin,340106
Paclitaxel,339742
Clopidogrel,337903
S-Adenosyl-L-methionine (disulfate tosylate),336741
Fusidic acid,335398
Folic acid,333006
Pyridoxine (hydrochloride),332962
Terfenadine,332807
Carbidopa (monohydrate),330976
Vemurafenib,330755
Ponatinib,330590
Tirabrutinib (hydrochloride),330351
Anethole trithione,329870
Brimonidine,328315
Canagliflozin (hemihydrate),325578
Pentamidine (isethionate),325461
Filgotinib,324204
Sulfisoxazole,323803
Neratinib (maleate),323637
Balsalazide (sodium hydrate),322957
Fulvestrant,322344
Captopril,320482
Lumateperone (tosylate),320367
Bicalutamide,320324
Adenine,319912
Riluzole hydrochloride,317274
Methyl aminolevulinate (hydrochloride),315794
Artemether,314979
Retinoic acid,313463
Raltitrexed,311192
Piroxicam,311024
(R)-Verapamil (hydrochloride),310798
Diammonium Glycyrrhizinate,309973
Rucaparib (phosphate),309691
Aliskiren,309192
Rimonabant,309188
Pentagastrin,306339
Abiraterone acetate,303742
Ornidazole,303429
8-Hydroxyquinoline,303241
Darolutamide,303074
Pentoxifylline,302618
Bergenin,302274
Norepinephrine (hydrochloride),302134
Pasireotide (acetate),301808
Anastrozole,301589
Triclosan,299933
Dimethyl fumarate,299702
Edoxaban (tosylate monohydrate),298983
Olanzapine,293249
Allantoin,292138
Adenosine,292064
Econazole,290323
Tucidinostat,290046
Salicylic acid,289442
Glasdegib,289199
Tirabrutinib,288330
Citalopram (hydrobromide),288024
Sodium Salicylate,287311
Ribociclib,287082
Cyclosporin A,285873
Cysteamine (hydrochloride),285491
Drospirenone,285405
Omeprazole (sodium),284489
RMC-6236,284208
Amsacrine,282924
DTP3,282100
Phenylephrine (hydrochloride),281658
Lucanthone,281062
Palmatine (chloride),279085
Tetracycline (hydrochloride),278622
Sivelestat (sodium tetrahydrate),278109
Delamanid,277338
Bestatin (hydrochloride),274306
Indacaterol (maleate),274044
Sinomenine,273843
Megestrol,273027
Ouabain (Octahydrate),272651
Resveratrol,272575
Trifluridine,272488
γ-Oryzanol,271934
Trimetrexate,271775
Bexarotene,271651
Mebendazole,271344
Plicamycin,270118
Diphenhydramine,269812
Loperamide (hydrochloride),269722
Trametinib (DMSO_TF solvate),269491
Benztropine (mesylate),269377
Idoxuridine,268173
Temsirolimus,267526
BI-3406,267417
Voriconazole,266885
Selinexor ,266704
