n,aligned_rho,partial_rho_control_magnitude,normalized_rmse_rho,mean_rmse,median_rmse,removed_dose_value,removed_n
2042,-0.012520953726812249,0.010747893484946003,-0.06457105616608727,1.6038412240411557,1.2424020782750969,2.5,284
1610,-0.027879403331483765,-0.03518727598605823,-0.05084238819304236,1.2484652876696671,1.017736129896673,0.1,716
1942,-0.08782440992523269,-0.11559698961155945,-0.17832198460775964,1.6179683202481745,1.2658177678033824,0.0,384
2132,-0.09660588799085222,-0.06628789604286982,-0.1274906973639434,1.5656936327065312,1.2102326443211577,5.0,194
2138,-0.09863594441720903,-0.06640036157747821,-0.11654155418106293,1.563576714366239,1.1969404793891374,10.0,188
2138,-0.11332060290235467,-0.07218607954599957,-0.11646291293396073,1.5807815949853834,1.21758875958932,0.5,188
1954,-0.11984206009403063,-0.08190567871938587,-0.1438994406882159,1.544519411793793,1.1366193307617336,1.0,372
