,context_similarity_max,context_similarity_mean,perturbation_support_count,perturbation_effect_stability,perturbation_effect_variance,prediction_l2_norm,prediction_abs_mean,fold_train_median_effect_norm,prediction_norm_ratio,prediction_magnitude_deviation,model_disagreement_rmse,model_disagreement_cosine,ood_nearest_distance,ood_mean_k_distance,historical_residual_risk
context_similarity_max,1.0,0.6021432241053237,0.11765943988522233,0.17485401615363244,0.1537154712231381,0.20139103551396373,0.17475463133828376,0.23993953657585662,0.060328397004030976,-0.04096377901091175,0.17278266345019028,0.032152361365970605,-0.5126487041137127,-0.27612658416727903,0.20324608987073242
context_similarity_mean,0.6021432241053237,1.0,-0.05534951274401589,0.03923634305966146,-0.20065212910275124,-0.1911659638597388,-0.099373433927668,-0.15712005569742823,-0.024414173519408285,-0.13893743560904817,-0.2344114953521112,-0.06996147915984567,-0.47823350951445387,-0.031139970383066564,-0.18989628157636013
perturbation_support_count,0.11765943988522233,-0.05534951274401589,1.0,0.1865906435061969,0.5331788264574617,0.6559008194472264,0.5062843245108006,0.6778626018401861,-0.2634983175408496,0.20795198522091715,0.5432282823417246,-0.21590632421519995,-0.2571068960680232,-0.7232414344479773,0.655402564707703
perturbation_effect_stability,0.17485401615363244,0.03923634305966146,0.1865906435061969,1.0,0.22200422883655813,0.4717557913531008,0.3907889667487751,0.21415696558387837,0.5834361389331175,-0.4137865671340771,0.30287464542871734,-0.3248139022983731,-0.4645349860571754,-0.5267488973141533,0.21253460237748964
perturbation_effect_variance,0.1537154712231381,-0.20065212910275124,0.5331788264574617,0.22200422883655813,1.0,0.8980217405696704,0.867520245841019,0.87734976087151,0.1634682130506632,0.12604528063580978,0.8905526502736797,-0.05127985961363646,-0.40018777735128275,-0.48044895562430023,0.9700487546878158
prediction_l2_norm,0.20139103551396373,-0.1911659638597388,0.6559008194472264,0.4717557913531008,0.8980217405696704,1.0,0.9239370155417107,0.9023617850153043,0.2734857439421487,0.024759978670939244,0.9006497160976875,-0.1637008410067258,-0.4092735047731689,-0.7528982898732542,0.9341858261662404
prediction_abs_mean,0.17475463133828376,-0.099373433927668,0.5062843245108006,0.3907889667487751,0.867520245841019,0.9239370155417107,1.0,0.8276563346880194,0.32954417320507146,-0.03578775153681906,0.8224729723091317,-0.20581385883480352,-0.45698534581133604,-0.7310692987765167,0.8645926363294953
fold_train_median_effect_norm,0.23993953657585662,-0.15712005569742823,0.6778626018401861,0.21415696558387837,0.87734976087151,0.9023617850153043,0.8276563346880194,1.0,-0.055978458244948626,0.19544681508246012,0.8661667945327204,-0.04111511411596461,-0.405147458901051,-0.6902983051291535,0.9192656598289805
prediction_norm_ratio,0.060328397004030976,-0.024414173519408285,-0.2634983175408496,0.5834361389331175,0.1634682130506632,0.2734857439421487,0.32954417320507146,-0.055978458244948626,1.0,-0.5542762649620133,0.16307089704815603,-0.1726140991977873,-0.18468779982917824,-0.02003796407856181,0.09147935539854304
prediction_magnitude_deviation,-0.04096377901091175,-0.13893743560904817,0.20795198522091715,-0.4137865671340771,0.12604528063580978,0.024759978670939244,-0.03578775153681906,0.19544681508246012,-0.5542762649620133,1.0,0.12421013841176032,0.19067895268667376,0.1537100079449107,-0.07673949909636878,0.18089662324260644
model_disagreement_rmse,0.17278266345019028,-0.2344114953521112,0.5432282823417246,0.30287464542871734,0.8905526502736797,0.9006497160976875,0.8224729723091317,0.8661667945327204,0.16307089704815603,0.12421013841176032,1.0,0.19630846145042807,-0.28552012857539394,-0.6076501407988019,0.9187380171295291
model_disagreement_cosine,0.032152361365970605,-0.06996147915984567,-0.21590632421519995,-0.3248139022983731,-0.05127985961363646,-0.1637008410067258,-0.20581385883480352,-0.04111511411596461,-0.1726140991977873,0.19067895268667376,0.19630846145042807,1.0,0.2334908376775972,0.34006627524185784,-0.02310627215528074
ood_nearest_distance,-0.5126487041137127,-0.47823350951445387,-0.2571068960680232,-0.4645349860571754,-0.40018777735128275,-0.4092735047731689,-0.45698534581133604,-0.405147458901051,-0.18468779982917824,0.1537100079449107,-0.28552012857539394,0.2334908376775972,1.0,0.5740029879850622,-0.31692158528539127
ood_mean_k_distance,-0.27612658416727903,-0.031139970383066564,-0.7232414344479773,-0.5267488973141533,-0.48044895562430023,-0.7528982898732542,-0.7310692987765167,-0.6902983051291535,-0.02003796407856181,-0.07673949909636878,-0.6076501407988019,0.34006627524185784,0.5740029879850622,1.0,-0.6484967195536172
historical_residual_risk,0.20324608987073242,-0.18989628157636013,0.655402564707703,0.21253460237748964,0.9700487546878158,0.9341858261662404,0.8645926363294953,0.9192656598289805,0.09147935539854304,0.18089662324260644,0.9187380171295291,-0.02310627215528074,-0.31692158528539127,-0.6484967195536172,1.0
