predictor_name,n,mean_rmse,median_rmse,std_rmse,q10_rmse,q90_rmse
ContextSimBaseline,1163,1.5542197188569578,1.2181184308089443,1.237061600710035,0.5754523625401149,2.9599340839069543
V0StrongBaseline,1163,1.5277314407204745,1.1367387321915676,1.2563497419184355,0.5393348618456346,2.986759019225629
