recon_loss,KL,disnt_basal,disnt_after,r2_mean,r2_var,adv_loss,penalty_adv,adv_perts,acc_perts,penalty_perts,adv_context_cpa,penalty_context_cpa,acc_context_cpa,epoch,mode
2382.53857421875,,0.8683775946275946,1.007665343915344,-1.101923982302348,-0.3940105239550272,,,,,,,,,0,valid
2546.329071044922,,0.0,0.0,-1.1463754069474008,-0.3504746456940969,2.2338202744722366,0.09070537565276027,1.1304015517234802,0.33412963803857565,0.04346814681775868,1.10341876745224,0.047237229300662875,0.37109375,0,train
2260.8702392578125,,0.8739998630226334,0.9943934602188871,-0.9904040396213531,-0.3138080139954885,,,,,,,,,1,valid
2175.9715728759766,,0.0,0.0,-0.6848949160840776,-0.1852057253321012,2.1202676594257355,0.08094782661646605,1.1001569852232933,0.3630285616964102,0.03961311257444322,1.0201106667518616,0.04133471427485347,0.4912109375,1,train
2121.3896484375,,0.8965357443482443,1.0125,-0.780382921298345,-0.20669880509376526,,,,,,,,,2,valid
1978.0427932739258,,0.0,0.0,-0.3602801144330038,-0.11826418479904532,1.9885731041431427,0.07043386017903686,1.0880153253674507,0.3637109100818634,0.03442329412791878,0.9005577825009823,0.036010566633194685,0.6318359375,2,train
1999.5776977539062,,0.899833350737956,1.0078125,-0.5547033349672954,-0.10399028658866882,,,,,,,,,3,valid
1871.9601364135742,,0.0,0.0,-0.13951131158197919,-0.08663710429229671,1.8732899874448776,0.0653223367407918,1.0851150453090668,0.36565155163407326,0.03251214267220348,0.7881749421358109,0.03281019488349557,0.74609375,3,train
1908.0986938476562,,0.898771897158994,1.0022108178559792,-0.3424670000871023,-0.002841964364051819,,,,,,,,,4,valid
1806.3745803833008,,0.0,0.0,0.0061803385615348825,-0.045176513906982206,1.748298704624176,0.05676459241658449,1.0638743080198765,0.39244744181632996,0.029648131574504077,0.6844243928790092,0.027116461540572345,0.802734375,4,train
1847.1964111328125,,0.9014055733854496,1.0159920634920634,-0.16275741159915924,0.0733126550912857,,,,,,,,,5,valid
1769.3457565307617,,0.0,0.0,0.10980583396222857,-0.029007226228713993,1.664186753332615,0.05052861338481307,1.0603402741253376,0.39316767640411854,0.02685435372404754,0.6038464605808258,0.023674258962273598,0.841796875,5,train
