group,n_tasks,rho_disagreement_pair_mean,rho_magnitude_pair_mean,delta_rho,bootstrap_delta_ci95_low,bootstrap_delta_ci95_high,top20_error_enrichment,cpa_beats_zero_fraction,interpolation_beats_zero_fraction
pooled,28,0.783798576902025,0.8352490421455938,-0.05145046524356878,-0.20000137400384727,0.06755987121435612,1.1895916217915026,0.35714285714285715,0.6785714285714286
exact_source_dose,16,0.7029411764705883,0.8617647058823529,-0.15882352941176459,-0.3904374656974955,0.008889880952380993,1.1861018719983365,0.375,0.625
interpolated_dose,12,0.8321678321678322,0.7832167832167832,0.04895104895104896,-0.22857142857142865,0.32857142857142846,1.1836024691373994,0.3333333333333333,0.75
context::A549,14,0.8241758241758241,0.832967032967033,-0.008791208791208871,-0.22473175422613625,0.17411688039309664,1.1800247061190148,0.42857142857142855,0.7142857142857143
context::MCF7,14,0.9032967032967033,0.8065934065934066,0.09670329670329669,-0.0493357053923008,0.3595708067618177,1.199349184078082,0.2857142857142857,0.6428571428571429
drug::Abexinostat,14,0.8373626373626375,0.8417582417582418,-0.004395604395604269,-0.2567567567567567,0.24830774851971776,1.1694993327427405,0.35714285714285715,0.7857142857142857
drug::Pracinostat,14,0.7186813186813187,0.7978021978021977,-0.07912087912087906,-0.41631578947368414,0.21124784897256788,1.2102729197410884,0.35714285714285715,0.5714285714285714
