task_key,context,drug,dose_nM,dose_seen_in_source,n_cells,model_disagreement_rmse,predicted_magnitude_mean,predicted_magnitude_cpa,predicted_magnitude_interpolation,error_cpa_rmse,error_interpolation_rmse,pair_mean_rmse,pair_max_rmse,zero_effect_rmse,target_truth_used_for_scores,triangle_mean_bound_holds,triangle_max_bound_holds
sciPlex4::A549::Abexinostat::dose_nM=10.0,A549,Abexinostat,10.0,True,476,0.39985260367393494,0.2817612960934639,0.38178518414497375,0.18173740804195404,0.3769650161266327,0.17125365138053894,0.2741093337535858,0.3769650161266327,0.0918954387307167,False,True,True
sciPlex4::A549::Abexinostat::dose_nM=50.0,A549,Abexinostat,50.0,False,503,0.40379834175109863,0.29843395948410034,0.3885197639465332,0.20834815502166748,0.37500569224357605,0.14198176562786102,0.25849372893571854,0.37500569224357605,0.1425529420375824,False,True,True
sciPlex4::A549::Abexinostat::dose_nM=100.0,A549,Abexinostat,100.0,True,568,0.4181809425354004,0.31691908836364746,0.3980400860309601,0.23579809069633484,0.3894091248512268,0.1410246044397354,0.2652168646454811,0.3894091248512268,0.1857966184616089,False,True,True
sciPlex4::A549::Abexinostat::dose_nM=500.0,A549,Abexinostat,500.0,False,379,0.5003986954689026,0.40312181413173676,0.4680928587913513,0.3381507694721222,0.5316363573074341,0.215129092335701,0.37338272482156754,0.5316363573074341,0.4482005536556244,False,True,True
sciPlex4::A549::Abexinostat::dose_nM=1000.0,A549,Abexinostat,1000.0,True,280,0.45526981353759766,0.39813052117824554,0.37912923097610474,0.41713181138038635,0.484310120344162,0.2622850835323334,0.3732976019382477,0.484310120344162,0.5224868059158325,False,True,True
sciPlex4::A549::Abexinostat::dose_nM=5000.0,A549,Abexinostat,5000.0,False,223,0.513204038143158,0.4486372768878937,0.39069175720214844,0.5065827965736389,0.5219367742538452,0.2245664894580841,0.37325163185596466,0.5219367742538452,0.5748562216758728,False,True,True
sciPlex4::A549::Abexinostat::dose_nM=10000.0,A549,Abexinostat,10000.0,True,203,0.5541149377822876,0.4733036309480667,0.3817335069179535,0.5648737549781799,0.5366060137748718,0.2201726883649826,0.3783893510699272,0.5366060137748718,0.5945959687232971,False,True,True
sciPlex4::A549::Pracinostat::dose_nM=10.0,A549,Pracinostat,10.0,True,600,0.3797568082809448,0.26373523473739624,0.36400848627090454,0.16346198320388794,0.3681178390979767,0.1657199263572693,0.266918882727623,0.3681178390979767,0.08196603506803513,False,True,True
sciPlex4::A549::Pracinostat::dose_nM=50.0,A549,Pracinostat,50.0,False,578,0.42515090107917786,0.2942185252904892,0.39784935116767883,0.19058769941329956,0.3872392475605011,0.16389533877372742,0.27556729316711426,0.3872392475605011,0.12170252948999405,False,True,True
sciPlex4::A549::Pracinostat::dose_nM=100.0,A549,Pracinostat,100.0,True,601,0.42464467883110046,0.3053760901093483,0.3924623429775238,0.2182898372411728,0.3959949314594269,0.16639642417430878,0.28119567781686783,0.3959949314594269,0.15058083832263947,False,True,True
sciPlex4::A549::Pracinostat::dose_nM=500.0,A549,Pracinostat,500.0,False,549,0.44899529218673706,0.3499903827905655,0.4188527762889862,0.2811279892921448,0.4338979721069336,0.1792740821838379,0.30658602714538574,0.4338979721069336,0.3518483340740204,False,True,True
sciPlex4::A549::Pracinostat::dose_nM=1000.0,A549,Pracinostat,1000.0,True,423,0.415568083524704,0.35215479135513306,0.368556946516037,0.3357526361942291,0.429508775472641,0.26334425806999207,0.34642651677131653,0.429508775472641,0.4531898498535156,False,True,True
sciPlex4::A549::Pracinostat::dose_nM=5000.0,A549,Pracinostat,5000.0,False,223,0.553557813167572,0.4550807923078537,0.4116884171962738,0.4984731674194336,0.5820305943489075,0.21327340602874756,0.3976520001888275,0.5820305943489075,0.5921624898910522,False,True,True
sciPlex4::A549::Pracinostat::dose_nM=10000.0,A549,Pracinostat,10000.0,True,264,0.628049373626709,0.49278290569782257,0.3701736629009247,0.6153921484947205,0.5456060171127319,0.19995498657226562,0.3727805018424988,0.5456060171127319,0.5733814835548401,False,True,True
sciPlex4::MCF7::Abexinostat::dose_nM=10.0,MCF7,Abexinostat,10.0,True,776,0.36543989181518555,0.2897390127182007,0.34980982542037964,0.22966820001602173,0.3641091287136078,0.2143394649028778,0.2892242968082428,0.3641091287136078,0.09062942117452621,False,True,True
sciPlex4::MCF7::Abexinostat::dose_nM=50.0,MCF7,Abexinostat,50.0,False,698,0.36706918478012085,0.3001784086227417,0.33044716715812683,0.26990965008735657,0.3610480725765228,0.17273762822151184,0.26689285039901733,0.3610480725765228,0.16481782495975494,False,True,True
sciPlex4::MCF7::Abexinostat::dose_nM=100.0,MCF7,Abexinostat,100.0,True,694,0.393970251083374,0.3419855982065201,0.39018598198890686,0.2937852144241333,0.41245001554489136,0.18190409243106842,0.2971770539879799,0.41245001554489136,0.1862412691116333,False,True,True
sciPlex4::MCF7::Abexinostat::dose_nM=500.0,MCF7,Abexinostat,500.0,False,544,0.42174404859542847,0.4082328677177429,0.4299877882003784,0.3864779472351074,0.4636474549770355,0.16709449887275696,0.31537097692489624,0.4636474549770355,0.37987974286079407,False,True,True
sciPlex4::MCF7::Abexinostat::dose_nM=1000.0,MCF7,Abexinostat,1000.0,True,549,0.4570191502571106,0.4138410687446594,0.3649804890155792,0.4627016484737396,0.4551810622215271,0.2122557908296585,0.3337184265255928,0.4551810622215271,0.4466813802719116,False,True,True
sciPlex4::MCF7::Abexinostat::dose_nM=5000.0,MCF7,Abexinostat,5000.0,False,470,0.5232383608818054,0.44641217589378357,0.35045456886291504,0.5423697829246521,0.5308266878128052,0.23388893902301788,0.38235781341791153,0.5308266878128052,0.557209312915802,False,True,True
sciPlex4::MCF7::Abexinostat::dose_nM=10000.0,MCF7,Abexinostat,10000.0,True,449,0.5487369298934937,0.5119856148958206,0.4278002679347992,0.596170961856842,0.5467472672462463,0.2192361205816269,0.3829916939139366,0.5467472672462463,0.5687525868415833,False,True,True
sciPlex4::MCF7::Pracinostat::dose_nM=10.0,MCF7,Pracinostat,10.0,True,748,0.3781066834926605,0.29386039823293686,0.38168004155158997,0.20604075491428375,0.39097750186920166,0.19932237267494202,0.29514993727207184,0.39097750186920166,0.07788998633623123,False,True,True
sciPlex4::MCF7::Pracinostat::dose_nM=50.0,MCF7,Pracinostat,50.0,False,647,0.3408254384994507,0.28366949409246445,0.3355090022087097,0.23182998597621918,0.37129637598991394,0.20162683725357056,0.28646160662174225,0.37129637598991394,0.1282234787940979,False,True,True
sciPlex4::MCF7::Pracinostat::dose_nM=100.0,MCF7,Pracinostat,100.0,True,693,0.34686630964279175,0.29854290187358856,0.34730514883995056,0.24978065490722656,0.37016236782073975,0.18052621185779572,0.27534428983926773,0.37016236782073975,0.15326324105262756,False,True,True
sciPlex4::MCF7::Pracinostat::dose_nM=500.0,MCF7,Pracinostat,500.0,False,635,0.3761821389198303,0.35211585462093353,0.37330058217048645,0.3309311270713806,0.39848875999450684,0.17190076410770416,0.2851947620511055,0.39848875999450684,0.2925165891647339,False,True,True
