endpoint,predictor,baseline,n_tasks,predictor_mean_error,baseline_mean_error,task_win_rate,mean_delta,ci95_lower,ci95_upper,bootstrap_valid
centroid_rmse,gat,general_baseline,566,0.05417615896502179,0.05840021476704864,0.9187279151943463,-0.004224055802026853,-0.004632667640446903,-0.0038143098623871657,5000
centroid_rmse,gat,batch_matched_control,566,0.05417615896502179,0.052290627993989,0.5053003533568905,0.001885530971032781,0.0005824769258676988,0.0031731240408867612,5000
mse,gat,general_baseline,566,0.0033579742355270225,0.003819800933159277,0.9187279151943463,-0.00046182669763225517,-0.0005222520968796867,-0.00040450781893601543,5000
mse,gat,batch_matched_control,566,0.0033579742355270225,0.003209589865315108,0.5053003533568905,0.0001483843702119145,-3.849806014878123e-05,0.0003430561160126688,5000
pearson_pert,gat,general_baseline,566,0.5879802200660365,0.5822756584088684,0.44876325088339225,0.005704561657168142,-0.0002651065776015764,0.011955018953176286,5000
pearson_pert,gat,batch_matched_control,566,0.5879802200660365,0.9027519626511202,0.7597173144876325,-0.3147717425850837,-0.3481549208178955,-0.2799229009938546,5000
rank,gat,general_baseline,566,0.21081960036273806,0.19383032615153695,0.23498233215547704,0.0169892742112011,0.009040229525626192,0.02462326839488413,5000
rank,gat,batch_matched_control,566,0.21081960036273806,0.41082272741486603,0.7137809187279152,-0.200003127052128,-0.2288415053628944,-0.17016612464429787,5000
energy_distance_pca_k=50,gat,general_baseline,566,2.4760421859808917,2.4773303551645913,0.46996466431095407,-0.0012881691837002282,-0.015207400603564054,0.01176850187288875,5000
energy_distance_pca_k=50,gat,batch_matched_control,566,2.4760421859808917,2.6133052586233734,0.5618374558303887,-0.1372630726424818,-0.21997613946494549,-0.055076113887102124,5000
de_auprc,gat,general_baseline,566,0.7476869703037093,0.7710998834745608,0.7862190812720848,-0.023412913170851445,-0.027267390590933974,-0.01960291852646254,5000
de_auprc,gat,batch_matched_control,566,0.7476869703037093,0.7580113754347415,0.5636042402826855,-0.010324405131032078,-0.017510471368348796,-0.003116231480636534,5000
