endpoint,predictor,n_tasks,spearman,ci95_lower,ci95_upper,bootstrap_valid
mse,transfer_risk,566,0.42399031374921803,0.34851127614040606,0.49693490424683273,5000
mse,predicted_magnitude,566,0.8796941974652347,0.8442842899544208,0.9093310202195884,5000
pearson_pert,transfer_risk,566,0.14568035802595986,0.0657382723496476,0.22588615094667244,5000
pearson_pert,predicted_magnitude,566,-0.13623282210167353,-0.22236501754833612,-0.05055285927122393,5000
rank,transfer_risk,566,0.30673324284639136,0.23062965054516182,0.38309369956473965,5000
rank,predicted_magnitude,566,0.5194893787234964,0.4519683658310462,0.5829588133732797,5000
energy_distance_pca_k=50,transfer_risk,566,0.3829751700479365,0.3076917853649008,0.4565170416418403,5000
energy_distance_pca_k=50,predicted_magnitude,566,0.8605132898888175,0.8239156024615707,0.8918630994673086,5000
de_auprc,transfer_risk,566,0.05370339761659065,-0.03232233521599812,0.13704992458981066,5000
de_auprc,predicted_magnitude,566,-0.2708116818063971,-0.35440629376634486,-0.18748262768207094,5000
