predictor,outcome,n_tasks,spearman,ci95_lower,ci95_upper,bootstrap_valid
transfer_risk,gat_centroid_rmse,566,0.42399031374921803,0.3506182454295135,0.49530131361765134,5000
predicted_magnitude,gat_centroid_rmse,566,0.8796941974652347,0.8437290472676935,0.9094741523229022,5000
model_baseline_gap,gat_centroid_rmse,566,0.1597195977320434,0.07511675457791192,0.24153107843388016,5000
training_delta_dispersion,gat_centroid_rmse,566,0.6639257607219917,0.6074804194382888,0.7142558158471194,5000
negative_log_train_cells,gat_centroid_rmse,566,0.21489136104923626,0.13090862583341153,0.2955101895710942,5000
support_context_deficit,gat_centroid_rmse,566,0.017046289358741754,-0.0662263464696064,0.1034027497945499,5000
transfer_risk,general_baseline_centroid_rmse,566,0.5708796331454951,0.5082035823039496,0.6283090667563802,5000
predicted_magnitude,general_baseline_centroid_rmse,566,0.8432536166674194,0.8028610295846603,0.8758962585534626,5000
model_baseline_gap,general_baseline_centroid_rmse,566,0.29873768020051517,0.21853951488000112,0.3778552564274739,5000
training_delta_dispersion,general_baseline_centroid_rmse,566,0.6674319337090754,0.610445586155293,0.7179243314314694,5000
negative_log_train_cells,general_baseline_centroid_rmse,566,0.37265128606949277,0.29697237163652596,0.4437229405009978,5000
support_context_deficit,general_baseline_centroid_rmse,566,0.1586789700405886,0.07433253882416975,0.2379509334073907,5000
