stratum,predictor,endpoint,n,mean_error,median_error
primary_ge30,batch_matched_control,de_auprc,566,0.7580113754347415,0.7832518520159295
primary_ge30,batch_matched_control,energy_distance_pca_k=50,566,2.6133052586233734,2.1310126152272293
primary_ge30,batch_matched_control,mse,566,0.003209589865315108,0.0022524689378002165
primary_ge30,batch_matched_control,pearson_pert,566,0.9027519626511202,0.9011885865856541
primary_ge30,batch_matched_control,rank,566,0.41082272741486603,0.3734513274336283
primary_ge30,gat,de_auprc,566,0.7476869703037095,0.7720657314435335
primary_ge30,gat,energy_distance_pca_k=50,566,2.4760421859808917,2.235142106662168
primary_ge30,gat,mse,566,0.0033579742355270225,0.0026325399694570794
primary_ge30,gat,pearson_pert,566,0.5879802200660365,0.5491024232782213
primary_ge30,gat,rank,566,0.21081960036273806,0.10088495575221239
primary_ge30,general_baseline,de_auprc,566,0.7710998834745608,0.8044723760271681
primary_ge30,general_baseline,energy_distance_pca_k=50,566,2.4773303551645918,2.241582046967772
primary_ge30,general_baseline,mse,566,0.003819800933159278,0.003126331867389315
primary_ge30,general_baseline,pearson_pert,566,0.5822756584088683,0.5622436609516637
primary_ge30,general_baseline,rank,566,0.19383032615153695,0.08230088495575222
sensitivity_10_29,batch_matched_control,de_auprc,14,0.9444951983484565,0.9633984754000557
sensitivity_10_29,batch_matched_control,energy_distance_pca_k=50,14,3.4458461296501217,2.8066423957636495
sensitivity_10_29,batch_matched_control,mse,14,0.007359935606009757,0.0048872433539706986
sensitivity_10_29,batch_matched_control,pearson_pert,14,1.0780823900930157,1.0774390861700929
sensitivity_10_29,batch_matched_control,rank,14,0.46274364668147056,0.5008635578583764
sensitivity_10_29,gat,de_auprc,14,0.9201995847508944,0.9292891098171685
sensitivity_10_29,gat,energy_distance_pca_k=50,14,3.802240222408367,3.056467227806308
sensitivity_10_29,gat,mse,14,0.009774916415472219,0.006229997200963197
sensitivity_10_29,gat,pearson_pert,14,0.6383821063515407,0.5658977406628198
sensitivity_10_29,gat,rank,14,0.3899580557611646,0.27202072538860106
sensitivity_10_29,general_baseline,de_auprc,14,0.9239081504769436,0.9506767446049245
sensitivity_10_29,general_baseline,energy_distance_pca_k=50,14,3.859375666435231,3.1751521154493423
sensitivity_10_29,general_baseline,mse,14,0.011003155441568432,0.007915100946831292
sensitivity_10_29,general_baseline,pearson_pert,14,0.6436732069220119,0.6151307717032932
sensitivity_10_29,general_baseline,rank,14,0.41154700222057733,0.3307426597582038
