stage,predictor,endpoint,seconds
primary_ge30,ALL,prepare,7.427268468774855
primary_ge30,gat,mse,0.7059216611087322
primary_ge30,gat,pearson_pert,0.7292682062834501
primary_ge30,gat,rank,1.8692818637937307
primary_ge30,gat,energy_distance_pca_k=50,1.2793406369164586
primary_ge30,gat,de_auprc,5.892445834353566
primary_ge30,batch_matched_control,mse,0.8862661542370915
primary_ge30,batch_matched_control,pearson_pert,0.7327961046248674
primary_ge30,batch_matched_control,rank,2.0268631353974342
primary_ge30,batch_matched_control,energy_distance_pca_k=50,1.2705002604052424
primary_ge30,batch_matched_control,de_auprc,3.1094761872664094
primary_ge30,general_baseline,mse,0.6950746206566691
primary_ge30,general_baseline,pearson_pert,0.7289248546585441
primary_ge30,general_baseline,rank,1.9996871314942837
primary_ge30,general_baseline,energy_distance_pca_k=50,1.2471163589507341
primary_ge30,general_baseline,de_auprc,2.8903438691049814
sensitivity_10_29,ALL,prepare,7.157312472350895
sensitivity_10_29,gat,mse,0.6944009987637401
sensitivity_10_29,gat,pearson_pert,0.7242491580545902
sensitivity_10_29,gat,rank,1.9997892882674932
sensitivity_10_29,gat,energy_distance_pca_k=50,1.2822975981980562
sensitivity_10_29,gat,de_auprc,6.123837326653302
sensitivity_10_29,batch_matched_control,mse,0.6921665109694004
sensitivity_10_29,batch_matched_control,pearson_pert,0.7428347393870354
sensitivity_10_29,batch_matched_control,rank,2.00901931989938
sensitivity_10_29,batch_matched_control,energy_distance_pca_k=50,1.2494014417752624
sensitivity_10_29,batch_matched_control,de_auprc,3.046167395077646
sensitivity_10_29,general_baseline,mse,0.7146541746333241
sensitivity_10_29,general_baseline,pearson_pert,0.719682740047574
sensitivity_10_29,general_baseline,rank,1.9956271341070533
sensitivity_10_29,general_baseline,energy_distance_pca_k=50,1.2721918942406774
sensitivity_10_29,general_baseline,de_auprc,3.280413198284805
