raw_gene,scgpt_token
ADAM10,ADAM10
ADARB2,ADARB2
AFG3L2,AFG3L2
AIFM1,AIFM1
ANO10,ANO10
AP2A2,AP2A2
ATP1A3,ATP1A3
ATP6AP2,ATP6AP2
ATXN1,ATXN1
BAX,BAX
BCS1L,BCS1L
BECN1,BECN1
CALB1,CALB1
CASP3,CASP3
CELF1,CELF1
CEP63,CEP63
CIC,CIC
COASY,COASY
COG4,COG4
COX10,COX10
CREBBP,CREBBP
CYB561,CYB561
DAP,DAP
DMXL1,DMXL1
DNAJC6,DNAJC6
DNM2,DNM2
DROSHA,DROSHA
DYNC1H1,DYNC1H1
ECHS1,ECHS1
EEF2,EEF2
ELMO1,ELMO1
ELOVL5,ELOVL5
FARP1,FARP1
FBXO7,FBXO7
FERMT2,FERMT2
FOXRED1,FOXRED1
FRMD4A,FRMD4A
FXN,FXN
GLE1,GLE1
GOLIM4,GOLIM4
GRN,GRN
GTF2H3,GTF2H3
HEXA,HEXA
HSPA9,HSPA9
HTT,HTT
HYOU1,HYOU1
IGF1R,IGF1R
KIFAP3,KIFAP3
MAPT,MAPT
MRPL10,MRPL10
MTA1,MTA1
NDUFA9,NDUFA9
NDUFAF2,NDUFAF2
NDUFV1,NDUFV1
NSF,NSF
NTRK2,NTRK2
OPTN,OPTN
PARP1,PARP1
PAXIP1,PAXIP1
PFN1,PFN1
PLEKHG5,PLEKHG5
PMPCA,PMPCA
POLG,POLG
PON2,PON2
POU4F1,POU4F1
PPP2R2B,PPP2R2B
PRRC2C,PRRC2C
PSAP,PSAP
PSMF1,PSMF1
RAB7A,RAB7A
RBM17,RBM17
RELN,RELN
RGL1,RGL1
RGS2,RGS2
RPL6,RPL6
SASH1,SASH1
SCAPER,SCAPER
SCO2,SCO2
SERAC1,SERAC1
SLMAP,SLMAP
SNCB,SNCB
SOD2,SOD2
SPG7,SPG7
STX1B,STX1B
SYNJ1,SYNJ1
TAF1,TAF1
TFAM,TFAM
TOP1,TOP1
TRAP1,TRAP1
TRPM7,TRPM7
UBA5,UBA5
UBTD2,UBTD2
VAPB,VAPB
VPS13A,VPS13A
VPS13C,VPS13C
VPS54,VPS54
WDR45,WDR45
XRCC1,XRCC1
ZNF599,ZNF599
MALAT1,MALAT1
MT-CO1,MT-CO1
MT-CO2,MT-CO2
MT-ND4,MT-ND4
MT-CO3,MT-CO3
TMSB10,TMSB10
MT-ND3,MT-ND3
NEFM,NEFM
MT-CYB,MT-CYB
MAP1B,MAP1B
TUBA1A,TUBA1A
MT-ATP6,MT-ATP6
STMN2,STMN2
NEFL,NEFL
MT-ND2,MT-ND2
STMN1,STMN1
EEF1A1,EEF1A1
ACTG1,ACTG1
MT-ND1,MT-ND1
CALM2,CALM2
BASP1,BASP1
GAP43,GAP43
PTMA,PTMA
FTH1,FTH1
HSP90AA1,HSP90AA1
GNAS,GNAS
ACTB,ACTB
TMSB4X,TMSB4X
GAPDH,GAPDH
MT-ND5,MT-ND5
PEG10,PEG10
RPL41,RPL41
MARCKSL1,MARCKSL1
HSP90AB1,HSP90AB1
RTN1,RTN1
TUBB2B,TUBB2B
RPS2,RPS2
RPLP1,RPLP1
RPS8,RPS8
RPL10,RPL10
CFL1,CFL1
UCHL1,UCHL1
CD24,CD24
YBX1,YBX1
TUBB,TUBB
CCNI,CCNI
RPS29,RPS29
ATP5F1E,ATP5F1E
PCSK1N,PCSK1N
RPS15,RPS15
RPL32,RPL32
RPL15,RPL15
SRP14,SRP14
PTMS,PTMS
YWHAE,YWHAE
PBX1,PBX1
CALM1,CALM1
RPL37A,RPL37A
INA,INA
RPL13,RPL13
RPS24,RPS24
RPL34,RPL34
SYT1,SYT1
RTN4,RTN4
RPL28,RPL28
MLLT11,MLLT11
EIF1,EIF1
BEX1,BEX1
RPL35,RPL35
DSTN,DSTN
RPS28,RPS28
RPS18,RPS18
FTL,FTL
JPT1,JPT1
TTC3,TTC3
RPS3A,RPS3A
RPS26,RPS26
NNAT,NNAT
YWHAB,YWHAB
RPL18A,RPL18A
RPS12,RPS12
RPS23,RPS23
RPL39,RPL39
UBC,UBC
RPS27A,RPS27A
SOX4,SOX4
KIF5C,KIF5C
MARCKS,MARCKS
RPL5,RPL5
RPL11,RPL11
RPS19,RPS19
RPS14,RPS14
COX7C,COX7C
DPYSL2,DPYSL2
PPIA,PPIA
NDUFA4,NDUFA4
RPL8,RPL8
FAU,FAU
RPSA,RPSA
SET,SET
RPL7A,RPL7A
RPL38,RPL38
RPS13,RPS13
EIF4G2,EIF4G2
MYL6,MYL6
BEX3,BEX3
RPL21,RPL21
RPS27,RPS27
RPL18,RPL18
PRDX2,PRDX2
PEBP1,PEBP1
YWHAZ,YWHAZ
RPL29,RPL29
MAP2,MAP2
RPL9,RPL9
RPL3,RPL3
RPL35A,RPL35A
RPL37,RPL37
MORF4L1,MORF4L1
DYNLL1,DYNLL1
RPL36,RPL36
RPL24,RPL24
TUBB2A,TUBB2A
COX6A1,COX6A1
TPT1,TPT1
RPL13A,RPL13A
DNAJA1,DNAJA1
NACA,NACA
DDX5,DDX5
HMGB1,HMGB1
LDHB,LDHB
SKP1,SKP1
RPL19,RPL19
RPLP2,RPLP2
KIDINS220,KIDINS220
GNG3,GNG3
BEX2,BEX2
RPS4X,RPS4X
HSPA8,HSPA8
NCL,NCL
YWHAQ,YWHAQ
UBB,UBB
VAMP2,VAMP2
DCX,DCX
COX7A2,COX7A2
ATP6V0B,ATP6V0B
ELOB,ELOB
HINT1,HINT1
RPL30,RPL30
HSBP1,HSBP1
COX6C,COX6C
YWHAH,YWHAH
RPS5,RPS5
ATP5ME,ATP5ME
RPLP0,RPLP0
RPL14,RPL14
RACK1,RACK1
ATP6V1G1,ATP6V1G1
DYNC1I2,DYNC1I2
CDC42,CDC42
RPS3,RPS3
ONECUT2,ONECUT2
SUMO2,SUMO2
CKB,CKB
TUBA1B,TUBA1B
RPS9,RPS9
RPL22,RPL22
CALM3,CALM3
PRDX5,PRDX5
RPL12,RPL12
RPL26,RPL26
CRMP1,CRMP1
NREP,NREP
RPS15A,RPS15A
RPS11,RPS11
SELENOW,SELENOW
HNRNPA2B1,HNRNPA2B1
UQCRH,UQCRH
COX4I1,COX4I1
CAMK2N1,CAMK2N1
ONECUT3,ONECUT3
RPS7,RPS7
SNCG,SNCG
TAGLN3,TAGLN3
UQCR10,UQCR10
CPE,CPE
SERF2,SERF2
TMA7,TMA7
FXYD7,FXYD7
FABP5,FABP5
RPS25,RPS25
AP2M1,AP2M1
RPS16,RPS16
COX8A,COX8A
PKIA,PKIA
NDUFA5,NDUFA5
AKAP9,AKAP9
PSMA7,PSMA7
NPM1,NPM1
RPL10A,RPL10A
SYT4,SYT4
OAZ1,OAZ1
ATP1B1,ATP1B1
GTF2I,GTF2I
KLC1,KLC1
HNRNPK,HNRNPK
RPL27,RPL27
PAFAH1B3,PAFAH1B3
RTN3,RTN3
NDUFS5,NDUFS5
RPL23,RPL23
RUFY3,RUFY3
NSG1,NSG1
TBCA,TBCA
CRABP1,CRABP1
COX5B,COX5B
RPL23A,RPL23A
COX6B1,COX6B1
EIF4A2,EIF4A2
SPTBN1,SPTBN1
DPYSL3,DPYSL3
RPS21,RPS21
HNRNPA1,HNRNPA1
NCAM1,NCAM1
PFDN5,PFDN5
ATP5MF,ATP5MF
SRP9,SRP9
TERF2IP,TERF2IP
NRXN1,NRXN1
UBL5,UBL5
SARAF,SARAF
ZNF428,ZNF428
SEZ6L2,SEZ6L2
APLP1,APLP1
ANK3,ANK3
RPS6,RPS6
ATP5IF1,ATP5IF1
ATP5PF,ATP5PF
NDUFB1,NDUFB1
ATP5MG,ATP5MG
DYNLRB1,DYNLRB1
UQCRB,UQCRB
SERBP1,SERBP1
GABARAPL2,GABARAPL2
AP2B1,AP2B1
BEX4,BEX4
TXN,TXN
APP,APP
HMGN1,HMGN1
CBX3,CBX3
RPL4,RPL4
YWHAG,YWHAG
ATP5F1B,ATP5F1B
CBX5,CBX5
UBA52,UBA52
EEF1B2,EEF1B2
EIF1B,EIF1B
COX7B,COX7B
TPI1,TPI1
MT-ND4L,MT-ND4L
NDUFB2,NDUFB2
SCG3,SCG3
SLC25A3,SLC25A3
RPL7,RPL7
ELAVL2,ELAVL2
TCEAL4,TCEAL4
CXADR,CXADR
ATRX,ATRX
ATP2B1,ATP2B1
CIRBP,CIRBP
ATP5MC3,ATP5MC3
STMN4,STMN4
ATP5F1A,ATP5F1A
DST,DST
PGM2L1,PGM2L1
ANK2,ANK2
GPX4,GPX4
MYCBP2,MYCBP2
KIF1A,KIF1A
CDH2,CDH2
CHD4,CHD4
BRK1,BRK1
COX20,COX20
SFPQ,SFPQ
PTGES3,PTGES3
RAN,RAN
RBFOX2,RBFOX2
SH3BGRL3,SH3BGRL3
PHPT1,PHPT1
ST13,ST13
NDUFB11,NDUFB11
PGRMC1,PGRMC1
KIF1B,KIF1B
EID1,EID1
PLD3,PLD3
CYCS,CYCS
CXXC5,CXXC5
HNRNPU,HNRNPU
MAP1LC3B,MAP1LC3B
PCDH9,PCDH9
SUB1,SUB1
CLTA,CLTA
PARK7,PARK7
CBX1,CBX1
VDAC2,VDAC2
VDAC1,VDAC1
ATP5MC2,ATP5MC2
XRCC5,XRCC5
ATP5PO,ATP5PO
EIF1AX,EIF1AX
ENO2,ENO2
NDFIP1,NDFIP1
NDUFS6,NDUFS6
GNB1,GNB1
PFDN2,PFDN2
MZT2B,MZT2B
CUTA,CUTA
RBX1,RBX1
ARPC2,ARPC2
MIAT,MIAT
KIF21A,KIF21A
NAP1L1,NAP1L1
COX5A,COX5A
NUCKS1,NUCKS1
ELAVL3,ELAVL3
MAP6,MAP6
GUK1,GUK1
DAAM1,DAAM1
ATP5MC1,ATP5MC1
DNAJB6,DNAJB6
AASDHPPT,AASDHPPT
EDF1,EDF1
CSDE1,CSDE1
CFDP1,CFDP1
SCG5,SCG5
ATP5F1D,ATP5F1D
MGST3,MGST3
HSPD1,HSPD1
BTF3,BTF3
RABAC1,RABAC1
DDX24,DDX24
ENC1,ENC1
KCNQ1OT1,KCNQ1OT1
LHX1,LHX1
SNRPN,SNRPN
PKM,PKM
BZW1,BZW1
CEP170,CEP170
PSMD8,PSMD8
CD63,CD63
SEC62,SEC62
POMP,POMP
HMGCS1,HMGCS1
NRN1,NRN1
PPP1R14B,PPP1R14B
ENO1,ENO1
GDI1,GDI1
HNRNPA3,HNRNPA3
TSC22D1,TSC22D1
TBCB,TBCB
TOMM7,TOMM7
CELF4,CELF4
ATP6V1F,ATP6V1F
THSD7A,THSD7A
SOD1,SOD1
RAC1,RAC1
SEC61G,SEC61G
GNAO1,GNAO1
SERINC1,SERINC1
DYNLT1,DYNLT1
SPCS2,SPCS2
HSPE1,HSPE1
ATXN7L3B,ATXN7L3B
UQCR11,UQCR11
LSM7,LSM7
DDX17,DDX17
KHDRBS1,KHDRBS1
G3BP2,G3BP2
VGF,VGF
CCT2,CCT2
CDKN2D,CDKN2D
MEAF6,MEAF6
ZC3H15,ZC3H15
APC,APC
EVL,EVL
FXYD6,FXYD6
NEDD8,NEDD8
ANKRD12,ANKRD12
KIF3A,KIF3A
PLPPR3,PLPPR3
TNRC6B,TNRC6B
MDH1,MDH1
RPL31,RPL31
WDR83OS,WDR83OS
NME1,NME1
RAB2A,RAB2A
ZNHIT1,ZNHIT1
LMO4,LMO4
DCTN3,DCTN3
NUDT3,NUDT3
SOX11,SOX11
FKBP3,FKBP3
MORF4L2,MORF4L2
HSP90B1,HSP90B1
SLC17A6,SLC17A6
NSD3,NSD3
ARPC3,ARPC3
FNBP1L,FNBP1L
SON,SON
LY6H,LY6H
MYL12B,MYL12B
PRMT1,PRMT1
STRAP,STRAP
