score_name,predictor_name,n,aligned_rho,raw_score_vs_rmse_rho,normalized_rmse_rho,magnitude_only_rho,partial_rho_control_magnitude,risk_coverage80_improve_pct,mean_rmse
context_similarity_score,ContextSimBaseline,1253,0.5081251826756233,-0.5081251826756233,0.15275595467227945,0.7301720897895864,0.3917756516519921,23.561567435392984,0.20944653360776738
context_similarity_score,V0StrongBaseline,1253,0.37132937326272636,-0.37132937326272636,-0.033401238771493494,0.7423327386789552,0.17446774818170688,19.945992188662455,0.2126422947368181
historical_residual_risk,ContextSimBaseline,1253,0.19824480442451256,0.19824480442451256,-0.07973606758222064,0.7301720897895864,0.08859820611787719,4.296602374618254,0.20944653360776738
historical_residual_risk,V0StrongBaseline,1253,0.348632772572268,0.348632772572268,0.1267529877958579,0.7423327386789552,0.3154518698317803,7.921157919652732,0.2126422947368181
learned_risk_score,ContextSimBaseline,1253,0.6696095037532733,0.6696095037532733,-0.036430585126282125,0.7301720897895864,0.4121718399946625,25.238798610166928,0.20944653360776738
learned_risk_score,V0StrongBaseline,1253,0.688606127428554,0.688606127428554,0.02382133467532864,0.7423327386789552,0.469215295952764,23.569674219835132,0.2126422947368181
model_disagreement_risk,ContextSimBaseline,1253,0.27115901703530043,0.27115901703530043,-0.07503202397252541,0.7301720897895864,0.0982228598507163,11.355548671966913,0.20944653360776738
model_disagreement_risk,V0StrongBaseline,1253,0.4371610524029517,0.4371610524029517,0.115180289563787,0.7423327386789552,0.3531324266736815,14.689363618920193,0.2126422947368181
ood_distance_risk,ContextSimBaseline,1253,0.059682312383782445,0.059682312383782445,0.3517471149937827,0.7301720897895864,0.22718608779006333,5.680114169437594,0.20944653360776738
ood_distance_risk,V0StrongBaseline,1253,0.04628763172857985,0.04628763172857985,0.336043342348573,0.7423327386789552,0.21387521937704643,3.9786996826769867,0.2126422947368181
perturbation_stability_score,ContextSimBaseline,1253,-0.17965273950525476,0.17965273950525476,0.337382734022008,0.7301720897895864,0.11314059655676237,-4.524160712649175,0.20944653360776738
perturbation_stability_score,V0StrongBaseline,1253,-0.2266032916427887,0.2266032916427887,0.28677199468738923,0.7423327386789552,0.04738729388505472,-5.249722959055586,0.2126422947368181
prediction_magnitude_risk,ContextSimBaseline,1253,-0.1777186912164127,-0.1777186912164127,0.26105657411710037,0.7301720897895864,0.05853884959589195,-5.424946284950146,0.20944653360776738
prediction_magnitude_risk,V0StrongBaseline,1253,-0.23971110208666727,-0.23971110208666727,0.16994215792915293,0.7423327386789552,-0.038101515930754476,-7.1067287907314,0.2126422947368181
protocol_v0_2_family_confidence,ContextSimBaseline,1253,0.4202213386986143,-0.4202213386986143,0.08677514762832651,0.7301720897895864,0.2894908381737697,21.58323581534211,0.20944653360776738
protocol_v0_2_family_confidence,V0StrongBaseline,1253,0.47023642943561256,-0.47023642943561256,0.1319215831650156,0.7423327386789552,0.3678580210269278,21.60491787090617,0.2126422947368181
protocol_v0_2_with_stability_confidence,ContextSimBaseline,1253,0.3442767884310637,-0.3442767884310637,0.24015779131780537,0.7301720897895864,0.3325937542518891,21.03349901675612,0.20944653360776738
protocol_v0_2_with_stability_confidence,V0StrongBaseline,1253,0.3770077179734929,-0.3770077179734929,0.26747470927532613,0.7423327386789552,0.3856594088498214,20.856592910128562,0.2126422947368181
random_score,ContextSimBaseline,1253,0.018892530345654922,-0.018892530345654922,0.02028454545661945,0.7301720897895864,0.013912101937849,1.8707453590386733,0.20944653360776738
random_score,V0StrongBaseline,1253,-0.006815286463350884,0.006815286463350884,-0.005990776759193867,0.7423327386789552,-0.014691795433872803,1.9003792428256394,0.2126422947368181
simple_combined_confidence,ContextSimBaseline,1253,0.4473495538188972,-0.4473495538188972,0.11795152813064291,0.7301720897895864,0.3304092514300066,22.076651919442657,0.20944653360776738
simple_combined_confidence,V0StrongBaseline,1253,0.5207644307711663,-0.5207644307711663,0.17066560928824706,0.7423327386789552,0.43689442134101897,21.70776565991495,0.2126422947368181
support_count_score,ContextSimBaseline,1253,0.023458310534867032,-0.023458310534867032,0.0481154408776715,0.7301720897895864,0.04972318128108946,-0.7333621759809773,0.20944653360776738
support_count_score,V0StrongBaseline,1253,0.04881783098569034,-0.04881783098569034,0.07951792088864776,0.7423327386789552,0.08881862079452908,0.15346038464362224,0.2126422947368181
