analysis,metric,ci95_lower,bootstrap_median,ci95_upper,fraction_positive,n_valid
E153_genetic_8study,partial_spearman,0.1178819418579397,0.16376014531755126,0.20755788910600445,1,2000
E153_genetic_8study,magnitude_matched_spearman,0.094643450565917081,0.14436017081547281,0.19517817410108443,1,2000
E187_cytokine_difficulty,partial_spearman,0.11139096556242564,0.17784843000515344,0.24178289774864473,1,2000
E187_cytokine_difficulty,magnitude_matched_spearman,0.04797319270664812,0.17092002613266319,0.27727847781684312,0.99650000000000005,2000
E187_genetic_difficulty,partial_spearman,0.11416410053375985,0.16717809731606981,0.22545970453257208,1,2000
E187_genetic_difficulty,magnitude_matched_spearman,0.11978809153472231,0.21078842275296861,0.29895332230170185,1,2000
E201_TxPert_whole_context,partial_spearman,0.23602026702684234,0.28243571441941184,0.32634758707283407,1,2000
E201_TxPert_whole_context,magnitude_matched_spearman,0.25274863804280351,0.29950885349794032,0.34376347390439355,1,2000
