analysis,n_studies_or_targets,n_positive_partial,partial_spearman,magnitude_matched_spearman,safeconf_spearman,magnitude_spearman
E153_genetic_8study,8,8,0.16456935081048552,0.15066215740661057,0.20344945741395765,0.14661006645060426
E187_cytokine_difficulty,1,1,0.18953422394643762,0.25929894179894181,0.42329514399314488,0.40932022234868276
E187_genetic_difficulty,3,2,0.15284633946883572,0.19156554354250718,0.38921702941578357,0.38063686144279751
E201_TxPert_whole_context,4,4,0.28273294194708659,0.30174801028425857,0.44392695554809491,0.74210090694043052
