analysis,study,n_batches,n_tasks,partial_spearman,magnitude_matched_spearman,safeconf_spearman,magnitude_spearman
E153_genetic_8study,Frangieh,3,837,0.22065985421881704,0.22145525752558962,0.25300639357974863,0.14814820954296473
E153_genetic_8study,Lara_exvivo,5,345,0.39370674147187451,0.25441758241758239,0.3871245889660212,0.147504567044209
E153_genetic_8study,Liang,9,612,0.20797594309568962,0.13677386618337467,0.21240226395970885,0.074198487528258111
E153_genetic_8study,Nadig_two_cellline,2,256,0.10641879605888632,0.11896719577215097,0.23096595136423118,0.4025790835011902
E153_genetic_8study,Replogle_two_cellline,2,256,0.17499706732561104,0.233865936313636,0.1726050128805805,0.21431670617821097
E153_genetic_8study,Santinha,5,255,0.048700660279319838,0.089442835929123762,0.06459306321087302,-0.089303167420814483
E153_genetic_8study,Shifrut,4,172,0.039705927304997238,0.002142857142857113,0.1726819691935971,0.20869827846572031
E153_genetic_8study,Tian_CRISPRi,4,732,0.12438981672868855,0.14823172796857009,0.13421641615690086,0.066738366765095217
E187_cytokine_difficulty,Cui_direct41,96,2448,0.18953422394643762,0.25929894179894181,0.42329514399314488,0.40932022234868276
E187_genetic_difficulty,Frangieh,48,3348,0.19944646512530628,0.29701924251823447,0.54976106454747897,0.54271047927339855
E187_genetic_difficulty,Lara_exvivo,80,1380,0.27061015504768227,0.24990821348151449,0.35456402994249553,0.23920452787675422
E187_genetic_difficulty,Santinha,80,1020,-0.011517601766481381,0.02776917462777248,0.26332599375737625,0.35999557717823971
E201_TxPert_whole_context,K562,1,566,0.34748928518226929,0.36370945158201395,0.48032119623476455,0.89925796211170994
E201_TxPert_whole_context,RPE1,1,416,0.14068289271689965,0.18043179893173844,0.28675865609643891,0.58253228742307361
E201_TxPert_whole_context,hepg2,1,405,0.32589531956066875,0.35994128274616077,0.56329823458536332,0.77713920817369098
E201_TxPert_whole_context,jurkat,1,421,0.31686427032850878,0.30290950787712118,0.44532973527581271,0.7094741700532472
