suite,outcome,scope,method,stratum,n_tasks,spearman,utility_20,error_capture_20,retained_mean_error_80,normalized_aurc
exphormer,family_rms_error,K562,magnitude_raw,primary_ge30,566,0.8871070648049291,0.9336984403507307,0.30916542614020265,0.046312094793745665,0.743841910831032
exphormer,family_rms_error,K562,magnitude_percentile,primary_ge30,566,0.8871070648049291,0.9336984403507307,0.30916542614020265,0.046312094793745665,0.743841910831032
exphormer,family_rms_error,K562,safeconf_original,primary_ge30,566,0.499201972987895,0.4566788343744423,0.25411572948899935,0.05000251051140903,0.8356625436297247
exphormer,family_rms_error,K562,safeconf_m_4to1,primary_ge30,566,0.9022571878843464,0.9327003084405813,0.3090502382984804,0.046319816744045755,0.7408755008131418
exphormer,family_rms_error,K562,disagreement_only,primary_ge30,566,0.5267141416051638,0.464304265041044,0.25499573031029066,0.04994351710980999,0.8248980439740837
exphormer,family_rms_error,K562,source_effect_magnitude,primary_ge30,566,0.8931095489086671,0.9182494492169565,0.30738255963990274,0.0464316144088471,0.744438557299119
exphormer,family_rms_error,K562,m_plus_D,primary_ge30,566,0.8869102597565777,0.9085137000448842,0.3062590208337819,0.04650693408400869,0.7435984114730776
exphormer,family_rms_error,K562,drop_D,primary_ge30,566,0.8986977592196844,0.9355944851829667,0.3093842362091055,0.04629742622758483,0.7425303332594042
exphormer,family_rms_error,K562,m_plus_G,primary_ge30,566,0.8962169689990173,0.9142924571464773,0.3069259091995392,0.04646222729257056,0.7433770639835553
exphormer,family_rms_error,K562,drop_G,primary_ge30,566,0.9005948964456721,0.9376160379377821,0.3096175303222253,0.04628178668160603,0.7410477164739678
exphormer,family_rms_error,K562,m_plus_H,primary_ge30,566,0.8901311693108473,0.9416051148251382,0.310077883460369,0.04625092557682201,0.7431917485062403
exphormer,family_rms_error,K562,drop_H,primary_ge30,566,0.8975627118140247,0.9143267434975211,0.3069298659619041,0.04646196203955537,0.7424886389392532
exphormer,family_rms_error,K562,m_plus_N,primary_ge30,566,0.8907538260160491,0.9205862292457787,0.30765223206031395,0.04641353613776757,0.7454047261871368
exphormer,family_rms_error,K562,drop_N,primary_ge30,566,0.9031826115799148,0.9365560549365962,0.3094952046527147,0.04628998713684733,0.7398073436112542
exphormer,family_rms_error,K562,m_plus_C,primary_ge30,566,0.8806754631139384,0.9183435811234562,0.30739342278437953,0.04643088616652136,0.7467815857528163
exphormer,family_rms_error,K562,drop_C,primary_ge30,566,0.9042130458448014,0.9452521604129385,0.31049876501485063,0.04622271056387153,0.7397729581982078
exphormer,family_rms_error,K562,m_plus_source_GHNC,primary_ge30,566,0.8986977592196844,0.9355944851829667,0.3093842362091055,0.04629742622758483,0.7425303332594042
exphormer,family_rms_error,K562,m_plus_prediction_DG,primary_ge30,566,0.9023100904158551,0.9266084273151616,0.30834721434770757,0.04636694598899444,0.7399668309034133
exphormer,family_rms_error,K562,weight_0.00,primary_ge30,566,0.8871070648049291,0.9336984403507307,0.30916542614020265,0.046312094793745665,0.743841910831032
exphormer,family_rms_error,K562,weight_0.05,primary_ge30,566,0.893395455016173,0.9359786397585096,0.3094285689631178,0.04629445425312962,0.7423376898407796
exphormer,family_rms_error,K562,weight_0.10,primary_ge30,566,0.8983222898458167,0.9266816304411282,0.30835566223921534,0.04636637966014074,0.7413338270994312
exphormer,family_rms_error,K562,weight_0.20,primary_ge30,566,0.9022402992787643,0.9327003084405813,0.3090502382984804,0.046319816744045755,0.7408642301923223
exphormer,family_rms_error,K562,weight_0.35,primary_ge30,566,0.8850070641603699,0.9162221558078294,0.30714860303560965,0.046447298366838814,0.7453220312003328
exphormer,family_rms_error,K562,weight_0.50,primary_ge30,566,0.8290207850373831,0.8758579035619027,0.30249043005099363,0.046759572472669805,0.758191693262648
exphormer,family_rms_error,RPE1,magnitude_raw,primary_ge30,416,0.5739723698335123,0.6089265531479356,0.25952315896992123,0.0734856272901986,0.8180719450162125
exphormer,family_rms_error,RPE1,magnitude_percentile,primary_ge30,416,0.5739723698335123,0.6089265531479356,0.25952315896992123,0.0734856272901986,0.8180719450162125
