suite,outcome,scope,method,metric,comparator,delta,ci95_lower,ci95_upper,n_bootstrap,seed,invalid_draws,inference
exphormer,family_rms_error,K562,magnitude_raw,spearman,magnitude_percentile,0.0,0.0,0.0,2000,20260921,0,exploratory_paired_condition_cluster
exphormer,family_rms_error,K562,magnitude_raw,utility_20,magnitude_percentile,0.0,0.0,0.0,2000,20260921,0,exploratory_paired_condition_cluster
exphormer,family_rms_error,K562,magnitude_raw,error_capture_20,magnitude_percentile,0.0,0.0,0.0,2000,20260921,0,exploratory_paired_condition_cluster
exphormer,family_rms_error,K562,magnitude_raw,retained_mean_error_80,magnitude_percentile,0.0,0.0,0.0,2000,20260921,0,exploratory_paired_condition_cluster
exphormer,family_rms_error,K562,magnitude_raw,normalized_aurc,magnitude_percentile,0.0,0.0,0.0,2000,20260921,0,exploratory_paired_condition_cluster
exphormer,family_rms_error,K562,magnitude_percentile,spearman,magnitude_percentile,0.0,0.0,0.0,2000,20260921,0,exploratory_paired_condition_cluster
exphormer,family_rms_error,K562,magnitude_percentile,utility_20,magnitude_percentile,0.0,0.0,0.0,2000,20260921,0,exploratory_paired_condition_cluster
exphormer,family_rms_error,K562,magnitude_percentile,error_capture_20,magnitude_percentile,0.0,0.0,0.0,2000,20260921,0,exploratory_paired_condition_cluster
exphormer,family_rms_error,K562,magnitude_percentile,retained_mean_error_80,magnitude_percentile,0.0,0.0,0.0,2000,20260921,0,exploratory_paired_condition_cluster
exphormer,family_rms_error,K562,magnitude_percentile,normalized_aurc,magnitude_percentile,0.0,0.0,0.0,2000,20260921,0,exploratory_paired_condition_cluster
exphormer,family_rms_error,K562,safeconf_original,spearman,magnitude_percentile,-0.3879050918170341,-0.46118243463422526,-0.31872309342096355,2000,20260921,0,exploratory_paired_condition_cluster
exphormer,family_rms_error,K562,safeconf_original,utility_20,magnitude_percentile,-0.4770196059762884,-0.5903112424872912,-0.36269764309440156,2000,20260921,0,exploratory_paired_condition_cluster
exphormer,family_rms_error,K562,safeconf_original,error_capture_20,magnitude_percentile,-0.055049696651203295,-0.06783408007170041,-0.04259264013901277,2000,20260921,0,exploratory_paired_condition_cluster
exphormer,family_rms_error,K562,safeconf_original,retained_mean_error_80,magnitude_percentile,0.0036904157176633687,0.0028722377458656146,0.004534490246616933,2000,20260921,0,exploratory_paired_condition_cluster
exphormer,family_rms_error,K562,safeconf_original,normalized_aurc,magnitude_percentile,0.09182063279869268,0.07019582319919138,0.11494318757098844,2000,20260921,0,exploratory_paired_condition_cluster
exphormer,family_rms_error,K562,safeconf_m_4to1,spearman,magnitude_percentile,0.015150123079417321,0.005911307832020651,0.025114446279978553,2000,20260921,0,exploratory_paired_condition_cluster
exphormer,family_rms_error,K562,safeconf_m_4to1,utility_20,magnitude_percentile,-0.0009981319101494135,-0.026012676195301784,0.02951802304974178,2000,20260921,0,exploratory_paired_condition_cluster
exphormer,family_rms_error,K562,safeconf_m_4to1,error_capture_20,magnitude_percentile,-0.00011518784172226404,-0.0029824303500337575,0.0033438889743648563,2000,20260921,0,exploratory_paired_condition_cluster
exphormer,family_rms_error,K562,safeconf_m_4to1,retained_mean_error_80,magnitude_percentile,7.721950300090819e-06,-0.00022170370745865173,0.00020077719963817146,2000,20260921,0,exploratory_paired_condition_cluster
exphormer,family_rms_error,K562,safeconf_m_4to1,normalized_aurc,magnitude_percentile,-0.0029664100178902197,-0.011953974720708426,0.005257911175226465,2000,20260921,0,exploratory_paired_condition_cluster
exphormer,family_rms_error,K562,disagreement_only,spearman,magnitude_percentile,-0.36039292319976524,-0.42332392686608694,-0.3032357981899878,2000,20260921,0,exploratory_paired_condition_cluster
