formula,mean_spearman,mean_top20_enrichment,mean_top20_capture,mean_delta_spearman_vs_magnitude,n_positive_studies_vs_magnitude,delta_ci95_low,delta_ci95_high,strict_development_gate
magnitude,0.14661006645060426,1.0839288243193632,0.2880412192912193,0.0,0,,,NOT_PRIMARY
safeconf,0.20344945741395765,1.0965184215213255,0.28154449716949714,0.056839390963353414,5,,,NOT_PRIMARY
fixed_80_20,0.1649118338417712,1.08495154900181,0.2853972416472417,0.018301767391166946,7,,,NOT_PRIMARY
one_sided_025,0.15816939939952734,1.0852011322262887,0.28956989894489893,0.011559332948923121,8,0.004199261467573508,0.01981152108855481,PASS
magnitude_quintile_safeconf,0.1609366310643589,1.0839288243193632,0.2880412192912193,0.014326564613754648,7,,,NOT_PRIMARY
setting_adaptive_lodo,0.1678045498659694,1.0923377873380822,0.2913586882336882,0.021194483415365152,8,0.003909517447008112,0.03726682130880786,PASS
