panel,task_id,n_cells,rmse_cell_gene,rmse_mean_profile,mae_cell_gene,magnitude_pred_rms,magnitude_truth_rms_diagnostic_only,epistemic_confidence,aleatoric_confidence,combined_confidence_official,risk_epistemic,risk_aleatoric,risk_combined,cosine_error_mean_effect,gene_order_hash
Norman_P1,BCL2L11+ctrl,582,0.1266021877527237,0.035934317857027,0.0650233179330825,0.038508802652359,0.0139551758766174,14.891356468200684,-17.125036239624023,12.657676696777344,-14.891356468200684,17.125036239624023,-12.657676696777344,0.6404897730273635,sha256:737bde87b28b79317ae85d24e135103745af5de4338e4e62a468d48325af8995
Norman_P1,CKS1B+ctrl,241,0.1475037634372711,0.0608229786157608,0.0755412876605987,0.030082207173109,0.0843365639448165,13.44168472290039,-17.536176681518555,9.347192764282228,-13.44168472290039,17.536176681518555,-9.347192764282228,0.14897341135312325,sha256:737bde87b28b79317ae85d24e135103745af5de4338e4e62a468d48325af8995
Norman_P1,CLDN6+ctrl,670,0.1683527529239654,0.074285052716732,0.0836643204092979,0.0435447469353675,0.10744309425354,15.441408157348633,-17.0871639251709,13.795652389526367,-15.441408157348633,17.0871639251709,-13.795652389526367,0.15338717319701423,sha256:737bde87b28b79317ae85d24e135103745af5de4338e4e62a468d48325af8995
Norman_P1,FEV+ctrl,704,0.1504164934158325,0.0654209107160568,0.0749504119157791,0.0328010134398937,0.0743076801300048,13.89048671722412,-17.4453125,10.335660934448242,-13.89048671722412,17.4453125,-10.335660934448242,0.5245602604486704,sha256:737bde87b28b79317ae85d24e135103745af5de4338e4e62a468d48325af8995
Norman_P1,FOSB+ctrl,630,0.1529737561941146,0.0590781010687351,0.0773336961865425,0.0550036504864692,0.061169609427452,17.006914138793945,-16.68607521057129,17.3277530670166,-17.006914138793945,16.68607521057129,-17.3277530670166,0.5130256513869316,sha256:737bde87b28b79317ae85d24e135103745af5de4338e4e62a468d48325af8995
Norman_P1,FOXA1+ctrl,851,0.1400385349988937,0.0188160259276628,0.0709972903132438,0.0463065207004547,0.0504953041672706,15.8885498046875,-16.92037582397461,14.85672378540039,-15.8885498046875,16.92037582397461,-14.85672378540039,0.07195436656813314,sha256:737bde87b28b79317ae85d24e135103745af5de4338e4e62a468d48325af8995
Norman_P1,FOXA3+ctrl,494,0.1519473046064376,0.0313083454966545,0.0768278390169143,0.0512767806649208,0.0753992199897766,16.524904251098633,-16.884140014648438,16.165668487548828,-16.524904251098633,16.884140014648438,-16.165668487548828,0.05151265404934913,sha256:737bde87b28b79317ae85d24e135103745af5de4338e4e62a468d48325af8995
Norman_P1,IER5L+ctrl,405,0.1483909785747528,0.0632092356681823,0.0750581994652748,0.0377014316618442,0.0958252549171447,14.53011703491211,-17.296707153320312,11.763526916503906,-14.53011703491211,17.296707153320312,-11.763526916503906,0.08539606470398842,sha256:737bde87b28b79317ae85d24e135103745af5de4338e4e62a468d48325af8995
Norman_P1,IGDCC3+ctrl,613,0.1444198042154312,0.0448225736618042,0.0734897181391716,0.04967887327075,0.0802057534456253,16.350967407226562,-16.787128448486328,15.914806365966797,-16.350967407226562,16.787128448486328,-15.914806365966797,0.1351692922262967,sha256:737bde87b28b79317ae85d24e135103745af5de4338e4e62a468d48325af8995
Norman_P1,IKZF3+ctrl,681,0.2126596868038177,0.1345948725938797,0.1014539375901222,0.0438568294048309,0.168181300163269,15.622271537780762,-17.11097526550293,14.133567810058594,-15.622271537780762,17.11097526550293,-14.133567810058594,0.18026335767001567,sha256:737bde87b28b79317ae85d24e135103745af5de4338e4e62a468d48325af8995
Norman_P1,JUN+ctrl,266,0.149039015173912,0.0591696836054325,0.0753079131245613,0.0282053593546152,0.0839700549840927,13.310420036315918,-17.481861114501953,9.138978958129885,-13.310420036315918,17.481861114501953,-9.138978958129885,0.0826188845367326,sha256:737bde87b28b79317ae85d24e135103745af5de4338e4e62a468d48325af8995
Norman_P1,MAPK1+ctrl,765,0.1530904769897461,0.0838378444314003,0.0776513665914535,0.0584197007119655,0.0901583135128021,17.6115779876709,-16.336471557617188,18.88668441772461,-17.6115779876709,16.336471557617188,-18.88668441772461,0.5716176873591512,sha256:737bde87b28b79317ae85d24e135103745af5de4338e4e62a468d48325af8995
Norman_P1,MEIS1+ctrl,776,0.130613312125206,0.0202641915529966,0.0659798383712768,0.03982600197196,0.0339288488030433,15.067602157592772,-17.05364990234375,13.081554412841797,-15.067602157592772,17.05364990234375,-13.081554412841797,0.13907911866890832,sha256:737bde87b28b79317ae85d24e135103745af5de4338e4e62a468d48325af8995
Norman_P1,MIDN+ctrl,298,0.1737820655107498,0.063875138759613,0.0871510431170463,0.0471515953540802,0.1033307611942291,15.88045597076416,-17.050996780395508,14.709915161132812,-15.88045597076416,17.050996780395508,-14.709915161132812,0.09481672211602554,sha256:737bde87b28b79317ae85d24e135103745af5de4338e4e62a468d48325af8995
Norman_P1,OSR2+ctrl,1003,0.1699954867362976,0.0696714147925376,0.0870065465569496,0.0450710169970989,0.0674731209874153,15.726001739501951,-17.143707275390625,14.30829620361328,-15.726001739501951,17.143707275390625,-14.30829620361328,0.7155761652411499,sha256:737bde87b28b79317ae85d24e135103745af5de4338e4e62a468d48325af8995
Norman_P1,POU3F2+ctrl,359,0.1363433599472046,0.0269757155328989,0.0681319236755371,0.0466908514499664,0.0644963681697845,15.966938018798828,-17.000703811645508,14.933172225952148,-15.966938018798828,17.000703811645508,-14.933172225952148,0.06818336403185388,sha256:737bde87b28b79317ae85d24e135103745af5de4338e4e62a468d48325af8995
Norman_P1,PRDM1+ctrl,297,0.1918465197086334,0.1112902611494064,0.0934603810310363,0.0358104519546031,0.1385456919670105,14.531899452209473,-17.36666488647461,11.697134017944336,-14.531899452209473,17.36666488647461,-11.697134017944336,0.1845242319149547,sha256:737bde87b28b79317ae85d24e135103745af5de4338e4e62a468d48325af8995
Norman_P1,PTPN12+ctrl,445,0.130253255367279,0.0442543849349021,0.0663382112979888,0.0539978630840778,0.0624769516289234,16.85167121887207,-16.55702018737793,17.14632225036621,-16.85167121887207,16.55702018737793,-17.14632225036621,0.2796039931800198,sha256:737bde87b28b79317ae85d24e135103745af5de4338e4e62a468d48325af8995
