score,target,delta_rho_vs_magnitude,bootstrap_ci95_low,bootstrap_ci95_high
PRESCRIBE epistemic,task_mean_profile_rmse,-0.1126086956521739,-0.7225437025885191,0.505304153772471
PRESCRIBE epistemic,cell_gene_rmse,-0.5004347826086956,-1.0291786174544622,0.12163268415720671
PRESCRIBE aleatoric,task_mean_profile_rmse,-0.2243478260869565,-0.7559426272407291,0.3182019631460884
PRESCRIBE aleatoric,cell_gene_rmse,-0.5621739130434782,-1.011356498410759,-0.0118287449190347
PRESCRIBE combined,task_mean_profile_rmse,-0.11521739130434783,-0.7307908535409322,0.4945830190501828
PRESCRIBE combined,cell_gene_rmse,-0.5017391304347825,-1.0418068950890274,0.1327057559838982
