scope,score,target,n_tasks,spearman,bootstrap_ci95_low,bootstrap_ci95_high
Norman_P1,PRESCRIBE epistemic,task_mean_profile_rmse,24,-0.029565217391304344,-0.4313417467788903,0.3732465896295201
Norman_P1,PRESCRIBE epistemic,cell_gene_rmse,24,-0.2626086956521739,-0.6110780981142945,0.15246980542393385
Norman_P1,PRESCRIBE aleatoric,task_mean_profile_rmse,24,0.07130434782608694,-0.35060543089093343,0.451996840036185
Norman_P1,PRESCRIBE aleatoric,cell_gene_rmse,24,-0.14956521739130432,-0.5365224525646337,0.27805059553604916
Norman_P1,PRESCRIBE combined,task_mean_profile_rmse,24,-0.02695652173913043,-0.4281992853906163,0.3651348397190042
Norman_P1,PRESCRIBE combined,cell_gene_rmse,24,-0.2582608695652174,-0.6059761668929223,0.15587272001880717
Norman_P1,PRESCRIBE magnitude,task_mean_profile_rmse,24,0.033913043478260865,-0.3567085110569784,0.4420699354209409
Norman_P1,PRESCRIBE magnitude,cell_gene_rmse,24,0.2721739130434782,-0.13311213111514547,0.6110466189540997
Norman_P2,PRESCRIBE epistemic,task_mean_profile_rmse,24,-0.07739130434782608,-0.5199307912788824,0.4022895096968077
Norman_P2,PRESCRIBE epistemic,cell_gene_rmse,24,-0.23565217391304347,-0.6131621345670183,0.242897273641256
Norman_P2,PRESCRIBE aleatoric,task_mean_profile_rmse,24,-0.4017391304347826,-0.7302419899959441,0.044922265841687285
Norman_P2,PRESCRIBE aleatoric,cell_gene_rmse,24,-0.4721739130434783,-0.7730185417175233,-0.036609846783097144
Norman_P2,PRESCRIBE combined,task_mean_profile_rmse,24,-0.08521739130434783,-0.5376616905910874,0.3960662707095965
Norman_P2,PRESCRIBE combined,cell_gene_rmse,24,-0.24260869565217388,-0.6385340171042677,0.24442988851270053
Norman_P2,PRESCRIBE magnitude,task_mean_profile_rmse,24,0.08434782608695651,-0.390282626555988,0.5331919407481798
Norman_P2,PRESCRIBE magnitude,cell_gene_rmse,24,0.23043478260869563,-0.2344744774873264,0.621839390709349
two_panel_stratified,PRESCRIBE epistemic,task_mean_profile_rmse,48,-0.05347826086956521,-0.3597428508458059,0.25812630665205405
two_panel_stratified,PRESCRIBE epistemic,cell_gene_rmse,48,-0.24913043478260866,-0.5182119659166609,0.05956564841563159
two_panel_stratified,PRESCRIBE aleatoric,task_mean_profile_rmse,48,-0.16521739130434782,-0.4414250992764217,0.12783756634750712
two_panel_stratified,PRESCRIBE aleatoric,cell_gene_rmse,48,-0.3108695652173913,-0.5596571164272037,-0.013397585886947687
two_panel_stratified,PRESCRIBE combined,task_mean_profile_rmse,48,-0.05608695652173913,-0.36407538859661803,0.26090971739832264
two_panel_stratified,PRESCRIBE combined,cell_gene_rmse,48,-0.2504347826086956,-0.5182571893859832,0.06530381237472463
two_panel_stratified,PRESCRIBE magnitude,task_mean_profile_rmse,48,0.05913043478260869,-0.2452457216986028,0.37208823969761884
two_panel_stratified,PRESCRIBE magnitude,cell_gene_rmse,48,0.2513043478260869,-0.053746708226163196,0.5134545576055225
