panel,score,coverage,n_retained,retained_mean_error,normalized_retained_error
Norman_P1,PRESCRIBE epistemic,0.5,12,0.047410124136755834,0.8703913035952072
Norman_P1,PRESCRIBE epistemic,0.55,14,0.055227698359106236,1.0139123076473486
Norman_P1,PRESCRIBE epistemic,0.6,15,0.056498188649614624,1.0372369396810228
Norman_P1,PRESCRIBE epistemic,0.65,16,0.054233563831076,0.9956612259732044
Norman_P1,PRESCRIBE epistemic,0.7,17,0.05315713759730841,0.9758993702537276
Norman_P1,PRESCRIBE epistemic,0.75,18,0.05638675557242497,1.035191166060204
Norman_P1,PRESCRIBE epistemic,0.8,20,0.054934948310255985,1.0085377784452876
Norman_P1,PRESCRIBE epistemic,0.85,21,0.055434279853389355,1.0177048886494373
Norman_P1,PRESCRIBE epistemic,0.9,22,0.05567922070622442,1.0222017000812713
Norman_P1,PRESCRIBE epistemic,0.95,23,0.05583097996271173,1.0249878125307055
Norman_P1,PRESCRIBE epistemic,1.0,24,0.05446989640283084,0.9999999999999999
Norman_P1,PRESCRIBE aleatoric,0.5,12,0.047410124136755834,0.8703913035952072
Norman_P1,PRESCRIBE aleatoric,0.55,14,0.04739076670791419,0.8700359251179198
Norman_P1,PRESCRIBE aleatoric,0.6,15,0.053204373766978556,0.9767665679682379
Norman_P1,PRESCRIBE aleatoric,0.65,16,0.052124995272606583,0.9569505123916042
Norman_P1,PRESCRIBE aleatoric,0.7,17,0.053157137597308404,0.9758993702537275
Norman_P1,PRESCRIBE aleatoric,0.75,18,0.05134441496597393,0.942620022374515
Norman_P1,PRESCRIBE aleatoric,0.8,20,0.05493494831025597,1.0085377784452874
Norman_P1,PRESCRIBE aleatoric,0.85,21,0.05543427985338935,1.017704888649437
Norman_P1,PRESCRIBE aleatoric,0.9,22,0.05560407093302767,1.0208220430934742
Norman_P1,PRESCRIBE aleatoric,0.95,23,0.05419367543705129,0.9949289243413136
Norman_P1,PRESCRIBE aleatoric,1.0,24,0.05446989640283084,0.9999999999999999
Norman_P1,PRESCRIBE combined,0.5,12,0.047410124136755834,0.8703913035952072
Norman_P1,PRESCRIBE combined,0.55,14,0.055227698359106236,1.0139123076473486
Norman_P1,PRESCRIBE combined,0.6,15,0.056498188649614624,1.0372369396810228
Norman_P1,PRESCRIBE combined,0.65,16,0.054233563831076,0.9956612259732044
Norman_P1,PRESCRIBE combined,0.7,17,0.05315713759730841,0.9758993702537276
Norman_P1,PRESCRIBE combined,0.75,18,0.05371558749013474,0.986151820317086
Norman_P1,PRESCRIBE combined,0.8,20,0.05493494831025597,1.0085377784452874
Norman_P1,PRESCRIBE combined,0.85,21,0.05543427985338935,1.017704888649437
Norman_P1,PRESCRIBE combined,0.9,22,0.055679220706224414,1.0222017000812713
Norman_P1,PRESCRIBE combined,0.95,23,0.05583097996271172,1.0249878125307053
Norman_P1,PRESCRIBE combined,1.0,24,0.05446989640283084,0.9999999999999999
Norman_P1,PRESCRIBE magnitude,0.5,12,0.06152966866890586,1.1296086964047927
Norman_P1,PRESCRIBE magnitude,0.55,14,0.05601055467767372,1.0282845824315319
Norman_P1,PRESCRIBE magnitude,0.6,15,0.05653486028313634,1.0379101855644097
Norman_P1,PRESCRIBE magnitude,0.65,16,0.054271135595627094,0.9963509971501722
Norman_P1,PRESCRIBE magnitude,0.7,17,0.053715337834813984,0.986147236953848
Norman_P1,PRESCRIBE magnitude,0.75,18,0.05247050492713846,0.9632936427691006
Norman_P1,PRESCRIBE magnitude,0.8,20,0.05239007873460647,0.9618171172413633
Norman_P1,PRESCRIBE magnitude,0.85,21,0.05138804382156755,0.9434209942594433
Norman_P1,PRESCRIBE magnitude,0.9,22,0.05118707525120537,0.9397314596057342
Norman_P1,PRESCRIBE magnitude,0.95,23,0.05260667391121385,0.9657935370789476
Norman_P1,PRESCRIBE magnitude,1.0,24,0.05446989640283084,0.9999999999999999
Norman_P2,PRESCRIBE epistemic,0.5,12,0.06919303319106496,1.0974536213151043
Norman_P2,PRESCRIBE epistemic,0.55,14,0.0698602266077484,1.1080358114213678
Norman_P2,PRESCRIBE epistemic,0.6,15,0.06709979772567747,1.0642533302480643
Norman_P2,PRESCRIBE epistemic,0.65,16,0.06655386695638293,1.0555944570621583
Norman_P2,PRESCRIBE epistemic,0.7,17,0.06411401730249905,1.0168966039022098
Norman_P2,PRESCRIBE epistemic,0.75,18,0.06172273370126878,0.9789690449163946
Norman_P2,PRESCRIBE epistemic,0.8,20,0.06101463921368118,0.9677381330196659
Norman_P2,PRESCRIBE epistemic,0.85,21,0.06331514318784073,1.004225858746614
