task_id,condition_label,gene,cell_line,n_prediction_cells,family_diversity,diversity_lower_bound,predicted_magnitude,model_baseline_gap,family_pairwise_rmse_mean,family_pairwise_rmse_max,string_train_neighbor_count,go_train_neighbor_count,graph_isolated,historical_support,context_similarity
SMG5+ctrl,K562_SMG5+ctrl_1+1,SMG5,K562,82,8.011380076362417e-05,0.008950631305311608,0.014964297466692691,0.018928348136402328,0.01485829335830225,0.020956048336639437,6,2,False,0,NOT_APPLICABLE_SINGLE_CONTEXT
HNRNPH1+ctrl,K562_HNRNPH1+ctrl_1+1,HNRNPH1,K562,92,9.303760879371433e-05,0.009645600489016448,0.022240260672984066,0.01592391413037539,0.015363676956314748,0.02001293796691105,17,17,False,0,NOT_APPLICABLE_SINGLE_CONTEXT
RPL10A+ctrl,K562_RPL10A+ctrl_1+1,RPL10A,K562,195,0.0002764567613917835,0.016626988945439986,0.04887483116755289,0.03704562706538492,0.026026742689110868,0.03721645188447841,28,38,False,0,NOT_APPLICABLE_SINGLE_CONTEXT
EIF3E+ctrl,K562_EIF3E+ctrl_1+1,EIF3E,K562,171,0.00019550910545389406,0.013982457060684794,0.0317838247488492,0.02112447856078735,0.023483968669522137,0.031760087255242896,12,15,False,0,NOT_APPLICABLE_SINGLE_CONTEXT
MRPS14+ctrl,K562_MRPS14+ctrl_1+1,MRPS14,K562,82,1.9442315939314357e-05,0.004409344162039788,0.016382766099242767,0.022552894455662026,0.007322263268230764,0.009170210371893018,13,7,False,0,NOT_APPLICABLE_SINGLE_CONTEXT
EIF3M+ctrl,K562_EIF3M+ctrl_1+1,EIF3M,K562,209,0.00015147266082786697,0.01230742299703179,0.030703908045026627,0.02182756694581345,0.020778232140603817,0.02751306941019912,10,10,False,0,NOT_APPLICABLE_SINGLE_CONTEXT
RPL13+ctrl,K562_RPL13+ctrl_1+1,RPL13,K562,243,7.056810420861136e-05,0.008400482379519129,0.053056542996128025,0.03862809871533096,0.01332686360657924,0.018443995264000864,24,8,False,0,NOT_APPLICABLE_SINGLE_CONTEXT
SNAPC3+ctrl,K562_SNAPC3+ctrl_1+1,SNAPC3,K562,201,3.4307757747482086e-05,0.005857282454131958,0.020569231375673184,0.012686535000364454,0.009863707942550752,0.012068631221991817,9,6,False,0,NOT_APPLICABLE_SINGLE_CONTEXT
NBAS+ctrl,K562_NBAS+ctrl_1+1,NBAS,K562,94,7.088375923401159e-05,0.008419249327226958,0.024470879424416128,0.013893513232327117,0.014292393961266567,0.01837365433384008,7,4,False,0,NOT_APPLICABLE_SINGLE_CONTEXT
ELP5+ctrl,K562_ELP5+ctrl_1+1,ELP5,K562,167,3.320141352594031e-05,0.0057620667755537425,0.010907953199358411,0.01635252728639016,0.009778569511049547,0.012142310537703038,2,1,False,0,NOT_APPLICABLE_SINGLE_CONTEXT
