panel,score,target,target_kind,coverage,n_retained,n_rejected,retained_mean,full_set_mean,raw_change_vs_full,favorable_change_vs_full
Norman_P2,epistemic_confidence,pearson_effect_accuracy,accuracy,0.95,22,2,0.6186348183811018,0.6027864520364073,0.015848366344694442,0.015848366344694442
Norman_P2,epistemic_confidence,pearson_effect_accuracy,accuracy,1.0,24,0,0.6027864520364073,0.6027864520364073,0.0,0.0
Norman_P2,epistemic_confidence,cosine_effect_accuracy,accuracy,0.5,12,12,0.7197320989270618,0.6124827729094017,0.10724932601766013,0.10724932601766013
Norman_P2,epistemic_confidence,cosine_effect_accuracy,accuracy,0.55,13,11,0.7368845526159684,0.6124827729094017,0.12440177970656674,0.12440177970656674
Norman_P2,epistemic_confidence,cosine_effect_accuracy,accuracy,0.6,14,10,0.7246473062953684,0.6124827729094017,0.11216453338596677,0.11216453338596677
Norman_P2,epistemic_confidence,cosine_effect_accuracy,accuracy,0.65,15,9,0.7303390723237648,0.6124827729094017,0.11785629941436315,0.11785629941436315
Norman_P2,epistemic_confidence,cosine_effect_accuracy,accuracy,0.7,16,8,0.658807072722702,0.6124827729094017,0.04632429981330033,0.04632429981330033
Norman_P2,epistemic_confidence,cosine_effect_accuracy,accuracy,0.75,18,6,0.6797533752425488,0.6124827729094017,0.06727060233314708,0.06727060233314708
Norman_P2,epistemic_confidence,cosine_effect_accuracy,accuracy,0.8,19,5,0.6787951374934085,0.6124827729094017,0.0663123645840068,0.0663123645840068
Norman_P2,epistemic_confidence,cosine_effect_accuracy,accuracy,0.85,20,4,0.664552266788715,0.6124827729094017,0.05206949387931337,0.05206949387931337
Norman_P2,epistemic_confidence,cosine_effect_accuracy,accuracy,0.9,21,3,0.6623959002461405,0.6124827729094017,0.049913127336738805,0.049913127336738805
Norman_P2,epistemic_confidence,cosine_effect_accuracy,accuracy,0.95,22,2,0.6294341074832647,0.6124827729094017,0.016951334573862997,0.016951334573862997
Norman_P2,epistemic_confidence,cosine_effect_accuracy,accuracy,1.0,24,0,0.6124827729094017,0.6124827729094017,0.0,0.0
Norman_P2,epistemic_confidence,rmse_effect_error,error,0.5,12,12,0.06919303262927012,0.06304870772351873,0.006144324905751397,-0.006144324905751397
Norman_P2,epistemic_confidence,rmse_effect_error,error,0.55,13,11,0.07182398585414075,0.06304870772351873,0.008775278130622025,-0.008775278130622025
Norman_P2,epistemic_confidence,rmse_effect_error,error,0.6,14,10,0.06986022619517543,0.06304870772351873,0.006811518471656702,-0.006811518471656702
Norman_P2,epistemic_confidence,rmse_effect_error,error,0.65,15,9,0.06709979730926444,0.06304870772351873,0.00405108958574571,-0.00405108958574571
Norman_P2,epistemic_confidence,rmse_effect_error,error,0.7,16,8,0.06655386643447139,0.06304870772351873,0.003505158710952666,-0.003505158710952666
Norman_P2,epistemic_confidence,rmse_effect_error,error,0.75,18,6,0.061722733277274545,0.06304870772351873,-0.001325974446244181,0.001325974446244181
Norman_P2,epistemic_confidence,rmse_effect_error,error,0.8,19,5,0.06067161061148958,0.06304870772351873,-0.0023770971120291445,0.0023770971120291445
Norman_P2,epistemic_confidence,rmse_effect_error,error,0.85,20,4,0.06101463899092209,0.06304870772351873,-0.002034068732596636,0.002034068732596636
Norman_P2,epistemic_confidence,rmse_effect_error,error,0.9,21,3,0.06331514287218123,0.06304870772351873,0.0002664351486625083,-0.0002664351486625083
Norman_P2,epistemic_confidence,rmse_effect_error,error,0.95,22,2,0.0622038309853707,0.06304870772351873,-0.0008448767381480232,0.0008448767381480232
Norman_P2,epistemic_confidence,rmse_effect_error,error,1.0,24,0,0.06304870772351874,0.06304870772351873,1.3877787807814457e-17,-1.3877787807814457e-17
Norman_P2,aleatoric_confidence,pearson_effect_accuracy,accuracy,0.5,12,12,0.54175447119241,0.6027864520364073,-0.0610319808439973,-0.0610319808439973
Norman_P2,aleatoric_confidence,pearson_effect_accuracy,accuracy,0.55,13,11,0.5488840698007684,0.6027864520364073,-0.053902382235638924,-0.053902382235638924
Norman_P2,aleatoric_confidence,pearson_effect_accuracy,accuracy,0.6,14,10,0.5617897309688247,0.6027864520364073,-0.040996721067582675,-0.040996721067582675
Norman_P2,aleatoric_confidence,pearson_effect_accuracy,accuracy,0.65,15,9,0.5867087801889662,0.6027864520364073,-0.016077671847441133,-0.016077671847441133
