scope,score,baseline,target,coverage,n_retained,raw_delta_retained_mean,favorable_delta_retained_mean,raw_bootstrap_ci95_low,raw_bootstrap_ci95_high,favorable_bootstrap_ci95_low,favorable_bootstrap_ci95_high,bootstrap_valid
Norman_P1,epistemic_confidence,predicted_magnitude,pearson_effect_accuracy,0.95,22,0.0,0.0,-0.004157246592350172,2.220446049250313e-16,-0.004157246592350172,2.220446049250313e-16,10000
Norman_P2,epistemic_confidence,predicted_magnitude,pearson_effect_accuracy,0.95,22,0.0,0.0,-1.1102230246251565e-16,1.1102230246251565e-16,-1.1102230246251565e-16,1.1102230246251565e-16,10000
two_panel_macro,epistemic_confidence,predicted_magnitude,pearson_effect_accuracy,0.95,44,0.0,0.0,-0.002078623296175086,1.1102230246251565e-16,-0.002078623296175086,1.1102230246251565e-16,10000
Norman_P1,epistemic_confidence,predicted_magnitude,pearson_effect_accuracy,0.9,21,0.0,0.0,-0.0047465529307123555,1.1102230246251565e-16,-0.0047465529307123555,1.1102230246251565e-16,10000
Norman_P2,epistemic_confidence,predicted_magnitude,pearson_effect_accuracy,0.9,21,0.0,0.0,-1.1102230246251565e-16,1.1102230246251565e-16,-1.1102230246251565e-16,1.1102230246251565e-16,10000
two_panel_macro,epistemic_confidence,predicted_magnitude,pearson_effect_accuracy,0.9,42,0.0,0.0,-0.0023732764653561778,8.396061623726737e-17,-0.0023732764653561778,8.396061623726737e-17,10000
Norman_P1,epistemic_confidence,predicted_magnitude,cosine_effect_accuracy,0.95,22,0.0,0.0,-0.0037456307935332944,2.220446049250313e-16,-0.0037456307935332944,2.220446049250313e-16,10000
Norman_P2,epistemic_confidence,predicted_magnitude,cosine_effect_accuracy,0.95,22,0.0,0.0,-1.1102230246251565e-16,1.1102230246251565e-16,-1.1102230246251565e-16,1.1102230246251565e-16,10000
two_panel_macro,epistemic_confidence,predicted_magnitude,cosine_effect_accuracy,0.95,44,0.0,0.0,-0.0018728153967666472,1.1102230246251565e-16,-0.0018728153967666472,1.1102230246251565e-16,10000
Norman_P1,epistemic_confidence,predicted_magnitude,cosine_effect_accuracy,0.9,21,0.0,0.0,-0.004720375924122777,2.220446049250313e-16,-0.004720375924122777,2.220446049250313e-16,10000
Norman_P2,epistemic_confidence,predicted_magnitude,cosine_effect_accuracy,0.9,21,0.0,0.0,-1.1102230246251565e-16,1.1102230246251565e-16,-1.1102230246251565e-16,1.1102230246251565e-16,10000
two_panel_macro,epistemic_confidence,predicted_magnitude,cosine_effect_accuracy,0.9,42,0.0,0.0,-0.0023601879620613886,1.1102230246251565e-16,-0.0023601879620613886,1.1102230246251565e-16,10000
Norman_P1,epistemic_confidence,predicted_magnitude,rmse_effect_error,0.95,22,0.0,-0.0,-2.0816681711721685e-17,0.004125551352051837,-0.004125551352051837,2.0816681711721685e-17,10000
Norman_P2,epistemic_confidence,predicted_magnitude,rmse_effect_error,0.95,22,6.938893903907228e-18,-6.938893903907228e-18,-1.3877787807814457e-17,1.3877787807814457e-17,-1.3877787807814457e-17,1.3877787807814457e-17,10000
two_panel_macro,epistemic_confidence,predicted_magnitude,rmse_effect_error,0.95,44,3.469446951953614e-18,-3.469446951953614e-18,-1.0408340855860843e-17,0.002062775676025915,-0.002062775676025915,1.0408340855860843e-17,10000
Norman_P1,epistemic_confidence,predicted_magnitude,rmse_effect_error,0.9,21,0.0,-0.0,-1.3877787807814457e-17,0.00432200617834002,-0.00432200617834002,1.3877787807814457e-17,10000
Norman_P2,epistemic_confidence,predicted_magnitude,rmse_effect_error,0.9,21,1.3877787807814457e-17,-1.3877787807814457e-17,-1.3877787807814457e-17,1.3877787807814457e-17,-1.3877787807814457e-17,1.3877787807814457e-17,10000
two_panel_macro,epistemic_confidence,predicted_magnitude,rmse_effect_error,0.9,42,6.938893903907228e-18,-6.938893903907228e-18,-6.938893903907228e-18,0.0021610030891700133,-0.0021610030891700133,6.938893903907228e-18,10000
Norman_P1,aleatoric_confidence,predicted_magnitude,pearson_effect_accuracy,0.95,22,0.003544098671110274,0.003544098671110274,-0.008304069672377734,0.007088197342220326,-0.008304069672377734,0.007088197342220326,10000
Norman_P2,aleatoric_confidence,predicted_magnitude,pearson_effect_accuracy,0.95,22,-0.03541960632327035,-0.03541960632327035,-0.07665447039430118,-0.017761805604715408,-0.07665447039430118,-0.017761805604715408,10000
two_panel_macro,aleatoric_confidence,predicted_magnitude,pearson_effect_accuracy,0.95,44,-0.015937753826080037,-0.015937753826080037,-0.038327235197150644,-0.008556945794979468,-0.038327235197150644,-0.008556945794979468,10000
Norman_P1,aleatoric_confidence,predicted_magnitude,pearson_effect_accuracy,0.9,21,0.0,0.0,-0.004986636287042212,0.007425730548992759,-0.004986636287042212,0.007425730548992759,10000
Norman_P2,aleatoric_confidence,predicted_magnitude,pearson_effect_accuracy,0.9,21,-0.0797493320905408,-0.0797493320905408,-0.10589228655707894,-0.0222860443641768,-0.10589228655707894,-0.0222860443641768,10000
two_panel_macro,aleatoric_confidence,predicted_magnitude,pearson_effect_accuracy,0.9,42,-0.0398746660452704,-0.0398746660452704,-0.052946143278539526,-0.010000709336210143,-0.052946143278539526,-0.010000709336210143,10000
Norman_P1,aleatoric_confidence,predicted_magnitude,cosine_effect_accuracy,0.95,22,0.003016120570931813,0.003016120570931813,-0.009220282606257846,0.0034130480580411016,-0.009220282606257846,0.0034130480580411016,10000
Norman_P2,aleatoric_confidence,predicted_magnitude,cosine_effect_accuracy,0.95,22,-0.036833042799137905,-0.036833042799137905,-0.07934430338713105,-0.019264817635706977,-0.07934430338713105,-0.019264817635706977,10000
two_panel_macro,aleatoric_confidence,predicted_magnitude,cosine_effect_accuracy,0.95,44,-0.016908461114103046,-0.016908461114103046,-0.04048734569528269,-0.009365333112829222,-0.04048734569528269,-0.009365333112829222,10000
Norman_P1,aleatoric_confidence,predicted_magnitude,cosine_effect_accuracy,0.9,21,0.0,0.0,-0.006499598322722733,0.006319490720047227,-0.006499598322722733,0.006319490720047227,10000
Norman_P2,aleatoric_confidence,predicted_magnitude,cosine_effect_accuracy,0.9,21,-0.0830058207579839,-0.0830058207579839,-0.11036017990755725,-0.02158108576390771,-0.11036017990755725,-0.02158108576390771,10000
two_panel_macro,aleatoric_confidence,predicted_magnitude,cosine_effect_accuracy,0.9,42,-0.04150291037899195,-0.04150291037899195,-0.0548630703986978,-0.011054890827737121,-0.0548630703986978,-0.011054890827737121,10000
Norman_P1,aleatoric_confidence,predicted_magnitude,rmse_effect_error,0.95,22,-7.514995954450987e-05,7.514995954450987e-05,-0.0034234549674628245,1.3877787807814457e-17,-1.3877787807814457e-17,0.0034234549674628245,10000
Norman_P2,aleatoric_confidence,predicted_magnitude,rmse_effect_error,0.95,22,0.003895973721480518,-0.003895973721480518,4.3814188302904e-05,0.006386772213776176,-0.006386772213776176,-4.3814188302904e-05,10000
two_panel_macro,aleatoric_confidence,predicted_magnitude,rmse_effect_error,0.95,44,0.0019104118809680042,-0.0019104118809680042,-0.0007114433477403497,0.0028814519019771737,-0.0028814519019771737,0.0007114433477403497,10000
Norman_P1,aleatoric_confidence,predicted_magnitude,rmse_effect_error,0.9,21,0.0,-0.0,-0.0035864766325800976,1.3877787807814457e-17,-1.3877787807814457e-17,0.0035864766325800976,10000
