scope,score,score_class,target,target_kind,expected_favorable_rho_sign,n_tasks,spearman_rho,spearman_pvalue_descriptive,bootstrap_ci95_low,bootstrap_ci95_high,bootstrap_valid
two_panel_macro,epistemic_confidence,prescribe_confidence,cosine_effect_accuracy,accuracy,1,48,0.31608695652173907,,0.027571115973741817,0.5715031473512282,10000
two_panel_macro,epistemic_confidence,prescribe_confidence,rmse_effect_error,error,-1,48,0.05347826086956521,,-0.26128151356646384,0.36331458996900307,10000
two_panel_macro,aleatoric_confidence,prescribe_confidence,pearson_effect_accuracy,accuracy,1,48,0.006956521739130438,,-0.3003630208419407,0.3156565001118213,10000
two_panel_macro,aleatoric_confidence,prescribe_confidence,cosine_effect_accuracy,accuracy,1,48,0.0034782608695652292,,-0.29904051724072706,0.3159187131961228,10000
two_panel_macro,aleatoric_confidence,prescribe_confidence,rmse_effect_error,error,-1,48,0.16521739130434782,,-0.13223788755542937,0.43592803073503117,10000
two_panel_macro,combined_confidence,prescribe_confidence,pearson_effect_accuracy,accuracy,1,48,0.3169565217391304,,0.0324039318711927,0.5669241267746755,10000
two_panel_macro,combined_confidence,prescribe_confidence,cosine_effect_accuracy,accuracy,1,48,0.32130434782608697,,0.029164108827014763,0.571464670984529,10000
two_panel_macro,combined_confidence,prescribe_confidence,rmse_effect_error,error,-1,48,0.05608695652173913,,-0.2638992076734936,0.3629370190650112,10000
two_panel_macro,predicted_magnitude,magnitude_baseline,pearson_effect_accuracy,accuracy,1,48,0.3104347826086956,,0.023959949040543174,0.5592558711166282,10000
two_panel_macro,predicted_magnitude,magnitude_baseline,cosine_effect_accuracy,accuracy,1,48,0.3165217391304347,,0.02227358515191845,0.5725075352568811,10000
two_panel_macro,predicted_magnitude,magnitude_baseline,rmse_effect_error,error,-1,48,0.05913043478260869,,-0.2502762656143513,0.3569567553972095,10000
