panel,task_id,n_cells,n_genes,gene_order_hash,pearson_effect_accuracy,cosine_effect_accuracy,rmse_effect_error,predicted_magnitude_rms,true_magnitude_rms_diagnostic_only,epistemic_confidence,aleatoric_confidence,combined_confidence
Norman_P1,BCL2L11+ctrl,582,2037,sha256:737bde87b28b79317ae85d24e135103745af5de4338e4e62a468d48325af8995,0.38210255898289236,0.35951158139558176,0.03593431857629812,0.038508823691335625,0.013955172537207593,14.891356468200684,-17.125036239624023,12.657676696777344
Norman_P1,CKS1B+ctrl,241,2037,sha256:737bde87b28b79317ae85d24e135103745af5de4338e4e62a468d48325af8995,0.8348287948829002,0.8510268903073127,0.06082298010529186,0.0300822259353338,0.08433658736275064,13.44168472290039,-17.536176681518555,9.347192764282227
Norman_P1,CLDN6+ctrl,670,2037,sha256:737bde87b28b79317ae85d24e135103745af5de4338e4e62a468d48325af8995,0.8300252893046661,0.8466129371511226,0.07428504939339517,0.04354477265642666,0.10744312402914119,15.441408157348633,-17.0871639251709,13.795652389526367
Norman_P1,FEV+ctrl,704,2037,sha256:737bde87b28b79317ae85d24e135103745af5de4338e4e62a468d48325af8995,0.5347432185550022,0.4754415559059983,0.06542090906130714,0.03280103499947196,0.07430775646863245,13.890486717224121,-17.4453125,10.335660934448242
Norman_P1,FOSB+ctrl,630,2037,sha256:737bde87b28b79317ae85d24e135103745af5de4338e4e62a468d48325af8995,0.49911453109785325,0.48697455674451817,0.05907809820523899,0.05500367495564467,0.06116960984886525,17.006914138793945,-16.68607521057129,17.3277530670166
Norman_P1,FOXA1+ctrl,851,2037,sha256:737bde87b28b79317ae85d24e135103745af5de4338e4e62a468d48325af8995,0.919398469628679,0.9280455764066037,0.018816025417833747,0.04630654558059959,0.05049532852042542,15.8885498046875,-16.92037582397461,14.85672378540039
Norman_P1,FOXA3+ctrl,494,2037,sha256:737bde87b28b79317ae85d24e135103745af5de4338e4e62a468d48325af8995,0.9426542370845561,0.9484872834111852,0.03130834705377739,0.05127680206439392,0.07539924684646239,16.524904251098633,-16.884140014648438,16.165668487548828
Norman_P1,IER5L+ctrl,405,2037,sha256:737bde87b28b79317ae85d24e135103745af5de4338e4e62a468d48325af8995,0.9053645070513173,0.9146042621867829,0.06320924067052668,0.03770145312871524,0.09582529270854817,14.53011703491211,-17.296707153320312,11.763526916503906
Norman_P1,IGDCC3+ctrl,613,2037,sha256:737bde87b28b79317ae85d24e135103745af5de4338e4e62a468d48325af8995,0.848057710430836,0.8648307244539756,0.04482257413705499,0.04967889900828341,0.08020577077050281,16.350967407226562,-16.787128448486328,15.914806365966797
Norman_P1,IKZF3+ctrl,681,2037,sha256:737bde87b28b79317ae85d24e135103745af5de4338e4e62a468d48325af8995,0.8124250979951033,0.8197369681332421,0.13459487990800034,0.043856850224988544,0.1681813300252557,15.622271537780762,-17.11097526550293,14.133567810058594
Norman_P1,JUN+ctrl,266,2037,sha256:737bde87b28b79317ae85d24e135103745af5de4338e4e62a468d48325af8995,0.9127989656473249,0.9173815428678094,0.05916968099531294,0.02820538163914305,0.08397008956144478,13.310420036315918,-17.481861114501953,9.138978958129883
Norman_P1,MAPK1+ctrl,765,2037,sha256:737bde87b28b79317ae85d24e135103745af5de4338e4e62a468d48325af8995,0.426576724330546,0.42838259694036307,0.08383784611599271,0.05841972492593308,0.09015832439133264,17.6115779876709,-16.336471557617188,18.88668441772461
Norman_P1,MEIS1+ctrl,776,2037,sha256:737bde87b28b79317ae85d24e135103745af5de4338e4e62a468d48325af8995,0.855064218420585,0.8609211836741643,0.02026419051846078,0.039826021784228505,0.033928892047880146,15.067602157592773,-17.05364990234375,13.081554412841797
Norman_P1,MIDN+ctrl,298,2037,sha256:737bde87b28b79317ae85d24e135103745af5de4338e4e62a468d48325af8995,0.8969755759605674,0.905183548285257,0.06387513591622734,0.04715161814397258,0.10333080286009129,15.88045597076416,-17.050996780395508,14.709915161132812
Norman_P1,OSR2+ctrl,1003,2037,sha256:737bde87b28b79317ae85d24e135103745af5de4338e4e62a468d48325af8995,0.32736513012479523,0.28442452411868047,0.06967141337565338,0.045071038644119224,0.06747314658226895,15.726001739501953,-17.143707275390625,14.308296203613281
Norman_P1,POU3F2+ctrl,359,2037,sha256:737bde87b28b79317ae85d24e135103745af5de4338e4e62a468d48325af8995,0.9245066488059838,0.931816937941386,0.026975715911428774,0.04669087293373281,0.06449641032966727,15.966938018798828,-17.000703811645508,14.933172225952148
Norman_P1,PRDM1+ctrl,297,2037,sha256:737bde87b28b79317ae85d24e135103745af5de4338e4e62a468d48325af8995,0.805686895506358,0.8154763677802042,0.11129026060534332,0.03581047179839604,0.13854573994354955,14.531899452209473,-17.36666488647461,11.697134017944336
Norman_P1,PTPN12+ctrl,445,2037,sha256:737bde87b28b79317ae85d24e135103745af5de4338e4e62a468d48325af8995,0.6980805725522388,0.7203962766338596,0.044254386537822876,0.053997889747381345,0.062476969191722506,16.85167121887207,-16.55702018737793,17.14632225036621
Norman_P1,PTPN13+ctrl,270,2037,sha256:737bde87b28b79317ae85d24e135103745af5de4338e4e62a468d48325af8995,0.897146320538063,0.8978802452379339,0.020528130860203015,0.03598532075791561,0.045365385658459066,14.345635414123535,-17.266956329345703,11.424314498901367
Norman_P1,S1PR2+ctrl,541,2037,sha256:737bde87b28b79317ae85d24e135103745af5de4338e4e62a468d48325af8995,0.8592137232316103,0.8636154597416841,0.03134734419102861,0.05684604809756052,0.06179422120119656,17.354873657226562,-16.495874404907227,18.2138729095459
Norman_P1,SNAI1+ctrl,467,2037,sha256:737bde87b28b79317ae85d24e135103745af5de4338e4e62a468d48325af8995,0.7040015401120341,0.7350551247976448,0.04696673730486884,0.05743706654495368,0.06847462655929076,17.35476303100586,-16.401653289794922,18.307872772216797
Norman_P1,SPI1+ctrl,613,2037,sha256:737bde87b28b79317ae85d24e135103745af5de4338e4e62a468d48325af8995,0.9278400601825721,0.9358394367738017,0.0973240112564348,0.0621752054347099,0.1530112098252754,18.061782836914062,-16.250688552856445,19.87287712097168
Norman_P1,STIL+ctrl,309,2037,sha256:737bde87b28b79317ae85d24e135103745af5de4338e4e62a468d48325af8995,0.9035170879217912,0.9138930420329603,0.020315264592693734,0.048208625205999375,0.04950767659506317,16.1608829498291,-16.97199821472168,15.349767684936523
