recon_loss,KL,disnt_basal,disnt_after,r2_mean,r2_var,adv_loss,penalty_adv,adv_perts,acc_perts,penalty_perts,adv_cell_line,penalty_cell_line,acc_cell_line,epoch,mode
1246.7891235351562,,1.090930326260276,1.2505066287878788,-0.196798304716746,-1.4682074636220932,,,,,,,,,0,valid
1314.2739562988281,,0.0,0.0,-0.37125717754979254,-1.1927441129701977,3.546898865699768,0.22148553431034088,2.429182207584381,0.08496308028697967,0.17000845298171044,1.1177166789770125,0.0514770794659853,0.3905241936445236,0,train
1180.0956726074219,,1.1662677810484303,1.2470632442329626,-0.06272964924573898,-0.9101387808720272,,,,,,,,,1,valid
1145.7806274414063,,0.0,0.0,-0.03369804268301117,-0.5336603930358793,3.170273721218109,0.16760967299342155,2.3160322189331053,0.11896343305706977,0.1222401175647974,0.8542415231466294,0.04536955486983061,0.6982106864452362,1,train
1067.025390625,,1.1759796271385143,1.2458002884254735,0.13208856930335364,-0.2794995332757632,,,,,,,,,2,valid
1012.6511901855469,,0.0,0.0,0.16833669890260913,-0.20635231782011793,2.7989746570587157,0.12256099581718445,2.2084400773048403,0.14524581301957368,0.08770148009061814,0.5905345678329468,0.0348595155403018,0.8967489928007126,2,train
937.3279724121094,,1.1848447555011485,1.25406014417679,0.32327529042959213,0.15633788456519443,,,,,,,,,3,valid
905.5333404541016,,0.0,0.0,0.28569018468845125,-0.03957484601759444,2.547937107086182,0.08820169046521187,2.1249232411384584,0.20702736377716063,0.06466112434864044,0.4230138882994652,0.023540565650910138,0.95,3,train
831.2254180908203,,1.1849239025125613,1.2505471305962517,0.45927994449933374,0.25747973968585336,,,,,,,,,4,valid
830.8791473388671,,0.0,0.0,0.35004517778169875,0.03130082334592646,2.344001567363739,0.061728607304394244,2.0245390355587007,0.24925335496664047,0.04661050569266081,0.3194625437259674,0.015118101984262467,0.96640625,4,train
759.2096252441406,,1.1820272102629636,1.254900607194648,0.5429360990722975,0.2527631794412931,,,,,,,,,5,valid
780.0160400390625,,0.0,0.0,0.385008657282474,0.04350595209236238,2.2233929514884947,0.043255179189145565,1.9771659076213837,0.2544791378080845,0.03262791894376278,0.24622703418135644,0.010627259593456983,0.97578125,5,train
711.3667297363281,,1.1864292845878468,1.2547481070185795,0.5935133248567582,0.24077179531256357,,,,,,,,,6,valid
