manifest_id,task_key,context,perturbation_key,dose_key,quadrant,n_cells,predicted_effect_key,predicted_magnitude_cpa,target_truth_used_for_prediction,predicted_magnitude_ridge,cpa_ridge_disagreement_rmse,error_cpa_rmse,error_ridge_rmse,pair_mean_rmse,pair_max_rmse,true_magnitude_oracle,target_truth_used_for_scores,predicted_magnitude_mean,predicted_magnitude_max
E81_r2_p75,K562::Hesperadin::dose=10000.0,K562,Hesperadin,10000.0,new_context_seen_perturbation,100,E83::E81_r2_p75::K562::Hesperadin::dose=10000.0::CPA_RDKIT::pred,0.2990355789661407,False,0.26261547207832336,0.3879634439945221,0.3284764587879181,0.3229110538959503,0.3256937563419342,0.3284764587879181,0.19727112352848053,False,0.28082552552223206,0.2990355789661407
E81_r2_p75,K562::Quisinostat::dose=10.0,K562,Quisinostat,10.0,new_context_seen_perturbation,112,E83::E81_r2_p75::K562::Quisinostat::dose=10.0::CPA_RDKIT::pred,0.2947823107242584,False,0.19773809611797333,0.3527725040912628,0.32813411951065063,0.3255773186683655,0.32685571908950806,0.32813411951065063,0.2633346617221832,False,0.24626020342111588,0.2947823107242584
E81_r2_p75,K562::Quisinostat::dose=100.0,K562,Quisinostat,100.0,new_context_seen_perturbation,103,E83::E81_r2_p75::K562::Quisinostat::dose=100.0::CPA_RDKIT::pred,0.2961570918560028,False,0.2058483064174652,0.35946640372276306,0.32772892713546753,0.3375166058540344,0.332622766494751,0.3375166058540344,0.2847743332386017,False,0.251002699136734,0.2961570918560028
E81_r2_p75,K562::Quisinostat::dose=1000.0,K562,Quisinostat,1000.0,new_context_seen_perturbation,83,E83::E81_r2_p75::K562::Quisinostat::dose=1000.0::CPA_RDKIT::pred,0.2903607189655304,False,0.22923481464385986,0.36880266666412354,0.3358704745769501,0.33425500988960266,0.33506274223327637,0.3358704745769501,0.27538394927978516,False,0.25979776680469513,0.2903607189655304
E81_r2_p75,K562::Quisinostat::dose=10000.0,K562,Quisinostat,10000.0,new_context_seen_perturbation,58,E83::E81_r2_p75::K562::Quisinostat::dose=10000.0::CPA_RDKIT::pred,0.2834256887435913,False,0.2638665437698364,0.3872738480567932,0.3493391275405884,0.3778442442417145,0.36359168589115143,0.3778442442417145,0.3186553120613098,False,0.27364611625671387,0.2834256887435913
E81_r2_p75,K562::TAK901::dose=10.0,K562,TAK901,10.0,new_context_seen_perturbation,210,E83::E81_r2_p75::K562::TAK901::dose=10.0::CPA_RDKIT::pred,0.2973330318927765,False,0.16935822367668152,0.3375437557697296,0.3107686936855316,0.18321354687213898,0.2469911202788353,0.3107686936855316,0.06015297397971153,False,0.233345627784729,0.2973330318927765
E81_r2_p75,K562::TAK901::dose=100.0,K562,TAK901,100.0,new_context_seen_perturbation,185,E83::E81_r2_p75::K562::TAK901::dose=100.0::CPA_RDKIT::pred,0.2926577925682068,False,0.19991575181484222,0.3492743968963623,0.33261638879776,0.23276787996292114,0.2826921343803406,0.33261638879776,0.10769610852003098,False,0.2462867721915245,0.2926577925682068
E81_r2_p75,K562::TAK901::dose=1000.0,K562,TAK901,1000.0,new_context_seen_perturbation,113,E83::E81_r2_p75::K562::TAK901::dose=1000.0::CPA_RDKIT::pred,0.2899075746536255,False,0.23587429523468018,0.3682559132575989,0.32361143827438354,0.28298282623291016,0.30329713225364685,0.32361143827438354,0.1566420942544937,False,0.26289093494415283,0.2899075746536255
E81_r2_p75,K562::TAK901::dose=10000.0,K562,TAK901,10000.0,new_context_seen_perturbation,88,E83::E81_r2_p75::K562::TAK901::dose=10000.0::CPA_RDKIT::pred,0.2879168093204498,False,0.275124192237854,0.3926646411418915,0.3069850504398346,0.32061925530433655,0.31380215287208557,0.32061925530433655,0.19327978789806366,False,0.2815205007791519,0.2879168093204498
E81_r2_p75,K562::Tanespimycin::dose=10.0,K562,Tanespimycin,10.0,new_context_seen_perturbation,223,E83::E81_r2_p75::K562::Tanespimycin::dose=10.0::CPA_RDKIT::pred,0.2995651066303253,False,0.15790581703186035,0.34471866488456726,0.3001939058303833,0.168218195438385,0.23420605063438416,0.3001939058303833,0.053898368030786514,False,0.22873546183109283,0.2995651066303253
E81_r2_p75,K562::Tanespimycin::dose=100.0,K562,Tanespimycin,100.0,new_context_seen_perturbation,179,E83::E81_r2_p75::K562::Tanespimycin::dose=100.0::CPA_RDKIT::pred,0.2975621521472931,False,0.1774633824825287,0.3522495627403259,0.28773823380470276,0.20201943814754486,0.2448788359761238,0.28773823380470276,0.09371032565832138,False,0.2375127673149109,0.2975621521472931
E81_r2_p75,K562::Tanespimycin::dose=1000.0,K562,Tanespimycin,1000.0,new_context_seen_perturbation,137,E83::E81_r2_p75::K562::Tanespimycin::dose=1000.0::CPA_RDKIT::pred,0.302044928073883,False,0.20290926098823547,0.37018710374832153,0.30881255865097046,0.26094475388526917,0.2848786562681198,0.30881255865097046,0.16891895234584808,False,0.25247709453105927,0.302044928073883
E81_r2_p75,K562::Tanespimycin::dose=10000.0,K562,Tanespimycin,10000.0,new_context_seen_perturbation,89,E83::E81_r2_p75::K562::Tanespimycin::dose=10000.0::CPA_RDKIT::pred,0.3037723004817962,False,0.23231661319732666,0.3891390860080719,0.34075453877449036,0.31026214361190796,0.32550834119319916,0.34075453877449036,0.22072209417819977,False,0.26804445683956146,0.3037723004817962
E81_r2_p75,MCF7::Alvespimycin::dose=1000.0,MCF7,Alvespimycin,1000.0,seen_context_seen_perturbation_pair_holdout,71,E83::E81_r2_p75::MCF7::Alvespimycin::dose=1000.0::CPA_RDKIT::pred,0.1604067683219909,False,0.13507935404777527,0.18678660690784454,0.18455037474632263,0.11689729988574982,0.15072383731603622,0.18455037474632263,0.15124830603599548,False,0.1477430611848831,0.1604067683219909
E81_r2_p75,MCF7::Dacinostat::dose=10.0,MCF7,Dacinostat,10.0,seen_context_new_perturbation,384,E83::E81_r2_p75::MCF7::Dacinostat::dose=10.0::CPA_RDKIT::pred,0.161578744649887,False,0.06423012167215347,0.1611727774143219,0.20186775922775269,0.13838806748390198,0.17012791335582733,0.20186775922775269,0.16530731320381165,False,0.11290443316102024,0.161578744649887
E81_r2_p75,MCF7::Dacinostat::dose=100.0,MCF7,Dacinostat,100.0,seen_context_new_perturbation,249,E83::E81_r2_p75::MCF7::Dacinostat::dose=100.0::CPA_RDKIT::pred,0.1509498059749603,False,0.07467842102050781,0.13514204323291779,0.22172275185585022,0.17760740220546722,0.19966507703065872,0.22172275185585022,0.2208143174648285,False,0.11281411349773406,0.1509498059749603
E81_r2_p75,MCF7::Dacinostat::dose=1000.0,MCF7,Dacinostat,1000.0,seen_context_new_perturbation,231,E83::E81_r2_p75::MCF7::Dacinostat::dose=1000.0::CPA_RDKIT::pred,0.1474837511777877,False,0.10581374913454056,0.13064877688884735,0.28581544756889343,0.24127019941806793,0.2635428234934807,0.28581544756889343,0.3150129020214081,False,0.1266487501561641,0.1474837511777877
E81_r2_p75,MCF7::Dacinostat::dose=10000.0,MCF7,Dacinostat,10000.0,seen_context_new_perturbation,243,E83::E81_r2_p75::MCF7::Dacinostat::dose=10000.0::CPA_RDKIT::pred,0.1478125751018524,False,0.14486044645309448,0.14333006739616394,0.3277088403701782,0.2659493088722229,0.29682907462120056,0.3277088403701782,0.35957327485084534,False,0.14633651077747345,0.1478125751018524
E81_r2_p75,MCF7::Givinostat::dose=10.0,MCF7,Givinostat,10.0,seen_context_new_perturbation,380,E83::E81_r2_p75::MCF7::Givinostat::dose=10.0::CPA_RDKIT::pred,0.1604223698377609,False,0.09658154845237732,0.15874768793582916,0.1852532923221588,0.11141730844974518,0.148335300385952,0.1852532923221588,0.07227186113595963,False,0.12850195914506912,0.1604223698377609
E81_r2_p75,MCF7::Givinostat::dose=100.0,MCF7,Givinostat,100.0,seen_context_new_perturbation,360,E83::E81_r2_p75::MCF7::Givinostat::dose=100.0::CPA_RDKIT::pred,0.1577186435461044,False,0.10948824882507324,0.14884354174137115,0.18469418585300446,0.13363099098205566,0.15916258841753006,0.18469418585300446,0.0879756286740303,False,0.13360344618558884,0.1577186435461044
E81_r2_p75,MCF7::Givinostat::dose=1000.0,MCF7,Givinostat,1000.0,seen_context_new_perturbation,284,E83::E81_r2_p75::MCF7::Givinostat::dose=1000.0::CPA_RDKIT::pred,0.1584200710058212,False,0.13269667327404022,0.151048481464386,0.21077412366867065,0.16413523256778717,0.1874546781182289,0.21077412366867065,0.15846210718154907,False,0.14555837213993073,0.1584200710058212
E81_r2_p75,MCF7::Givinostat::dose=10000.0,MCF7,Givinostat,10000.0,seen_context_new_perturbation,319,E83::E81_r2_p75::MCF7::Givinostat::dose=10000.0::CPA_RDKIT::pred,0.1571036279201507,False,0.16183383762836456,0.1652100682258606,0.3388454020023346,0.24325162172317505,0.2910485118627548,0.3388454020023346,0.35172176361083984,False,0.15946873277425763,0.16183383762836456
E81_r2_p75,MCF7::Tanespimycin::dose=100.0,MCF7,Tanespimycin,100.0,seen_context_seen_perturbation_pair_holdout,114,E83::E81_r2_p75::MCF7::Tanespimycin::dose=100.0::CPA_RDKIT::pred,0.168649137020111,False,0.08128364384174347,0.17506791651248932,0.19157543778419495,0.07837946712970734,0.13497745245695114,0.19157543778419495,0.12755800783634186,False,0.12496639043092723,0.168649137020111
E81_r2_p75,MCF7::Tanespimycin::dose=1000.0,MCF7,Tanespimycin,1000.0,seen_context_seen_perturbation_pair_holdout,68,E83::E81_r2_p75::MCF7::Tanespimycin::dose=1000.0::CPA_RDKIT::pred,0.1635037511587143,False,0.1037159338593483,0.17788968980312347,0.19608823955059052,0.09225394576787949,0.144171092659235,0.19608823955059052,0.1550767868757248,False,0.1336098425090313,0.1635037511587143
