dataset_name,predictor_name,validation_mode,feature_set,score_name,top_fraction,enrichment,enrichment_ci_low,enrichment_ci_high,n,n_task_clusters
CuiHacohen2023,PertMeanPredictor,lopo,no_disagreement,lopo_no_disagreement,0.1,3.6305114638447966,2.920194003527337,4.419753086419752,1253,1253
CuiHacohen2023,PertMeanPredictor,lopo,no_disagreement,lopo_no_disagreement,0.2,2.7048459548261135,2.446294503261853,2.9832859795876256,1253,1253
CuiHacohen2023,PertMeanPredictor,lopo,pre_model_task_only,lopo_pre_model_task_only,0.05,4.1040564373897706,2.209876543209876,6.321825396825389,1253,1253
CuiHacohen2023,PertMeanPredictor,lopo,pre_model_task_only,lopo_pre_model_task_only,0.1,4.182980599647266,3.4726631393298057,4.893298059964726,1253,1253
CuiHacohen2023,PertMeanPredictor,lopo,pre_model_task_only,lopo_pre_model_task_only,0.2,2.784400247615117,2.525848796050856,3.0031745527848765,1253,1253
Frangieh,Control1NNPredictor,baseline,none,frozen_v0_2,0.05,4.3271484375,1.8544921875,8.0361328125,633,633
Frangieh,Control1NNPredictor,baseline,none,frozen_v0_2,0.1,2.47265625,1.390869140625,3.554443359375,633,633
Frangieh,Control1NNPredictor,baseline,none,frozen_v0_2,0.2,1.4913509827019655,0.9811519623039247,2.1192882385764773,633,633
Frangieh,Control1NNPredictor,baseline,none,predicted_magnitude,0.05,14.2177734375,10.5087890625,16.087719726562486,633,633
Frangieh,Control1NNPredictor,baseline,none,predicted_magnitude,0.1,8.190673828125,7.41796875,8.96337890625,633,633
Frangieh,Control1NNPredictor,baseline,none,predicted_magnitude,0.2,4.513299026598053,4.277822555645112,4.670283340566681,633,633
Frangieh,Control1NNPredictor,baseline,none,random,0.05,1.236328125,0.0,3.0908203125,633,633
Frangieh,Control1NNPredictor,baseline,none,random,0.1,0.772705078125,0.30908203125,1.699951171875,633,633
Frangieh,Control1NNPredictor,baseline,none,random,0.2,0.8634137268274537,0.5886911773823548,1.2568556637113266,633,633
Frangieh,Control1NNPredictor,lodo_lopo,full,lodo_lopo_full,0.05,8.0361328125,4.9453125,11.126953125,633,633
Frangieh,Control1NNPredictor,lodo_lopo,full,lodo_lopo_full,0.1,4.481689453125,3.554443359375,5.718017578125,633,633
Frangieh,Control1NNPredictor,lodo_lopo,full,lodo_lopo_full,0.2,3.8461156922313844,3.5713931427862855,4.16008432016864,633,633
Frangieh,Control1NNPredictor,lodo_lopo,no_disagreement,lodo_lopo_no_disagreement,0.05,8.0361328125,5.5634765625,12.36328125,633,633
Frangieh,Control1NNPredictor,lodo_lopo,no_disagreement,lodo_lopo_no_disagreement,0.1,5.099853515625,4.01806640625,6.181640625,633,633
Frangieh,Control1NNPredictor,lodo_lopo,no_disagreement,lodo_lopo_no_disagreement,0.2,3.6498852997705997,3.4144088288176575,3.9638539277078557,633,633
Frangieh,Control1NNPredictor,lodo_lopo,pre_model_task_only,lodo_lopo_pre_model_task_only,0.05,8.0361328125,4.3271484375,11.126953125,633,633
Frangieh,Control1NNPredictor,lodo_lopo,pre_model_task_only,lodo_lopo_pre_model_task_only,0.1,3.554443359375,2.47265625,4.790771484375,633,633
Frangieh,Control1NNPredictor,lodo_lopo,pre_model_task_only,lodo_lopo_pre_model_task_only,0.2,2.08004216008432,1.6483352966705935,2.5509951019902037,633,633
Frangieh,Control1NNPredictor,lopo,full,lopo_full,0.05,8.0361328125,4.3271484375,11.126953125,633,633
Frangieh,Control1NNPredictor,lopo,full,lopo_full,0.1,4.481689453125,3.39990234375,5.87255859375,633,633
Frangieh,Control1NNPredictor,lopo,full,lopo_full,0.2,4.1993303986607975,3.8068696137392273,4.552545105090211,633,633
Frangieh,Control1NNPredictor,lopo,no_disagreement,lopo_no_disagreement,0.05,9.2724609375,6.181640625,12.36328125,633,633
Frangieh,Control1NNPredictor,lopo,no_disagreement,lopo_no_disagreement,0.1,5.25439453125,4.481689453125,6.49072265625,633,633
Frangieh,Control1NNPredictor,lopo,no_disagreement,lopo_no_disagreement,0.2,4.042346084692169,3.7676235352470706,4.395560791121582,633,633
Frangieh,Control1NNPredictor,lopo,pre_model_task_only,lopo_pre_model_task_only,0.05,8.0361328125,4.9453125,11.7451171875,633,633
Frangieh,Control1NNPredictor,lopo,pre_model_task_only,lopo_pre_model_task_only,0.1,3.708984375,2.627197265625,4.9453125,633,633
Frangieh,Control1NNPredictor,lopo,pre_model_task_only,lopo_pre_model_task_only,0.2,2.3940107880215757,2.040796081592163,2.786471572943146,633,633
Frangieh,PertMeanPredictor,baseline,none,frozen_v0_2,0.05,5.5634765625,2.47265625,8.654296875,633,633
Frangieh,PertMeanPredictor,baseline,none,frozen_v0_2,0.1,2.936279296875,1.699951171875,4.01806640625,633,633
Frangieh,PertMeanPredictor,baseline,none,frozen_v0_2,0.2,1.5698431396862793,1.0979090458180916,2.197780395560791,633,633
Frangieh,PertMeanPredictor,baseline,none,predicted_magnitude,0.05,14.8359375,12.347827148437501,17.30859375,633,633
