dataset_name,third_predictor,n,exact_vector_match_pct,near_identical_vector_pct,mean_vector_rmse_vs_contextsim,median_vector_rmse_vs_contextsim,mean_cosine_similarity_vs_contextsim,error_spearman_vs_contextsim,independent_under_50pct_near_identical
CuiHacohen2023,Control1NNPredictor,1253,0.0,0.0,0.15155026051145215,0.1309678554534912,0.6556696982325501,0.7248732804494121,True
CuiHacohen2023,PertMeanPredictor,1253,0.0,0.0,0.05029058897591301,0.03386456519365311,0.9414261734121383,0.9148154522851685,True
Frangieh,Control1NNPredictor,633,54.66034755134282,54.66034755134282,0.013793856270411192,0.0,0.8623840338612451,0.9094646060127249,False
Frangieh,PertMeanPredictor,633,54.66034755134282,54.66034755134282,0.0001494556540223486,0.0,0.999973441774734,0.9999936601884676,False
LaraAstiasoHuntly2023_exvivo,Control1NNPredictor,323,0.0,0.0,0.27925592870811927,0.24472273886203766,0.757375199317734,0.8085256743060664,True
LaraAstiasoHuntly2023_exvivo,PertMeanPredictor,323,0.0,0.0,0.7200261662283843,0.56015545129776,0.777203141365689,0.5165282487263911,True
LaraAstiasoHuntly2023_invivo,Control1NNPredictor,375,1.6,1.6,2.0134956291814645,0.8273287415504456,0.8458300164112691,0.8355244534129905,True
LaraAstiasoHuntly2023_invivo,PertMeanPredictor,375,1.6,1.6,3.9899333489090205,2.739595651626587,0.6208249256709075,0.6141828681722308,True
McFarlandTsherniak2020,Control1NNPredictor,1163,0.0,0.0,1.6362919532858085,1.2444264888763428,0.5317241364109593,0.4955885981555909,True
McFarlandTsherniak2020,PertMeanPredictor,1163,0.0,0.0,0.14604035879125754,0.11690407991409302,0.9865588011345752,0.9920494868795754,True
SantinhaPlatt2023,Control1NNPredictor,273,0.0,0.0,0.29618521794785946,0.24294698238372803,0.5668657368549335,0.7303589707160123,True
SantinhaPlatt2023,PertMeanPredictor,273,0.0,0.0,0.08711762620040621,0.0709497258067131,0.9257167767046167,0.945710204351252,True
SrivatsanTrapnell2020_sciplex3,Control1NNPredictor,564,51.77304964539007,51.77304964539007,0.01308768558322538,0.0,0.8258973464523306,0.9399435062371231,False
SrivatsanTrapnell2020_sciplex3,PertMeanPredictor,564,51.77304964539007,51.77304964539007,0.002296094013914587,0.0,0.9950238962598339,0.9967436424055965,False
