raw_gene,scgpt_token
Arvcf,ARVCF
Ccdc74a,CCDC74A
Comt,COMT
Crkl,CRKL
Ess2,ESS2
Dgcr2,DGCR2
Dgcr6,DGCR6
Dgcr8,DGCR8
Hic2,HIC2
Lztr1,LZTR1
Med15,MED15
Mrpl40,MRPL40
Pi4ka,PI4KA
Ranbp1,RANBP1
Rimbp3,RIMBP3
Scarf2,SCARF2
Slc25a1,SLC25A1
Snap29,SNAP29
Tango2,TANGO2
Tmem191c,TMEM191C
Trmt2a,TRMT2A
Txnrd2,TXNRD2
Zdhhc8,ZDHHC8
Malat1,MALAT1
Kcnip4,KCNIP4
Rbfox1,RBFOX1
Meg3,MEG3
Dlg2,DLG2
Nrg3,NRG3
Nrxn3,NRXN3
Csmd1,CSMD1
Dpp10,DPP10
Ptprd,PTPRD
Lsamp,LSAMP
Snhg11,SNHG11
Nrxn1,NRXN1
Celf2,CELF2
Opcml,OPCML
Syt1,SYT1
Fgf14,FGF14
Tenm2,TENM2
Pcdh9,PCDH9
Cntnap2,CNTNAP2
Nlgn1,NLGN1
Adgrb3,ADGRB3
Nkain2,NKAIN2
Cadm2,CADM2
Dlgap1,DLGAP1
Magi2,MAGI2
Il1rapl1,IL1RAPL1
Lrrtm4,LRRTM4
Fam155a,FAM155A
Anks1b,ANKS1B
Ctnna2,CTNNA2
Fgf12,FGF12
Phactr1,PHACTR1
Lrp1b,LRP1B
Lrrc4c,LRRC4C
Mdga2,MDGA2
Nav3,NAV3
Ctnnd2,CTNND2
Ank2,ANK2
Kcnd2,KCND2
Dlgap2,DLGAP2
Macrod2,MACROD2
Plcb1,PLCB1
Ntm,NTM
Nrg1,NRG1
Asic2,ASIC2
Kcnh7,KCNH7
Sgcz,SGCZ
Grm5,GRM5
Kcnma1,KCNMA1
Ccser1,CCSER1
Pde4d,PDE4D
Dab1,DAB1
Grik2,GRIK2
Adgrl3,ADGRL3
Xkr4,XKR4
Kalrn,KALRN
Lrrc7,LRRC7
Grin2b,GRIN2B
Dmd,DMD
Gria2,GRIA2
Grm7,GRM7
Rims1,RIMS1
Frmd4a,FRMD4A
Ralyl,RALYL
Cadps,CADPS
Ank3,ANK3
Nbea,NBEA
Kcnq5,KCNQ5
Erc2,ERC2
Oxr1,OXR1
Tcf4,TCF4
Sntg1,SNTG1
Grin2a,GRIN2A
Agbl4,AGBL4
Robo1,ROBO1
Cntn5,CNTN5
Lrfn5,LRFN5
Auts2,AUTS2
Gabrg3,GABRG3
Lingo2,LINGO2
Ppp2r2b,PPP2R2B
Negr1,NEGR1
Rims2,RIMS2
Mef2c,MEF2C
Frmpd4,FRMPD4
Galntl6,GALNTL6
Dclk1,DCLK1
Cntn4,CNTN4
Rora,RORA
Gria4,GRIA4
Snap25,SNAP25
Fah,FAH
Gria3,GRIA3
Slc8a1,SLC8A1
Gria1,GRIA1
Hdac9,HDAC9
Thrb,THRB
Arpp21,ARPP21
Rgs7,RGS7
Mapk10,MAPK10
Kctd16,KCTD16
Grip1,GRIP1
Hivep2,HIVEP2
Large1,LARGE1
