fold_id,source_contexts,n_go_edges,n_coexpression_edges,n_source_control_cells,scgpt_pretrained_tensors,test_truth_used_for_training_calibration_or_score
Santinha_context_holdout_1_Interneurons_Sst_Pvalb,Interneurons_Vip_Adarb2+Neurons_L_2_3+Neurons_L_5+Neurons_L_6,668,1457,1601,129,False
Santinha_context_holdout_2_Interneurons_Vip_Adarb2,Interneurons_Sst_Pvalb+Neurons_L_2_3+Neurons_L_5+Neurons_L_6,668,1838,2050,129,False
Santinha_context_holdout_3_Neurons_L_2_3,Interneurons_Sst_Pvalb+Interneurons_Vip_Adarb2+Neurons_L_5+Neurons_L_6,668,2036,1572,129,False
Santinha_context_holdout_4_Neurons_L_5,Interneurons_Sst_Pvalb+Interneurons_Vip_Adarb2+Neurons_L_2_3+Neurons_L_6,668,1865,1746,129,False
Santinha_context_holdout_5_Neurons_L_6,Interneurons_Sst_Pvalb+Interneurons_Vip_Adarb2+Neurons_L_2_3+Neurons_L_5,668,1895,1911,129,False
