fold_id,model,epoch,train_mse,validation_mse
Santinha_context_holdout_2_Interneurons_Vip_Adarb2,GEARS,12,0.0017362019279971719,0.0018642100039869547
Santinha_context_holdout_2_Interneurons_Vip_Adarb2,GEARS,13,0.0017129639454651624,0.001853358349762857
Santinha_context_holdout_2_Interneurons_Vip_Adarb2,GEARS,14,0.0016096237231977284,0.001946228090673685
Santinha_context_holdout_2_Interneurons_Vip_Adarb2,GEARS,15,0.0015611588314641267,0.001961067318916321
Santinha_context_holdout_2_Interneurons_Vip_Adarb2,GEARS,16,0.0015911624068394303,0.0019995919428765774
Santinha_context_holdout_2_Interneurons_Vip_Adarb2,GEARS,17,0.0015276603226084262,0.0021159006282687187
Santinha_context_holdout_2_Interneurons_Vip_Adarb2,GEARS,18,0.0015006682369858027,0.002079407684504986
Santinha_context_holdout_2_Interneurons_Vip_Adarb2,GEARS,19,0.0014790109999012202,0.002116383286193013
Santinha_context_holdout_3_Neurons_L_2_3,scGPT,1,2.0601640939712524,0.3191296458244324
Santinha_context_holdout_3_Neurons_L_2_3,scGPT,2,0.22281475458294153,0.06535617262125015
Santinha_context_holdout_3_Neurons_L_2_3,scGPT,3,0.040804834105074406,0.019696904346346855
Santinha_context_holdout_3_Neurons_L_2_3,scGPT,4,0.011453274986706674,0.005139191169291735
Santinha_context_holdout_3_Neurons_L_2_3,scGPT,5,0.0065265437588095665,0.006373610347509384
Santinha_context_holdout_3_Neurons_L_2_3,scGPT,6,0.006117029406595975,0.0038526798598468304
Santinha_context_holdout_3_Neurons_L_2_3,scGPT,7,0.0036304970853962004,0.0033785407431423664
Santinha_context_holdout_3_Neurons_L_2_3,scGPT,8,0.0037726727314293385,0.0036265114322304726
Santinha_context_holdout_3_Neurons_L_2_3,scGPT,9,0.0036630401154980063,0.0029129083268344402
Santinha_context_holdout_3_Neurons_L_2_3,scGPT,10,0.003368436882738024,0.002952207811176777
Santinha_context_holdout_3_Neurons_L_2_3,GEARS,1,0.009307411732152104,0.0060340785421431065
Santinha_context_holdout_3_Neurons_L_2_3,GEARS,2,0.0068875717697665095,0.005664350464940071
Santinha_context_holdout_3_Neurons_L_2_3,GEARS,3,0.006122480612248182,0.0053671058267354965
Santinha_context_holdout_3_Neurons_L_2_3,GEARS,4,0.005393290659412742,0.005100621841847897
Santinha_context_holdout_3_Neurons_L_2_3,GEARS,5,0.004732929402962327,0.004801857750862837
Santinha_context_holdout_3_Neurons_L_2_3,GEARS,6,0.004233197309076786,0.004507067147642374
Santinha_context_holdout_3_Neurons_L_2_3,GEARS,7,0.0039790497394278646,0.00408327579498291
Santinha_context_holdout_3_Neurons_L_2_3,GEARS,8,0.003313698573037982,0.003748744959011674
Santinha_context_holdout_3_Neurons_L_2_3,GEARS,9,0.0032205319148488343,0.003560725599527359
Santinha_context_holdout_3_Neurons_L_2_3,GEARS,10,0.0031034265994094312,0.0032303088810294867
Santinha_context_holdout_3_Neurons_L_2_3,GEARS,11,0.0026653765235096216,0.0029145507141947746
Santinha_context_holdout_3_Neurons_L_2_3,GEARS,12,0.002655335236340761,0.0028405911289155483
Santinha_context_holdout_3_Neurons_L_2_3,GEARS,13,0.0025748490006662905,0.0027943183667957783
Santinha_context_holdout_3_Neurons_L_2_3,GEARS,14,0.002504976117052138,0.0028513572178781033
Santinha_context_holdout_3_Neurons_L_2_3,GEARS,15,0.0024362714611925185,0.002812253311276436
Santinha_context_holdout_3_Neurons_L_2_3,GEARS,16,0.002357538149226457,0.002827100222930312
Santinha_context_holdout_3_Neurons_L_2_3,GEARS,17,0.002410978719126433,0.0029336425941437483
Santinha_context_holdout_3_Neurons_L_2_3,GEARS,18,0.002373834664467722,0.002975999843329191
Santinha_context_holdout_3_Neurons_L_2_3,GEARS,19,0.002457604859955609,0.003029400482773781
Santinha_context_holdout_4_Neurons_L_5,scGPT,1,4.078565239906311,1.7555677890777588
Santinha_context_holdout_4_Neurons_L_5,scGPT,2,0.6751779764890671,0.01014305092394352
Santinha_context_holdout_4_Neurons_L_5,scGPT,3,0.15667282324284315,0.005104801617562771
Santinha_context_holdout_4_Neurons_L_5,scGPT,4,0.04161042382474989,0.002608492039144039
Santinha_context_holdout_4_Neurons_L_5,scGPT,5,0.019557553925551474,0.0017045573331415653
Santinha_context_holdout_4_Neurons_L_5,scGPT,6,0.015078165277373046,0.0018023893935605884
Santinha_context_holdout_4_Neurons_L_5,scGPT,7,0.011267706577200443,0.00157579081133008
Santinha_context_holdout_4_Neurons_L_5,scGPT,8,0.00702358188573271,0.0036883053835481405
Santinha_context_holdout_4_Neurons_L_5,scGPT,9,0.005770260700955987,0.0044514331966638565
Santinha_context_holdout_4_Neurons_L_5,scGPT,10,0.004655122058466077,0.0015620156191289425
Santinha_context_holdout_4_Neurons_L_5,GEARS,1,0.0099512271117419,0.005287389270961285
