seed,model,best_epoch,best_validation_mse,pretrained_tensors,n_go_edges,n_coexpression_edges
3407,scGPT,7,0.024661137970785299,129,,
3407,GEARS,15,0.023600995074957609,,1289,4938
3408,scGPT,2,0.024653490570684274,129,,
3408,GEARS,19,0.023661759123206137,,1289,4938
3409,scGPT,2,0.024651658566047747,129,,
3409,GEARS,16,0.023652027205874521,,1289,4938
