culture_condition,stratum,n_tasks,spearman_3407_3408,spearman_3407_3409,spearman_3408_3409,median_pairwise_spearman,kendall_w,bootstrap_valid,bootstrap_ci95_lower,bootstrap_ci95_upper,passed
Rest,all_200,200,0.89744243606090157,0.88113552838820985,0.89764344108602712,0.89744243606090157,0.92804920123003076,2000,0.86559709277828001,0.91147962557448781,True
Rest,seen_160,160,0.85082327434665417,0.81348880815656865,0.85431852806750264,0.85082327434665417,0.89302902457127231,2000,0.78832261959016425,0.88245165204708864,True
Stim8hr,all_200,200,0.89908197704942638,0.88561914047851209,0.89678841971049295,0.89678841971049295,0.92921989716409581,2000,0.86768892278119647,0.91171129322110533,True
Stim8hr,seen_160,160,0.8532813781788352,0.82569436306105715,0.85365932262979005,0.8532813781788352,0.89614112530437384,2000,0.79255298694052312,0.88662808357882805,True
Stim48hr,all_200,200,0.89480687017175442,0.87814895372384327,0.89631890797269953,0.89480687017175442,0.92650549597073262,2000,0.86384495131296868,0.91056011374614143,True
Stim48hr,seen_160,160,0.84572541896167819,0.81230223836868631,0.85377065510371486,0.84572541896167819,0.89151073609646214,2000,0.78208755713968758,0.88185821844776213,True
