dataset_name,fold_id,predictor_name,status,n_train_pool,n_test,feature_cols
sciplex3_official_3cell,0,ContextSimBaseline,ok,1783,446,"context_similarity_max,context_similarity_mean,perturbation_support_count,perturbation_effect_stability,prediction_magnitude_deviation,model_disagreement_rmse,ood_nearest_distance,historical_residual_risk"
sciplex3_official_3cell,0,V0StrongBaseline,ok,1783,446,"context_similarity_max,context_similarity_mean,perturbation_support_count,perturbation_effect_stability,prediction_magnitude_deviation,model_disagreement_rmse,ood_nearest_distance,historical_residual_risk"
sciplex3_official_3cell,1,ContextSimBaseline,ok,1784,445,"context_similarity_max,context_similarity_mean,perturbation_support_count,perturbation_effect_stability,prediction_magnitude_deviation,model_disagreement_rmse,ood_nearest_distance,historical_residual_risk"
sciplex3_official_3cell,1,V0StrongBaseline,ok,1784,445,"context_similarity_max,context_similarity_mean,perturbation_support_count,perturbation_effect_stability,prediction_magnitude_deviation,model_disagreement_rmse,ood_nearest_distance,historical_residual_risk"
sciplex3_official_3cell,2,ContextSimBaseline,ok,1783,446,"context_similarity_max,context_similarity_mean,perturbation_support_count,perturbation_effect_stability,prediction_magnitude_deviation,model_disagreement_rmse,ood_nearest_distance,historical_residual_risk"
sciplex3_official_3cell,2,V0StrongBaseline,ok,1783,446,"context_similarity_max,context_similarity_mean,perturbation_support_count,perturbation_effect_stability,prediction_magnitude_deviation,model_disagreement_rmse,ood_nearest_distance,historical_residual_risk"
sciplex3_official_3cell,3,ContextSimBaseline,ok,1783,446,"context_similarity_max,context_similarity_mean,perturbation_support_count,perturbation_effect_stability,prediction_magnitude_deviation,model_disagreement_rmse,ood_nearest_distance,historical_residual_risk"
sciplex3_official_3cell,3,V0StrongBaseline,ok,1783,446,"context_similarity_max,context_similarity_mean,perturbation_support_count,perturbation_effect_stability,prediction_magnitude_deviation,model_disagreement_rmse,ood_nearest_distance,historical_residual_risk"
sciplex3_official_3cell,4,ContextSimBaseline,ok,1783,446,"context_similarity_max,context_similarity_mean,perturbation_support_count,perturbation_effect_stability,prediction_magnitude_deviation,model_disagreement_rmse,ood_nearest_distance,historical_residual_risk"
sciplex3_official_3cell,4,V0StrongBaseline,ok,1783,446,"context_similarity_max,context_similarity_mean,perturbation_support_count,perturbation_effect_stability,prediction_magnitude_deviation,model_disagreement_rmse,ood_nearest_distance,historical_residual_risk"
