perturbation,mse,pearson,mse_de,pearson_de
ACSL3+ctrl,0.0020495085045695305,0.9939439039211823,0.019034985452890396,0.9456379306682487
AGA+ctrl,0.0011282890336588025,0.9966833431691362,0.0044071306474506855,0.97827427705734
CCND2+ctrl,0.001318212947808206,0.9961525353903458,0.0018942104652523994,0.994166945051968
CTSA+ctrl,0.0013698735274374485,0.9960201396851379,0.020313719287514687,0.9539847315580887
DAG1+ctrl,0.0012377927778288722,0.9963981791284741,0.002282728673890233,0.9802106195983185
EVA1A+ctrl,0.0013185320422053337,0.9961346902744109,0.0019291092175990343,0.9807965004510389
HLA-DRB5+ctrl,0.0011357801267877221,0.9966975917486981,0.0012667689006775618,0.9951826876796563
HLA-E+ctrl,0.0017945553408935666,0.9947940808364509,0.015365508385002613,0.9704045002572942
IDH2+ctrl,0.0011218184372410178,0.996836433875102,0.0020861453376710415,0.9937877259135418
LAMP2+ctrl,0.001261706231161952,0.9963724412285182,0.0071061342023313046,0.9832320572257561
LGALS3+ctrl,0.0014062172267585993,0.9958502002448772,0.006095602177083492,0.985314731526747
NDUFA13+ctrl,0.0019515323219820857,0.9943035517387674,0.0029700978193432093,0.9938903373021974
NGFR+ctrl,0.0012827899772673845,0.9962276897306684,0.0010166056454181671,0.9966373593494017
NMRK1+ctrl,0.0012026629410684109,0.9965370602926711,0.002155616180971265,0.9925963500820069
PFDN4+ctrl,0.0011357258772477508,0.9966559208974517,0.0018535020062699914,0.9953649643970681
PFN1+ctrl,0.002250035060569644,0.9936548447221707,0.00785873644053936,0.982699354618392
RNASEH2A+ctrl,0.0024632855784147978,0.9928443717261617,0.001921510905958712,0.2774675365884627
SEC11C+ctrl,0.0013186447322368622,0.9962495038758619,0.00910161342471838,0.9721280919873142
SGK1+ctrl,0.0012234420282766223,0.9964794191133676,0.0034965560771524906,0.9859795560557277
SMAD3+ctrl,0.001206401502713561,0.9964930778804463,0.0013820112217217684,0.9911760718548696
TM4SF1+ctrl,0.0011447998695075512,0.9966355173438625,0.006950595881789923,0.9777720833504566
TRIM22+ctrl,0.0012433340307325125,0.9963702027781524,0.0007634795038029552,0.9306386612889135
TXNDC17+ctrl,0.0018259418429806828,0.9947029913848182,0.018215667456388474,0.9693907661017742
UCN2+ctrl,0.001586539321579039,0.9955601799454656,0.003539381083101034,0.992848843936623
