seed,object,coordinate_zero_based,all_finite,exact_unique,sample_std_ddof1,constant_at_1e_minus_12,E162_failure_overwritten
3407,predicted_pca_coordinate,0,True,1,0,True,False
3407,predicted_pca_coordinate,1,True,1,0,True,False
3407,predicted_pca_coordinate,2,True,1,0,True,False
3407,predicted_pca_coordinate,3,True,1,0,True,False
3407,predicted_pca_coordinate,4,True,1,0,True,False
3407,predicted_pca_coordinate,5,True,1,0,True,False
3407,predicted_pca_coordinate,6,True,1,0,True,False
3407,predicted_pca_coordinate,7,True,1,0,True,False
3407,predicted_pca_coordinate,8,True,1,0,True,False
3407,predicted_pca_coordinate,9,True,1,0,True,False
3408,predicted_pca_coordinate,0,True,1,0,True,False
3408,predicted_pca_coordinate,1,True,1,0,True,False
3408,predicted_pca_coordinate,2,True,1,0,True,False
3408,predicted_pca_coordinate,3,True,1,0,True,False
3408,predicted_pca_coordinate,4,True,1,0,True,False
3408,predicted_pca_coordinate,5,True,1,0,True,False
3408,predicted_pca_coordinate,6,True,1,0,True,False
3408,predicted_pca_coordinate,7,True,1,0,True,False
3408,predicted_pca_coordinate,8,True,1,0,True,False
3408,predicted_pca_coordinate,9,True,1,0,True,False
3409,predicted_pca_coordinate,0,True,1,0,True,False
3409,predicted_pca_coordinate,1,True,1,0,True,False
3409,predicted_pca_coordinate,2,True,1,0,True,False
3409,predicted_pca_coordinate,3,True,1,0,True,False
3409,predicted_pca_coordinate,4,True,1,0,True,False
3409,predicted_pca_coordinate,5,True,1,0,True,False
3409,predicted_pca_coordinate,6,True,1,0,True,False
3409,predicted_pca_coordinate,7,True,1,0,True,False
3409,predicted_pca_coordinate,8,True,1,0,True,False
3409,predicted_pca_coordinate,9,True,1,0,True,False
